dataset,cue,channel,n_trials,fit_family,knot_spacing_ms,fit_RMSE_50_750,fit_RMSE_250_500,positive_mean,positive_area_unit_ms,local_positive_peak,local_peak_latency_ms,peak_status
VisualCogA_Task-1,-1,Fz,47,fixed_knot_cubic_spline,50.0,0.5362337253368423,0.5823104322453075,6.0760154843192495,1526.500955379482,9.368884535027787,332.03125,窗内局部正峰，非生理确认
VisualCogA_Task-1,-1,F3,47,fixed_knot_cubic_spline,50.0,0.5449544839970365,0.5406023619579842,0.0,0.0,,,无合格窗内局部正峰
VisualCogA_Task-1,-1,F4,47,fixed_knot_cubic_spline,50.0,0.6535518102399076,0.6353591791468849,0.0,0.0,,,无合格窗内局部正峰
VisualCogA_Task-1,1,Fz,43,fixed_knot_cubic_spline,50.0,0.6524614599590046,0.7075918298037781,0.9979804111292501,253.39346376328615,3.7347896313186357,347.65625,窗内局部正峰，非生理确认
VisualCogA_Task-1,1,F3,43,fixed_knot_cubic_spline,50.0,0.6331520875135286,0.6753166875135014,22.429811134648656,5619.981965399763,25.720435407726722,375.0,窗内局部正峰，非生理确认
VisualCogA_Task-1,1,F4,43,fixed_knot_cubic_spline,50.0,0.7096438622021178,0.846724613814994,18.46908734186229,4633.055302491992,22.827654959543988,347.65625,窗内局部正峰，非生理确认
VisualCogA_Task-2,-1,Fz,53,fixed_knot_cubic_spline,50.0,0.5145922723380953,0.4240905297854032,20.518380058200837,5128.222425845682,,,无合格窗内局部正峰
VisualCogA_Task-2,-1,F3,53,fixed_knot_cubic_spline,50.0,0.5037780446397945,0.47023127292833483,21.20908405681229,5298.602267660452,,,无合格窗内局部正峰
VisualCogA_Task-2,-1,F4,53,fixed_knot_cubic_spline,50.0,0.5365687698400587,0.39509807014435067,37.582307611999326,9391.825930554529,,,无合格窗内局部正峰
VisualCogA_Task-2,1,Fz,42,fixed_knot_cubic_spline,50.0,0.7060537488203673,0.6142453140602286,50.33005272985941,12584.633492516246,,,无合格窗内局部正峰
VisualCogA_Task-2,1,F3,42,fixed_knot_cubic_spline,50.0,0.6879522992524627,0.5254361748966487,91.86640262164785,22965.49211905624,,,无合格窗内局部正峰
VisualCogA_Task-2,1,F4,42,fixed_knot_cubic_spline,50.0,0.6969383343668729,0.7575155821544991,73.77834295158621,18449.67264956169,,,无合格窗内局部正峰
VisualCogB_Task-1,-1,Fz,46,fixed_knot_cubic_spline,50.0,0.6344286190510567,0.5827639285385998,1.0998318784102914,279.254187877613,4.74296014311754,343.75,窗内局部正峰，非生理确认
VisualCogB_Task-1,-1,F3,46,fixed_knot_cubic_spline,50.0,0.7466323089950355,0.48661805629247656,8.689072554034244,2172.3827756592527,11.622616501682641,363.28125,窗内局部正峰，非生理确认
VisualCogB_Task-1,-1,F4,46,fixed_knot_cubic_spline,50.0,0.673821665810754,0.5439816459656135,40.80203630296569,10204.78161397716,,,无合格窗内局部正峰
VisualCogB_Task-1,1,Fz,48,fixed_knot_cubic_spline,50.0,0.7556946962491332,0.7095601524263508,18.028759267857023,4515.777759324732,22.21005980950137,343.75,窗内局部正峰，非生理确认
VisualCogB_Task-1,1,F3,48,fixed_knot_cubic_spline,50.0,0.704562870809512,0.6862814600506014,0.0,0.0,,,无合格窗内局部正峰
VisualCogB_Task-1,1,F4,48,fixed_knot_cubic_spline,50.0,0.7164807474553472,0.7451289826648668,0.14619680226105636,37.12028182409633,1.1037271353104279,332.03125,窗内局部正峰，非生理确认
VisualCogB_Task-2,-1,Fz,45,fixed_knot_cubic_spline,50.0,0.9638243275439666,0.9351468834258962,43.955693805847766,10974.32977479304,,,无合格窗内局部正峰
VisualCogB_Task-2,-1,F3,45,fixed_knot_cubic_spline,50.0,0.9750514880246721,1.1137528853964118,15.129704904922958,3767.347020359807,18.024372364715592,308.59375,窗内局部正峰，非生理确认
VisualCogB_Task-2,-1,F4,45,fixed_knot_cubic_spline,50.0,0.8757758059810501,0.8242930900376098,39.78259480395455,9929.72038364401,40.237274047651965,328.125,窗内局部正峰，非生理确认
VisualCogB_Task-2,1,Fz,47,fixed_knot_cubic_spline,50.0,0.8108615979828104,0.9194318175491094,57.906306480537005,14473.38125043533,,,无合格窗内局部正峰
VisualCogB_Task-2,1,F3,47,fixed_knot_cubic_spline,50.0,0.6399242577504893,0.6773000661983474,47.459182745749104,11860.878985430041,,,无合格窗内局部正峰
VisualCogB_Task-2,1,F4,47,fixed_knot_cubic_spline,50.0,0.6824636828972497,0.7552959195037717,75.06589868557957,18760.011765481067,,,无合格窗内局部正峰
