dataset,block,start,end_exclusive,total,buffer_retained,retained,left,right
B2,0,0,47907,20,14,12,3,9
B2,1,47907,91728,20,12,12,5,7
B2,2,91728,135404,20,12,10,6,4
B2,3,135404,179440,20,12,12,4,8
B2,4,179440,228330,20,14,14,8,6
