dataset,trial_id,block,onset_sample,epoch_start,epoch_end_exclusive,cue,duration_ms,filter_start,filter_end_exclusive,guard_seconds,retained,reason,saturated_samples,PTP,max_jump
A2,1,0,5133,5069,5338,1,203.125,0,48707,24,False,filter_boundary_buffer,,,
A2,2,0,7418,7354,7623,-1,203.125,0,48707,24,True,retained,0.0,293.51996897561605,10.70535179739693
A2,3,0,9778,9714,9983,-1,203.125,0,48707,24,True,retained,0.0,146.602658634245,7.4394474158340245
A2,4,0,12014,11950,12219,-1,203.125,0,48707,24,True,retained,0.0,97.08041560667692,7.673543288137566
A2,5,0,14255,14191,14460,1,203.125,0,48707,24,True,retained,0.0,183.84769280476678,8.981999930049653
A2,6,0,16479,16415,16684,-1,203.125,0,48707,24,True,retained,0.0,292.3492247214851,10.897737093203943
A2,7,0,18675,18611,18880,1,203.125,0,48707,24,True,retained,0.0,145.24805763395048,10.31209288943569
A2,8,0,20864,20800,21069,1,203.125,0,48707,24,True,retained,0.0,311.65131292817296,10.058406263795959
A2,9,0,23056,22992,23261,-1,203.125,0,48707,24,True,retained,0.0,219.57791687081797,10.697196709466198
A2,10,0,25337,25273,25542,-1,203.125,0,48707,24,True,retained,0.0,361.95748705438825,10.710013278094323
A2,11,0,27533,27469,27738,1,203.125,0,48707,24,True,retained,0.0,157.94229602357336,10.655858468049402
A2,12,0,29761,29697,29966,1,207.03125,0,48707,24,True,retained,0.0,360.36851804297686,10.978355721443279
A2,13,0,31970,31906,32175,1,203.125,0,48707,24,True,retained,0.0,216.80010349405563,10.110735376243795
A2,14,0,34166,34102,34371,-1,203.125,0,48707,24,True,retained,0.0,573.5312006410259,10.20683499835502
A2,15,0,36415,36351,36620,-1,203.125,0,48707,24,True,retained,0.0,217.20730299080236,12.676301529181394
A2,16,0,38699,38635,38904,-1,203.125,0,48707,24,True,retained,0.0,195.92463829095212,8.987335854523621
A2,17,0,40943,40879,41148,1,207.03125,0,48707,24,True,retained,0.0,387.018595191335,14.155730663920508
A2,18,0,43164,43100,43369,1,203.125,0,48707,24,False,filter_boundary_buffer,,,
A2,19,0,45420,45356,45625,-1,203.125,0,48707,24,False,filter_boundary_buffer,,,
A2,20,0,47593,47529,47798,-1,203.125,0,48707,24,False,filter_boundary_buffer,,,
A2,21,1,49821,49757,50026,1,203.125,48707,92847,24,False,filter_boundary_buffer,,,
