dataset,block,start,end_exclusive,total,buffer_retained,retained,left,right
B2,0,0,47907,20,16,14,5,9
B2,1,47907,91728,20,14,14,7,7
B2,2,91728,135404,20,14,11,6,5
B2,3,135404,179440,20,14,14,5,9
B2,4,179440,228330,20,16,16,9,7
