dataset,trial_id,block,onset_sample,epoch_start,epoch_end_exclusive,cue,duration_ms,filter_start,filter_end_exclusive,guard_seconds,retained,reason,saturated_samples,PTP,max_jump
B2,1,0,5134,5070,5339,-1,207.03125,0,47907,32,False,filter_boundary_buffer,,,
B2,2,0,7347,7283,7552,-1,203.125,0,47907,32,False,filter_boundary_buffer,,,
B2,3,0,9611,9547,9816,-1,203.125,0,47907,32,True,retained,0.0,130.7882916866783,7.462670806769395
B2,4,0,11871,11807,12076,1,207.03125,0,47907,32,True,retained,0.0,173.01304211689444,9.953098090404069
B2,5,0,13996,13932,14201,-1,203.125,0,47907,32,True,retained,0.0,134.13078372141226,12.577546274344911
B2,6,0,16161,16097,16366,1,203.125,0,47907,32,True,retained,0.0,786.7202535230399,14.502485427458168
B2,7,0,18321,18257,18526,1,203.125,0,47907,32,True,retained,0.0,972.8653217690926,8.591931770378551
B2,8,0,20498,20434,20703,1,203.125,0,47907,32,True,retained,0.0,350.68370305461656,9.295910691833456
B2,9,0,22630,22566,22835,1,203.125,0,47907,32,True,retained,0.0,143.22631729062513,9.34313173573284
B2,10,0,24759,24695,24964,-1,203.125,0,47907,32,True,retained,0.0,961.983785038867,12.581890106478795
B2,11,0,26927,26863,27132,1,203.125,0,47907,32,True,retained,0.0,595.3728645051943,8.469515364852867
B2,12,0,29131,29067,29336,1,207.03125,0,47907,32,True,retained,0.0,160.59982992790228,11.340227547171736
B2,13,0,31372,31308,31577,1,203.125,0,47907,32,True,retained,0.0,192.71040707628975,10.500228424069803
B2,14,0,33576,33512,33781,1,207.03125,0,47907,32,False,quality,92.0,2288.7491014476827,482.22776331966423
B2,15,0,35809,35745,36014,1,203.125,0,47907,32,True,retained,0.0,855.2018675247677,12.095751752441515
B2,16,0,38033,37969,38238,1,203.125,0,47907,32,False,quality,158.0,2286.895420243652,476.55808628034436
B2,17,0,40198,40134,40403,-1,203.125,0,47907,32,False,filter_boundary_buffer,,,
B2,18,0,42378,42314,42583,1,203.125,0,47907,32,False,filter_boundary_buffer,,,
B2,19,0,44603,44539,44808,1,203.125,0,47907,32,False,filter_boundary_buffer,,,
B2,20,0,46811,46747,47016,-1,203.125,0,47907,32,False,filter_boundary_buffer,,,
B2,21,1,49003,48939,49208,1,207.03125,47907,91728,32,False,filter_boundary_buffer,,,
B2,22,1,51140,51076,51345,1,203.125,47907,91728,32,False,filter_boundary_buffer,,,
B2,23,1,53340,53276,53545,-1,207.03125,47907,91728,32,False,filter_boundary_buffer,,,
B2,24,1,55493,55429,55698,-1,203.125,47907,91728,32,False,filter_boundary_buffer,,,
B2,25,1,57693,57629,57898,-1,203.125,47907,91728,32,True,retained,0.0,564.4193800801977,9.237462424850037
B2,26,1,59878,59814,60083,1,203.125,47907,91728,32,True,retained,0.0,879.6598267894282,12.843072526199308
B2,27,1,62070,62006,62275,-1,203.125,47907,91728,32,True,retained,0.0,638.7695416174334,10.03795064804558
B2,28,1,64295,64231,64500,-1,203.125,47907,91728,32,True,retained,0.0,157.36232390432053,13.1880378680614
B2,29,1,66447,66383,66652,-1,203.125,47907,91728,32,True,retained,0.0,587.8100635606145,10.553815292954539
B2,30,1,68632,68568,68837,1,203.125,47907,91728,32,True,retained,0.0,578.9509617951118,14.644305239890627
B2,31,1,70844,70780,71049,1,203.125,47907,91728,32,True,retained,0.0,297.4062531737289,7.662061154930598
B2,32,1,73045,72981,73250,1,203.125,47907,91728,32,True,retained,0.0,692.6622825731046,10.256801877954558
B2,33,1,75189,75125,75394,1,203.125,47907,91728,32,True,retained,0.0,407.8216242650401,9.907350589695511
B2,34,1,77369,77305,77574,1,207.03125,47907,91728,32,True,retained,0.0,222.0239558710383,8.213465546646376
