dataset,trial_id,block,onset_sample,epoch_start,epoch_end_exclusive,cue,duration_ms,filter_start,filter_end_exclusive,guard_seconds,retained,reason,saturated_samples,PTP,max_jump
A1,52,2,114983,114919,115188,1,203.125,90403,133255,24,True,retained,0.0,1282.090713259723,9.99731135936105
A1,53,2,117148,117084,117353,1,203.125,90403,133255,24,True,retained,6.0,1158.7085752788041,16.084245040677757
A1,54,2,119264,119200,119469,-1,203.125,90403,133255,24,True,retained,0.0,1014.9189403573116,10.897381584919799
A1,55,2,121417,121353,121622,1,203.125,90403,133255,24,True,retained,0.0,109.09400441946063,8.085952311597438
A1,56,2,123541,123477,123746,-1,203.125,90403,133255,24,True,retained,0.0,190.52981906814932,8.15519027317761
A1,57,2,125702,125638,125907,-1,203.125,90403,133255,24,True,retained,0.0,161.18600950477685,9.73160774191399
A1,58,2,127862,127798,128067,1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,59,2,130027,129963,130232,1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,60,2,132175,132111,132380,-1,203.125,90403,133255,24,False,filter_boundary_buffer,,,
A1,61,3,134336,134272,134541,1,203.125,133255,176086,24,False,filter_boundary_buffer,,,
A1,62,3,136656,136592,136861,-1,203.125,133255,176086,24,False,filter_boundary_buffer,,,
A1,63,3,138788,138724,138993,1,207.03125,133255,176086,24,False,filter_boundary_buffer,,,
A1,64,3,140941,140877,141146,1,203.125,133255,176086,24,True,retained,0.0,391.8606493096521,13.297707503712303
A1,65,3,143037,142973,143242,-1,207.03125,133255,176086,24,True,retained,0.0,78.39868175570521,7.73873333200396
A1,66,3,145214,145150,145419,1,203.125,133255,176086,24,True,retained,0.0,181.33738779979927,11.821178202391184
A1,67,3,147338,147274,147543,-1,207.03125,133255,176086,24,True,retained,0.0,143.93778845862715,7.2758349365215675
A1,68,3,149495,149431,149700,-1,203.125,133255,176086,24,True,retained,0.0,132.10537392428853,11.955558455239085
A1,69,3,151611,151547,151816,1,207.03125,133255,176086,24,True,retained,0.0,109.50818982697497,9.326397194551042
A1,70,3,153760,153696,153965,1,203.125,133255,176086,24,True,retained,0.0,132.64940881996995,7.1042215235609945
A1,71,3,155889,155825,156094,-1,203.125,133255,176086,24,True,retained,0.0,141.3500853345136,13.635843044507872
A1,72,3,158017,157953,158222,1,203.125,133255,176086,24,True,retained,0.0,160.04874263166215,8.034273490036835
A1,73,3,160090,160026,160295,-1,203.125,133255,176086,24,True,retained,0.0,72.73264131383098,6.650702431619436
A1,74,3,162254,162190,162459,1,203.125,133255,176086,24,True,retained,0.0,406.13902559915454,6.986334107933544
A1,75,3,164367,164303,164572,-1,203.125,133255,176086,24,True,retained,0.0,128.724358042888,8.58245434361912
A1,76,3,166495,166431,166700,1,203.125,133255,176086,24,True,retained,0.0,184.39226887409725,6.519277806159579
A1,77,3,168596,168532,168801,-1,203.125,133255,176086,24,False,quality,323.0,321.80138817547504,10.472876714873223
A1,78,3,170736,170672,170941,-1,207.03125,133255,176086,24,False,filter_boundary_buffer,,,
A1,79,3,172861,172797,173066,-1,203.125,133255,176086,24,False,filter_boundary_buffer,,,
A1,80,3,175002,174938,175207,-1,203.125,133255,176086,24,False,filter_boundary_buffer,,,
A1,81,4,177170,177106,177375,-1,203.125,176086,223845,24,False,filter_boundary_buffer,,,
A1,82,4,179318,179254,179523,1,207.03125,176086,223845,24,False,filter_boundary_buffer,,,
A1,83,4,181459,181395,181664,-1,203.125,176086,223845,24,False,filter_boundary_buffer,,,
A1,84,4,183556,183492,183761,1,203.125,176086,223845,24,True,retained,0.0,462.5910513311435,12.591098538940344
A1,85,4,185672,185608,185877,-1,203.125,176086,223845,24,True,retained,0.0,353.8692231997613,5.971849864572803
A1,86,4,187789,187725,187994,1,203.125,176086,223845,24,True,retained,0.0,191.2547024694425,9.744436239116709
A1,87,4,189909,189845,190114,1,203.125,176086,223845,24,True,retained,0.0,122.74775716503513,11.919695207747964
A1,88,4,192086,192022,192291,1,203.125,176086,223845,24,False,quality,87.0,834.3811375753934,11.137180455162934
A1,89,4,194210,194146,194415,1,203.125,176086,223845,24,True,retained,0.0,253.27703964951186,10.460234314182031
A1,90,4,196339,196275,196544,1,203.125,176086,223845,24,True,retained,0.0,131.88556122091455,13.227255544900757
A1,91,4,198451,198387,198656,-1,207.03125,176086,223845,24,True,retained,0.0,570.7788202220618,6.971208811583551
A1,92,4,200656,200592,200861,1,203.125,176086,223845,24,True,retained,0.0,59.49838976065428,6.378215123933472
A1,93,4,202756,202692,202961,1,203.125,176086,223845,24,True,retained,0.0,157.21599272071626,12.688586043179498
A1,94,4,204941,204877,205146,1,203.125,176086,223845,24,True,retained,0.0,95.80435248392999,9.8045286632602
A1,95,4,207113,207049,207318,-1,203.125,176086,223845,24,True,retained,0.0,113.8828990358319,9.8672098258657
A1,96,4,209286,209222,209491,1,203.125,176086,223845,24,True,retained,0.0,120.61634766314555,12.308146872474516
A1,97,4,211382,211318,211587,1,203.125,176086,223845,24,True,retained,0.0,376.9394502167402,8.537044841762793
A1,98,4,213467,213403,213672,-1,203.125,176086,223845,24,True,retained,0.0,506.5817460522421,7.860282151628155
A1,99,4,215619,215555,215824,-1,207.03125,176086,223845,24,True,retained,0.0,79.8422150957437,7.625080070492054
A1,100,4,217816,217752,218021,1,203.125,176086,223845,24,False,filter_boundary_buffer,,,
