dataset,block,start,end_exclusive,total,buffer_retained,retained,left,right
A2,0,0,48707,20,14,14,8,6
A2,1,48707,92847,20,12,10,6,4
A2,2,92847,137084,20,12,11,6,5
A2,3,137084,181171,20,12,12,5,7
A2,4,181171,230157,20,14,13,10,3
