dataset,block,start,end_exclusive,total,buffer_retained,retained,left,right
B1,0,0,47236,20,14,13,6,7
B1,1,47236,90008,20,12,11,4,7
B1,2,90008,132743,20,12,11,5,6
B1,3,132743,175474,20,12,12,7,5
B1,4,175474,223005,20,14,12,7,5
