dataset,block,start,end_exclusive,total,buffer_retained,retained,left,right
A1,0,0,47511,20,14,12,6,6
A1,1,47511,90403,20,12,10,6,4
A1,2,90403,133255,20,12,11,6,5
A1,3,133255,176086,20,12,12,6,6
A1,4,176086,223845,20,14,13,4,9
