dataset,cue,channel,n_trials,fit_family,smoothing_s,noise_scale_used,fit_RMSE_50_750,fit_RMSE_250_500,positive_mean,positive_area_unit_ms,local_positive_peak,local_peak_latency_ms,peak_status
VisualCogA_Task-1,-1,Fz,47,cubic_smoothing_spline,11.246841991376455,0.25,0.24996490855247455,0.2191296551347114,6.659646121701283,1671.959360871805,10.889327737262601,332.03125,窗内局部正峰，非生理确认
VisualCogA_Task-1,-1,F3,47,cubic_smoothing_spline,11.249515978312955,0.25,0.24999462192340757,0.28380336236590287,0.0,0.0,,,无合格窗内局部正峰
VisualCogA_Task-1,-1,F4,47,cubic_smoothing_spline,11.25011108141965,0.25,0.25000123423494947,0.24115746676171002,0.0,0.0,,,无合格窗内局部正峰
VisualCogA_Task-1,1,Fz,43,cubic_smoothing_spline,11.249888162299271,0.25,0.2499987573557924,0.24879077362837168,1.437442070420502,364.97552569270556,5.034190855191045,359.375,窗内局部正峰，非生理确认
VisualCogA_Task-1,1,F3,43,cubic_smoothing_spline,11.250084165990373,0.25,0.25000093517592165,0.28350602537397684,2.5148440429812786,637.7316095118729,6.108510541010059,355.46875,窗内局部正峰，非生理确认
VisualCogA_Task-1,1,F4,43,cubic_smoothing_spline,11.257153597958007,0.25,0.25007947179022477,0.27303930402130844,7.688468234695528,1943.057092811861,10.542939409468518,347.65625,窗内局部正峰，非生理确认
VisualCogA_Task-2,-1,Fz,53,cubic_smoothing_spline,34.46100641432611,0.4375484232038847,0.4375500378644082,0.47556768604961364,7.929831947002992,1970.6165273460006,10.682933017081364,343.75,窗内局部正峰，非生理确认
VisualCogA_Task-2,-1,F3,53,cubic_smoothing_spline,25.65332002293751,0.37744423435718205,0.37751615140530753,0.39503969307125875,6.240929894206039,1539.2619724644578,,,无合格窗内局部正峰
VisualCogA_Task-2,-1,F4,53,cubic_smoothing_spline,47.59016153260943,0.514191354287112,0.514188473511683,0.5274052378873318,18.60364035339058,4638.269258641498,20.323803032276864,359.375,窗内局部正峰，非生理确认
VisualCogA_Task-2,1,Fz,42,cubic_smoothing_spline,67.86614697430622,0.6140280074077193,0.6140310658731013,0.5642033277011477,26.62554273000977,6665.536029316738,32.6835495710365,343.75,窗内局部正峰，非生理确认
VisualCogA_Task-2,1,F3,42,cubic_smoothing_spline,55.75345761870409,0.5567567814861241,0.5565441862197671,0.5843345336815378,46.2100385534932,11569.408363112303,55.102639071606816,472.65625,窗内局部正峰，非生理确认
VisualCogA_Task-2,1,F4,42,cubic_smoothing_spline,95.86777888965815,0.7298337153218449,0.729793650019793,0.764635150210161,33.704625685425796,8443.2739753784,42.9673829118047,343.75,窗内局部正峰，非生理确认
VisualCogB_Task-1,-1,Fz,46,cubic_smoothing_spline,11.24924542722177,0.25,0.24999161571742726,0.28281664471933865,1.519325545629871,385.37934442168614,7.881238290294867,351.5625,窗内局部正峰，非生理确认
VisualCogB_Task-1,-1,F3,46,cubic_smoothing_spline,11.251042304249156,0.25,0.25001158089008996,0.2700182301768921,3.05116050396254,752.773870570785,7.069988513988243,355.46875,窗内局部正峰，非生理确认
VisualCogB_Task-1,-1,F4,46,cubic_smoothing_spline,11.249195003470488,0.25,0.24999105543410605,0.23264219085012938,8.930190653619073,2229.9718980777543,14.25528905948523,351.5625,窗内局部正峰，非生理确认
VisualCogB_Task-1,1,Fz,48,cubic_smoothing_spline,11.250042597930191,0.25,0.2500004733098875,0.26941046788963385,15.56473032485191,3896.4980883050102,18.811843067642663,328.125,窗内局部正峰，非生理确认
VisualCogB_Task-1,1,F3,48,cubic_smoothing_spline,11.251028020651153,0.25,0.2500114221907466,0.28398219915394246,2.367208997770154,596.5398889546511,5.899266212171537,324.21875,窗内局部正峰，非生理确认
VisualCogB_Task-1,1,F4,48,cubic_smoothing_spline,11.241105575223758,0.25,0.24990115351678724,0.2209080502667436,1.7237828915701172,437.50412599954166,5.366364912540403,324.21875,窗内局部正峰，非生理确认
VisualCogB_Task-2,-1,Fz,45,cubic_smoothing_spline,45.57344556796343,0.5030456295794539,0.5031757234912153,0.4830537786756481,28.440245537794674,7123.460349848408,33.03558879369359,339.84375,窗内局部正峰，非生理确认
VisualCogB_Task-2,-1,F3,45,cubic_smoothing_spline,11.250239308038458,0.25,0.25000265896406487,0.2664605468148236,0.0,0.0,,,无合格窗内局部正峰
VisualCogB_Task-2,-1,F4,45,cubic_smoothing_spline,43.80772153004762,0.49335401627301934,0.493331765369398,0.38503693570681297,20.273381079713698,5094.745045895563,27.991922224616317,339.84375,窗内局部正峰，非生理确认
VisualCogB_Task-2,1,Fz,47,cubic_smoothing_spline,46.71282575220346,0.5093423305380771,0.5094268334347462,0.4766918904629784,10.79582143976598,2692.7922948031533,13.600501783790948,359.375,窗内局部正峰，非生理确认
VisualCogB_Task-2,1,F3,47,cubic_smoothing_spline,12.749993093520848,0.26614730752419263,0.266145251627762,0.2967131977148772,0.0,0.0,,,无合格窗内局部正峰
VisualCogB_Task-2,1,F4,47,cubic_smoothing_spline,55.85916399642225,0.5570282590631793,0.5570715294008595,0.5098905817325755,4.522160345241534,1125.8368720347582,10.816702879833828,300.78125,窗内局部正峰，非生理确认
