dataset,combined_model,nuisance_reference,S_delta_combined,S_delta_nuisance,incremental_S_delta
A1,ocular_plus_neural,ocular_step,-0.1629885528641084,-0.163694459339128,0.000705906475019671
A1,ramp_plus_neural,slow_ramp,-0.17771469877197887,-0.1556446906570692,-0.022070008114909518
A2,ocular_plus_neural,ocular_step,-0.2797599856469166,-0.2709689456551876,-0.00879103999172891
A2,ramp_plus_neural,slow_ramp,-0.2854423404555413,-0.2827798169919269,-0.0026625234636144736
B1,ocular_plus_neural,ocular_step,-0.030519033251917183,-0.0260888079409533,-0.0044302253109634974
B1,ramp_plus_neural,slow_ramp,-0.02113572395026475,-0.0426503428533791,0.021514618903114367
B2,ocular_plus_neural,ocular_step,0.16426783265187928,0.2343732009316701,-0.07010536827979093
B2,ramp_plus_neural,slow_ramp,0.1805146175212171,0.1792637379706904,0.001250879550526574
