dataset,fold,seed,level,stage,n_trials,V7_policy,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,1,2027,0.0,未校正,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2027,0.0,V7,18,保守比例,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
VisualCogA_Task-1,1,2027,0.5,未校正,18,保守比例,18.824001025846247,0.1956483238540263,11.555843571213119,2.7173095343725593,78.125,4,0.2839439931022393
VisualCogA_Task-1,1,2027,0.5,V7,18,保守比例,21.151731515778273,0.2198417229148213,12.572784290539277,2.922122992216338,64.453125,4,0.31555094803438194
VisualCogA_Task-1,1,2027,1.0,未校正,18,保守比例,37.62195452784108,0.3910259212894193,22.917830305011513,5.561688322329313,76.171875,4,0.5679305302651189
VisualCogA_Task-1,1,2027,1.0,V7,18,保守比例,34.97829578296312,0.3635489039663097,21.058074905986324,5.435943332873417,76.171875,4,0.5294818385654837
VisualCogA_Task-1,1,2027,2.0,未校正,18,保守比例,75.36692789281875,0.7833304458500134,46.47064340796603,12.533477982111188,77.1484375,4,1.1550954970336604
VisualCogA_Task-1,1,2027,2.0,V7,18,保守比例,65.51864793609525,0.6809717887434521,40.392543845664605,10.359199591839968,76.171875,4,0.9985518174635325
VisualCogA_Task-1,1,2039,0.0,未校正,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2039,0.0,V7,18,保守比例,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
VisualCogA_Task-1,1,2039,0.5,未校正,18,保守比例,19.86451699319422,0.2064629856613362,14.659887679270607,3.463666848775643,82.03125,3,0.31864699142190583
VisualCogA_Task-1,1,2039,0.5,V7,18,保守比例,21.415797679206374,0.2225863095832099,15.827830739493207,3.501250480671428,86.9140625,4,0.34123048422405816
VisualCogA_Task-1,1,2039,1.0,未校正,18,保守比例,39.723109190262214,0.4128643916176096,29.382374625828078,5.083626631158366,82.03125,3,0.6183950435428193
VisualCogA_Task-1,1,2039,1.0,V7,18,保守比例,36.393740167906394,0.37826040557760404,27.94652247847451,4.954876266332,82.03125,3,0.5749910778485205
VisualCogA_Task-1,1,2039,2.0,未校正,18,保守比例,79.72907988118875,0.8286687203087364,59.55975756404623,6.921436973452072,106.4453125,4,1.2101259302258445
VisualCogA_Task-1,1,2039,2.0,V7,18,保守比例,69.14243328312551,0.7186358075766309,52.93525596795121,6.61324981670271,106.4453125,4,1.0624637899718676
VisualCogA_Task-1,1,2053,0.0,未校正,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2053,0.0,V7,18,保守比例,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
VisualCogA_Task-1,1,2053,0.5,未校正,18,保守比例,20.97813667481101,0.21803745507514588,15.240282132433633,3.794884278992857,71.2890625,4,0.3366801693671304
VisualCogA_Task-1,1,2053,0.5,V7,18,保守比例,24.189764423317264,0.25141769049776275,15.261268343327211,4.034031060594432,79.1015625,4,0.3726550511351793
VisualCogA_Task-1,1,2053,1.0,未校正,18,保守比例,42.06869204121694,0.43724334020669736,30.228968014568807,5.800356885862619,88.8671875,4,0.6546229269799564
VisualCogA_Task-1,1,2053,1.0,V7,18,保守比例,40.4018003188687,0.4199184064120275,27.29070161196808,5.7404433517424565,86.9140625,4,0.6214057590917619
VisualCogA_Task-1,1,2053,2.0,未校正,18,保守比例,83.84892158497576,0.871488529061568,60.78494859352186,7.9147173866308265,95.703125,4,1.26963650164826
VisualCogA_Task-1,1,2053,2.0,V7,18,保守比例,75.04272664669377,0.7799608417839784,52.51430306567033,7.55167609000251,105.46875,3,1.1313548120029389
VisualCogA_Task-1,2,2027,0.0,未校正,18,保守比例,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
VisualCogA_Task-1,2,2027,0.0,V7,18,保守比例,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
