cue,channel,metric,stage,point,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,20.37700961394228,2.9239398984242526,45.47598811767178,53,400
-1,Fz,proxy_MAE,V7,18.16007301778903,2.4812822083820953,40.462749163840016,53,400
-1,Fz,proxy_MAE,V7减预处理,-2.21693659615325,-5.3379797439405605,0.005604562466694356,53,400
-1,Fz,positive_mean,预处理,22.4732857534632,0.2518726465602243,47.572264257192714,53,400
-1,Fz,positive_mean,V7,20.256349157309945,0.46567461173400193,42.559025303360926,53,400
-1,Fz,positive_mean,V7减预处理,-2.2169365961532534,-5.337979743940534,0.4112712973281445,53,400
-1,F3,proxy_MAE,预处理,23.536591330744077,6.8029370283185076,75.36395117641948,53,400
-1,F3,proxy_MAE,V7,20.767610341855555,6.411131682131296,68.56810463350634,53,400
-1,F3,proxy_MAE,V7减预处理,-2.768980988888522,-8.737090108612927,0.21547440045247368,53,400
-1,F3,positive_mean,预处理,23.28412939915802,0.0,75.11148924483342,53,400
-1,F3,positive_mean,V7,20.51514841026949,0.0,68.31564270192027,53,400
-1,F3,positive_mean,V7减预处理,-2.7689809888885293,-8.737090108612968,0.29468426511336315,53,400
-1,F4,proxy_MAE,预处理,30.165091637472944,3.309627185000464,70.55566341763569,53,400
-1,F4,proxy_MAE,V7,26.887063488986893,3.2933396214876502,63.711680445178345,53,400
-1,F4,proxy_MAE,V7减预处理,-3.278028148486051,-8.49148631946452,0.28840257716635836,53,400
-1,F4,positive_mean,预处理,40.242318897579494,0.44069376979028757,80.63289067774225,53,400
-1,F4,positive_mean,V7,36.96429074909344,0.7146774812025735,73.78890770528488,53,400
-1,F4,positive_mean,V7减预处理,-3.278028148486051,-8.491486319464506,1.5025949409689405,53,400
1,Fz,proxy_MAE,预处理,49.604671014278466,24.339015857360344,73.70197384315165,42,400
1,Fz,proxy_MAE,V7,46.34498991479553,22.20111812630787,68.21538607515468,42,400
1,Fz,proxy_MAE,V7减预处理,-3.2596810994829326,-5.631021514075062,-1.3636516608746583,42,400
1,Fz,positive_mean,预处理,53.80453116640994,28.53887600949183,77.90183399528313,42,400
1,Fz,positive_mean,V7,50.544850066927,26.40097827843933,72.41524622728616,42,400
1,Fz,positive_mean,V7减预处理,-3.2596810994829397,-5.631021514075021,-1.3636516608746512,42,400
1,F3,proxy_MAE,预处理,91.98185428067407,46.057694565338245,135.01467932718933,42,400
1,F3,proxy_MAE,V7,85.62753078688189,44.2121833147424,123.75440550793367,42,400
1,F3,proxy_MAE,V7减预处理,-6.3543234937921795,-10.89085271570528,-2.264226215637305,42,400
1,F3,positive_mean,预处理,98.3614203540861,52.43726063875031,141.39424540060133,42,400
1,F3,positive_mean,V7,92.00709686029393,50.59174938815443,130.1339715813457,42,400
1,F3,positive_mean,V7减预处理,-6.3543234937921795,-10.890852715705295,-2.264226215637347,42,400
1,F4,proxy_MAE,预处理,69.95500907134095,38.0943696067213,99.96505111671127,42,400
1,F4,proxy_MAE,V7,64.3182187582023,35.18028628723345,92.81004166904677,42,400
1,F4,proxy_MAE,V7减预处理,-5.636790313138647,-9.521973854191838,-2.2651891101931625,42,400
1,F4,positive_mean,预处理,79.68445966662283,47.82382020200319,109.69450171199311,42,400
1,F4,positive_mean,V7,74.04766935348415,44.909736882515325,102.53949226432867,42,400
1,F4,positive_mean,V7减预处理,-5.636790313138675,-9.52197385419181,-2.265189110193204,42,400
