dataset,trial_id,block,truth,common_50_250,common_250_500,common_500_750,midline_50_250,midline_250_500,midline_500_750,lateral_50_250,lateral_250_500,lateral_500_750
A1,2,0,1,-0.33571792148579516,-0.14265370012878456,0.0510063118281192,0.3775195978622252,0.14442221561374677,-0.002772313032231708,2.4548638785937036,2.815634872461787,3.092666685598941
A1,4,0,-1,-0.94834104677918,-1.1091074189944459,-1.1506404304198135,0.7839684321528542,0.8957095355398244,0.9655404514928976,-0.665727126251743,-0.6089612835505611,-0.47880157691556563
A1,5,0,1,-0.6405266683144154,-0.7217251135043264,-0.7907821931095899,0.438448260262988,0.53897700697297,0.5811872207993449,-0.6684322658050542,-0.7433650528563684,-0.6844526150125556
A1,6,0,-1,-2.199060847142566,-2.3806861810902435,-2.6517916686831344,1.9105081103205692,1.9298105408914428,2.067016551731919,0.6734580827748737,0.8356445843952515,0.828344880069935
A1,7,0,-1,-0.24397288253286456,-0.18333499353765537,-0.04386120235314935,0.13497457847615857,0.14638811634174986,0.055667337845648965,0.541036549574015,0.36219107725636573,0.3133577788769625
A1,8,0,-1,0.24736660176642694,0.26000345020530585,0.26266938448572125,-0.1651970232537428,-0.17044019888755327,-0.2100003533772549,-0.43130838341754935,-0.5257090954429846,-0.6674719577141978
A1,9,0,1,0.07889838192241051,0.06149658878800242,0.009370851706055772,-0.0006314742233894208,0.007821325420846816,0.046015838280181166,0.2932236928272972,0.2718095711028218,0.24479167090273027
A1,10,0,1,0.06768055470829781,0.25041751173873367,0.21861080403624591,-0.19329986094746193,-0.15386599111513252,-0.1777387311508019,-0.25500989468051866,-0.2598891065866123,-0.306171418540594
A1,11,0,1,-0.7796409348628284,-0.9403435634928007,-1.33480697520781,0.6693403595911773,0.7855843309981027,1.0225598906660696,-0.35655034773799404,-0.43993076565613665,-0.6775096656300931
A1,12,0,1,0.05575058140126961,0.18885071005535534,0.06286460388362183,-0.1333660690666189,-0.09579025873954039,-0.06354904084446523,-0.24738324703999715,-0.39665490098686035,-0.5235765945090192
A1,13,0,-1,0.12272184543424362,0.216912536840608,0.10731754836773572,-0.11922482124548736,-0.13175979916946878,-0.1229189616697482,-0.0021712389905569514,-0.10358258040800505,-0.08887290462956152
A1,15,0,1,-0.3439793938091899,-0.36630046480236245,-0.4762507557969953,0.24729909017021046,0.30925669645193604,0.3586073072955034,0.32547716001939486,0.24742259251475912,0.19195973181752454
A1,16,0,-1,-0.48714283179531387,-0.33799242773309685,-0.42440099269184123,0.4432863236508777,0.3851674345359362,0.3698080179383673,0.4990007054419388,0.5414884367207952,0.5306450855778353
A1,17,0,1,0.028582273811287282,0.2237976462404925,0.30977962963222383,-0.1506558927348682,-0.1699351204823859,-0.23233314438374608,-0.030987035598457554,-0.03383556600264537,-0.07579748869452761
A1,24,1,-1,0.34908093186557393,0.256786008372645,0.0679146908422826,-0.059840186311537404,-0.04709192487594177,-0.048658271294984054,-0.04831009393514331,-0.060222703612426494,-0.09781767957680038
A1,25,1,-1,-1.2243943864539732,-1.1841102825164378,-1.0786388368214317,1.0357160174282216,0.9817374186664386,0.9494818676009061,1.8952080663833761,2.257963911956573,2.3400528685704147
A1,26,1,1,0.24381737270018672,0.06319435818684908,-0.14780889118053742,0.07166602389520776,0.05392599655127582,0.02068586120510165,-0.28155890693997965,-0.12850166610788127,-0.007612072988149293
A1,28,1,-1,0.7125305711924018,0.3964702937219308,-0.7045793552197077,-0.20050356155450016,-0.17433599022713026,-0.027242610432004127,0.04495516888374601,0.03227393701359118,0.28650355244565096
A1,29,1,-1,0.5834694211830457,0.606778885989168,0.5623846623073628,-0.2516273180449931,-0.30362861610339675,-0.3653495206417524,-0.02596633490651155,-0.37503460587363524,-0.4935314124318886
A1,30,1,-1,0.1700683775336711,0.04955380194446203,-0.061474975461797636,0.08137801183691017,0.05746522509468436,0.08923963414364526,-0.3888589774561396,-0.3255697580015217,-0.2549599370938186
A1,31,1,-1,-0.5117917067418799,-0.36224666509385867,-0.34147863390000105,0.43458070021568346,0.3300404042733044,0.2505424556392562,0.8328260994752295,0.7956703677831125,0.7493211360144568
A1,32,1,1,-0.10211746080905906,-0.002723793681674645,-0.18404569979045138,0.097703146653448,0.10112458007971652,0.12569706739169478,-0.6056516224503578,-0.22586350731707802,-0.24089829425812326
A1,33,1,1,0.09141609659814506,0.037817364576822526,-0.052022669583247645,-0.0031054971040790987,-0.02250086655651514,-0.0005059727785710691,-0.12979334579977234,-0.0640961198186229,0.07716923262299696
A1,34,1,-1,-0.48744828152537584,-0.2628672099874831,-0.2893639391349677,0.1188058381620665,0.09506206654349057,0.08243549026431611,-0.05393122887089464,-0.17093647253468147,-0.07031820394291731
A1,35,1,1,-0.13189704129121974,-0.035966267389075816,-0.19596109173581175,0.12734534957191185,0.12427828646287441,0.1078560131490774,0.025941489781734193,0.01339032810736716,-0.046432895959592886
A1,37,1,-1,-0.0006937496133413978,-0.036231240480709186,0.10642705591747785,0.028262668300303526,0.0059341312938335335,-0.025119159935018145,-0.6357798582766593,-0.17475236910346073,-0.23494738365985515
A1,44,2,1,0.1488329634872642,0.20811791238587019,0.07615687213604458,-0.1891957002774963,-0.12822582561497137,-0.08235613991082494,-0.16935999807727778,-0.25259872582683723,-0.2503297016134543
A1,45,2,-1,-0.45801294242547846,-0.626463896286048,-0.7192417068545242,0.49701205746099636,0.5730493863318274,0.6854941950235981,-1.3036135087005156,-1.2166446715410952,-1.3065499539107037
A1,47,2,-1,-0.12356978991141113,-0.03682788616154908,-0.05877537598528662,0.10371591035926812,0.10351519604749718,0.10353835152507124,-0.13904362877211757,-0.022160011406693336,0.04778899107019415
A1,48,2,1,0.030068509492562647,0.006041472339804579,-0.023245193682143755,0.1072424800208774,0.09148982424813337,0.09539277583114089,0.15730551198065132,0.08466625891782731,0.18661849808288516
A1,49,2,-1,0.006708416226594331,0.17744725106233966,0.26989926204358805,-0.2058335041844903,-0.19046283050526838,-0.2268299872797003,-0.11703718050674163,-0.13767973232367414,-0.2803120815900126
A1,50,2,-1,-0.01975078792633572,-0.16479556631293313,-0.14404173048624602,0.1587424452248532,0.1738227090510125,0.16514267317124365,1.5374069456713548,1.1305740399382955,0.9089386264670896
A1,51,2,1,1.6803589745356282,1.223919530262066,0.6427653237657354,-1.508726343211481,-0.9821635600093186,-0.5614226579610441,-1.0507069733779468,-1.0737845339454968,-0.9281153114448703
A1,52,2,1,4.471879937938621,4.54958605610567,4.335707943344846,-4.600143918126177,-4.718724520661321,-4.6411371785112205,2.137023203349775,1.4112597632669144,1.2330648735439769
A1,53,2,1,3.8045830054219505,3.9271574413657233,3.687615159687595,-4.123592891148654,-4.1682288957914375,-3.970669299349023,2.4113019803273446,2.128074182180196,1.9317298197940904
A1,54,2,-1,2.8048227963619534,2.753136621839913,2.5593309275223697,-2.950081236568455,-2.7793847275465873,-2.5659508342972313,-5.549112718525847,-5.627860672764902,-5.206040333799966
A1,55,2,1,0.07734652219956611,0.32048744166190596,0.2651383292815833,-0.25807934599617716,-0.2293948149582315,-0.14827971682343752,-0.5283300137652389,0.3459541421940472,0.3990759444733458
A1,56,2,-1,0.6214096413620267,0.5725385210108423,0.6112728038235922,-0.33762767487620055,-0.4562655406264542,-0.5052194613789946,0.509006738108412,0.9434774841438366,0.8423562594055183
A1,57,2,-1,0.1202609136924428,0.081923560019667,0.34738861572611907,-0.00880949895506718,0.0695072259835995,0.11730820713432148,-0.11957528532714186,-0.12049230454472833,-0.1744073261756814
A1,64,3,1,-0.9991252998892076,-1.0429065984592298,-1.384633774711889,1.050038956479219,1.1448060274120984,1.3034141033662643,-0.8916722501515866,-0.4828663766591609,0.19263151590775568
A1,65,3,-1,-0.09608533427595804,-0.09513312719989056,-0.15719021009070475,0.2133021838823331,0.19954588113262375,0.24815063288211792,-0.006168864486016375,0.0403786779447027,0.09121245188807785
