cue,channel,metric,stage,point,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,9.676717541715277,1.9947105560493112,50.55245747066643,46,400
-1,Fz,proxy_MAE,V7,9.174850238808663,2.008876473737558,49.10198990265575,46,400
-1,Fz,proxy_MAE,V7减预处理,-0.5018673029066143,-2.770690642278555,1.1524771533615132,46,400
-1,Fz,positive_mean,预处理,1.003573738157463,0.0,39.96877735305753,46,400
-1,Fz,positive_mean,V7,1.2082217719310524,0.0,39.028738033479556,46,400
-1,Fz,positive_mean,V7减预处理,0.20464803377358942,-1.2289965475995979,1.3055947113017785,46,400
-1,F3,proxy_MAE,预处理,6.156330785269456,2.9403787336935143,56.034061967736726,46,400
-1,F3,proxy_MAE,V7,5.7594378664261185,3.0361195255008018,53.447400142297596,46,400
-1,F3,proxy_MAE,V7减预处理,-0.39689291884333766,-4.497063658063586,1.1765690386802743,46,400
-1,F3,positive_mean,预处理,9.173229718362187,0.0,59.05081183580317,46,400
-1,F3,positive_mean,V7,8.7771785759971,0.0,56.46415001036403,46,400
-1,F3,positive_mean,V7减预处理,-0.39605114236508676,-4.362735523378302,1.3627926470590186,46,400
-1,F4,proxy_MAE,预处理,33.53543782924629,2.819128141510382,74.62641324921972,46,400
-1,F4,proxy_MAE,V7,31.98501305240775,2.861197032742185,69.68206093467113,46,400
-1,F4,proxy_MAE,V7减预处理,-1.5504247768385397,-6.002237219697432,1.1832644215705537,46,400
-1,F4,positive_mean,预处理,41.88392537395796,0.21393976037325213,82.97490079393137,46,400
-1,F4,positive_mean,V7,40.33350059711942,0.7871285913099363,78.0305484793828,46,400
-1,F4,positive_mean,V7减预处理,-1.5504247768385397,-6.002237219697432,2.1238570673517625,46,400
1,Fz,proxy_MAE,预处理,15.948826556300093,2.622972704184218,62.72268594372622,48,400
1,Fz,proxy_MAE,V7,15.515085987592695,2.539824512903294,62.60139879709099,48,400
1,Fz,proxy_MAE,V7减预处理,-0.43374056870739786,-1.346235704070471,0.7479024945307532,48,400
1,Fz,positive_mean,预处理,18.459606519839472,0.0,65.23346590726558,48,400
1,Fz,positive_mean,V7,18.025865951132072,0.0,65.11217876063037,48,400
1,Fz,positive_mean,V7减预处理,-0.43374056870739963,-1.346235704070478,0.14718012282901916,48,400
1,F3,proxy_MAE,预处理,17.092363703313495,2.3971779131678517,58.329476963086805,48,400
1,F3,proxy_MAE,V7,15.674882632266625,2.199828544481655,51.6773689991025,48,400
1,F3,proxy_MAE,V7减预处理,-1.4174810710468702,-6.933372092573825,0.34823186774311254,48,400
1,F3,positive_mean,预处理,0.0,0.0,24.090644808150078,48,400
1,F3,positive_mean,V7,0.0,0.0,21.26021729654075,48,400
1,F3,positive_mean,V7减预处理,0.0,-3.0460344489820326,0.2052091185207044,48,400
1,F4,proxy_MAE,预处理,7.428362242474929,2.4030085665243206,50.32870993893871,48,400
1,F4,proxy_MAE,V7,6.838131715114573,2.3062282738886766,44.33726515392503,48,400
1,F4,proxy_MAE,V7减预处理,-0.5902305273603563,-6.1924002279796015,0.3404374654934546,48,400
1,F4,positive_mean,预处理,0.07328523320838871,0.0,33.60477669155183,48,400
1,F4,positive_mean,V7,0.1806772607550063,0.0,29.3510917221035,48,400
1,F4,positive_mean,V7减预处理,0.1073920275466176,-4.270717749399648,0.2543688163338705,48,400
