dataset,metric,stage,mean,paired_rows,valid_rows,total_rows
VisualCogA_Task-2,RMSE,预处理,48.206362601719796,6,6,6
VisualCogA_Task-2,RMSE,V3,14.390887534900537,6,6,6
VisualCogA_Task-2,RMSE,V4,23.447983105043594,6,6,6
VisualCogA_Task-2,RMSE,V6,44.45698789779514,6,6,6
VisualCogA_Task-2,RMSE,V7,44.278968649533546,6,6,6
VisualCogA_Task-2,corr,预处理,0.6011053901864755,6,6,6
VisualCogA_Task-2,corr,V3,0.4030427897632993,6,6,6
VisualCogA_Task-2,corr,V4,0.5960169800782817,6,6,6
VisualCogA_Task-2,corr,V6,0.6050616232257058,6,6,6
VisualCogA_Task-2,corr,V7,0.6066759501307014,6,6,6
VisualCogA_Task-2,shape_distance,预处理,0.6845417674104591,6,6,6
VisualCogA_Task-2,shape_distance,V3,0.8394785216209956,6,6,6
VisualCogA_Task-2,shape_distance,V4,0.6859208769624788,6,6,6
VisualCogA_Task-2,shape_distance,V6,0.6821477465342533,6,6,6
VisualCogA_Task-2,shape_distance,V7,0.681068904664806,6,6,6
VisualCogA_Task-2,baseline_RMS,预处理,21.26112946521175,6,6,6
VisualCogA_Task-2,baseline_RMS,V3,16.360393241852957,6,6,6
VisualCogA_Task-2,baseline_RMS,V4,17.8780644616745,6,6,6
VisualCogA_Task-2,baseline_RMS,V6,20.612634468488768,6,6,6
VisualCogA_Task-2,baseline_RMS,V7,20.57756670411147,6,6,6
VisualCogA_Task-2,trial_PTP_median,预处理,254.67971047684526,6,6,6
VisualCogA_Task-2,trial_PTP_median,V3,207.56094798457272,6,6,6
VisualCogA_Task-2,trial_PTP_median,V4,222.7192413409346,6,6,6
VisualCogA_Task-2,trial_PTP_median,V6,249.36532539505762,6,6,6
VisualCogA_Task-2,trial_PTP_median,V7,249.60469877406717,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,预处理,-9.35228101104063,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,V3,-11.068699717825263,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,V4,-11.592208636113952,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,V6,-9.403382696711484,6,6,6
VisualCogA_Task-2,SNR_proxy_dB,V7,-9.325554333556271,6,6,6
VisualCogA_Task-2,edge_band_ratio,预处理,0.4943499794841313,6,6,6
VisualCogA_Task-2,edge_band_ratio,V3,0.27210136369296845,6,6,6
VisualCogA_Task-2,edge_band_ratio,V4,0.3420118369044915,6,6,6
VisualCogA_Task-2,edge_band_ratio,V6,0.48794999614423923,6,6,6
VisualCogA_Task-2,edge_band_ratio,V7,0.48335672684540426,6,6,6
VisualCogA_Task-2,amp_error,预处理,56.52857781124368,6,6,6
VisualCogA_Task-2,amp_error,V3,13.986954225133836,6,6,6
VisualCogA_Task-2,amp_error,V4,27.34332773696897,6,6,6
VisualCogA_Task-2,amp_error,V6,51.812886825862115,6,6,6
VisualCogA_Task-2,amp_error,V7,51.581558808806186,6,6,6
VisualCogA_Task-2,P300_positive_mean,预处理,52.97502420621993,6,6,6
VisualCogA_Task-2,P300_positive_mean,V3,18.494336736810173,6,6,6
VisualCogA_Task-2,P300_positive_mean,V4,28.163004346833983,6,6,6
VisualCogA_Task-2,P300_positive_mean,V6,49.2388971241794,6,6,6
VisualCogA_Task-2,P300_positive_mean,V7,49.055900766229655,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,预处理,46.686490172959815,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,V3,12.205802703550058,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,V4,21.874470313573863,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,V6,42.950363090919296,6,6,6
VisualCogA_Task-2,P300_positive_mean_error,V7,42.76736673296955,6,6,6
VisualCogA_Task-2,P300_amp,预处理,70.71914474849909,6,6,6
VisualCogA_Task-2,P300_amp,V3,28.17752116238924,6,6,6
VisualCogA_Task-2,P300_amp,V4,41.53389467422438,6,6,6
VisualCogA_Task-2,P300_amp,V6,66.00345376311752,6,6,6
VisualCogA_Task-2,P300_amp,V7,65.77212574606159,6,6,6
VisualCogA_Task-2,latency_error_ms,预处理,13.671875,6,6,6
VisualCogA_Task-2,latency_error_ms,V3,65.10416666666667,6,6,6
VisualCogA_Task-2,latency_error_ms,V4,42.96875,6,6,6
VisualCogA_Task-2,latency_error_ms,V6,13.671875,6,6,6
VisualCogA_Task-2,latency_error_ms,V7,13.671875,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,预处理,13243.634786804623,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,V3,4625.633386556899,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,V4,7041.92472126072,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,V6,12310.15382884184,6,6,6
VisualCogA_Task-2,P300_AUC_unit_ms,V7,12264.297759647807,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,预处理,11675.02067442785,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,V3,3057.019274180127,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,V4,5473.310608883949,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,V6,10741.53971646507,6,6,6
VisualCogA_Task-2,P300_AUC_error_unit_ms,V7,10695.683647271035,6,6,6
VisualCogA_Task-2,P300_lat_ms,预处理,500.0,6,6,6
VisualCogA_Task-2,P300_lat_ms,V3,422.5260416666667,6,6,6
VisualCogA_Task-2,P300_lat_ms,V4,444.6614583333333,6,6,6
VisualCogA_Task-2,P300_lat_ms,V6,500.0,6,6,6
