dataset,stage,channel,first_left_n,first_right_n,second_left_n,second_right_n,contrast_correlation,second_first_norm_ratio
VisualCogB_Task-2,V4,Fz,20,26,25,21,-0.8301095156135778,0.6675128087210173
VisualCogB_Task-2,V4,F3,20,26,25,21,-0.6366323321986733,0.2568879117626508
VisualCogB_Task-2,V4,F4,20,26,25,21,-0.867452557134088,0.4500428534127506
VisualCogB_Task-2,V6,三通道合并,20,26,25,21,-0.4562924205730379,4.0558999415703765
VisualCogB_Task-2,V6,Fz,20,26,25,21,-0.3701455232363869,2.4987080117475893
VisualCogB_Task-2,V6,F3,20,26,25,21,0.5341417288584978,3.7428186813264466
VisualCogB_Task-2,V6,F4,20,26,25,21,0.10331638961097522,5.297673460025482
VisualCogB_Task-2,V7,三通道合并,20,26,25,21,-0.39982728157151887,4.6503552507509385
VisualCogB_Task-2,V7,Fz,20,26,25,21,-0.3395831275213087,2.910487535215657
VisualCogB_Task-2,V7,F3,20,26,25,21,0.5936232908656197,4.251500561583515
VisualCogB_Task-2,V7,F4,20,26,25,21,0.18820910374567118,6.194396677532704
