parameter,value_ms,objective,success,theta
0,20.0,6620.859119357875,True,"[20.0, 50.644407126849224, 249.99999999999983, 259.9999999999997]"
0,33.0,6241.564594761046,True,"[33.0, 48.45246453921609, 250.0, 259.999999999999]"
0,46.0,5887.956635809925,True,"[46.0, 46.23064112920635, 250.0, 259.9999999999995]"
0,59.0,5555.1707330909485,True,"[59.0, 43.92329067895133, 250.0, 260.00000000000034]"
0,72.0,5239.927930356718,True,"[72.0, 41.46154468266661, 249.99999999999943, 260.0000000000009]"
0,85.0,4944.633175825965,True,"[85.0, 38.85892441171242, 249.9999999999999, 260.0000000000003]"
0,98.0,4670.629178136083,True,"[98.0, 36.11129140984244, 250.0, 259.9999999999997]"
0,111.0,4418.309923554978,True,"[111.0, 33.20102297887491, 249.99999999999991, 260.00000000000034]"
0,124.0,4190.701410674909,True,"[124.0, 30.147605766105983, 249.99999999999991, 259.99999999999994]"
0,137.0,3989.5874748141514,True,"[137.0, 26.95624126288683, 249.99999999999997, 260.0000000000001]"
0,150.0,3816.2799281965863,True,"[150.0, 23.612634030337553, 250.0, 260.00000000002257]"
1,20.0,3838.212028548114,True,"[150.0, 20.0, 250.0, 260.00000000002257]"
1,28.0,3847.5638409981484,True,"[150.0, 28.0, 250.0, 260.00000000002257]"
1,36.0,4048.5313938675854,True,"[150.0, 36.0, 250.0, 260.00000000002257]"
1,44.0,4382.153319326409,True,"[147.1843497886532, 44.0, 250.0, 259.9999999999999]"
1,52.0,4772.385349548806,True,"[142.10395055788769, 52.0, 249.99999999999997, 260.0]"
1,60.0,5170.399331236947,True,"[143.34657880722844, 60.0, 249.9999999999999, 259.99999999999983]"
1,68.0,5507.114363961455,True,"[150.0, 68.0, 250.0, 260.00000000002257]"
1,76.0,5747.93141462068,True,"[150.0, 76.0, 250.0, 260.00000000002257]"
1,84.0,5882.274415027131,True,"[150.0, 84.0, 250.0, 260.00000000002257]"
1,92.0,5917.2395877108365,True,"[150.0, 92.0, 250.0, 260.00000000002257]"
1,100.0,5872.5493849356135,True,"[150.0, 100.0, 250.0, 260.00000000002257]"
2,70.0,4039.297408554224,True,"[150.0, 27.22798148035558, 70.0, 600.0]"
2,88.0,3952.718608775787,True,"[150.0, 27.52777873343082, 88.0, 600.0]"
2,106.0,5449.877473667223,True,"[149.99999999999758, 95.99999999990347, 106.0, 599.9999999998336]"
2,124.0,5128.769524739229,True,"[150.0, 100.0, 124.0, 600.0]"
2,142.0,9095.977822628567,True,"[150.0, 26.50518758834686, 142.0, 151.99999999995842]"
2,160.0,7333.296997891094,True,"[150.0, 26.772717550428716, 160.0, 170.00000000000023]"
2,178.0,6121.9310277844725,True,"[150.0, 26.558851613181048, 178.0, 187.99999999999972]"
2,196.0,5264.74135742037,True,"[150.0, 26.032543486571413, 196.0, 205.9999999999992]"
2,214.0,4640.449595653403,True,"[149.99999999999997, 25.317747702565352, 214.0, 224.0000000000003]"
2,232.0,4173.625280268301,True,"[150.0, 24.489596424703183, 232.0, 242.0]"
2,250.0,3816.2799281965863,True,"[150.0, 23.612634030337553, 250.0, 260.00000000002257]"
3,150.0,9338.128229632057,True,"[150.0, 26.430821872868968, 140.00000000001288, 150.0]"
3,195.0,5754.4662263998325,True,"[149.99999999999983, 26.383201182496144, 185.0, 195.0]"
3,240.0,4219.38392505357,True,"[149.99999999999994, 24.58616033416112, 229.9999999999999, 240.0]"
3,285.0,3968.3297940601224,True,"[149.99999999999997, 22.067174026662137, 249.99999999999997, 285.0]"
3,330.0,4247.852658310217,True,"[149.99999999999994, 20.0, 250.0, 330.0]"
3,375.0,4539.738835492232,True,"[149.99999999999991, 20.0, 249.99999999999983, 375.0]"
3,420.0,4841.02361092107,True,"[150.0, 20.0, 250.0, 420.0]"
3,465.0,5143.4769788612675,True,"[150.0, 20.0, 250.0, 465.0]"
3,510.0,5440.419646728128,True,"[150.0, 20.000000000000075, 249.99999999999983, 510.0]"
3,555.0,5726.558261225169,True,"[149.99999999999977, 20.000000000000163, 249.99999999999937, 555.0]"
3,600.0,5997.921184723406,True,"[150.0, 20.0, 250.0, 600.0]"
