tau_G,rank,lambda_A,theta,condition,objective
10.0,3,0.1,"[150.0, 100.0, 250.0, 600.0]",153.39768023092626,7938.432624597379
20.0,3,0.01,"[150.0, 23.612634030337553, 250.0, 260.00000000002257]",8.616651307296944,3816.2799281965863
40.0,3,0.01,"[149.99999999999994, 20.0, 250.0, 260.0000000000319]",8.89328964622699,3483.0575569599173
20.0,3,0.01,"[150.0, 23.612634030337553, 250.0, 260.00000000002257]",8.616651307296944,3816.2799281965863
20.0,3,0.1,"[150.0, 100.0, 250.0, 600.0]",166.0469276534616,7730.678767324414
20.0,3,1.0,"[150.0, 100.0, 250.0, 600.0]",166.0469276534616,18093.73837939013
