dataset,model,held_block,n_train,n_test,scale,recurrence,ridge,delta_MSE,zero_MSE,S_delta,RMSE,R2,Corr
A1,full,0,53,14,0.75,0.0,100.0,2507.1379982759886,2559.007773141218,0.02026948702916931,60.46918424665379,-0.9513647869170347,0.3335480182479217
A1,full,1,55,12,1.0,0.0,10.0,265.3584323425675,268.83902269041573,0.012946745279074912,19.299343471556533,-0.27026534855354134,0.1515770472238557
A1,full,2,54,13,1.25,0.2,1.0,24404.65886416219,28857.646356760688,0.15430875538313837,180.333890873891,-1.0621481378340092,-0.3697407399312621
A1,full,3,54,13,1.25,0.0,3.0,3568.7588550834757,1532.4332175004602,-1.3288185183720111,51.42495727483503,-1.116387756428026,-0.4345268259620807
A1,full,4,52,15,0.75,0.0,100.0,10764.122170870209,10854.09266628323,0.00828908488062774,83.30747575314687,-0.3567081418555387,0.2697564193902636
A1,no_shape,0,53,14,0.75,0.0,100.0,2559.007773141218,2559.007773141218,0.0,60.655493303678064,-0.9634078467954033,-0.08740546780800232
A1,no_shape,1,55,12,0.75,0.0,100.0,268.83902269041573,268.83902269041573,0.0,19.67790443236752,-0.3205871728457874,-0.07255333391875717
A1,no_shape,2,54,13,1.25,0.2,0.1,28857.646356760688,28857.646356760688,0.0,193.27882274100827,-1.3688289251009849,-0.6860727804246441
A1,no_shape,3,54,13,0.75,0.0,100.0,1532.4332175004602,1532.4332175004602,0.0,45.146897722656526,-0.631184880987889,-0.08362043565105429
A1,no_shape,4,52,15,0.75,0.0,100.0,10854.09266628323,10854.09266628323,0.0,83.52569398452712,-0.3638250590580008,-0.22813303584090588
A1,no_recurrence,0,53,14,0.75,0.0,100.0,2507.1379982759886,2559.007773141218,0.02026948702916931,60.46918424665379,-0.9513647869170347,0.3335480182479217
A1,no_recurrence,1,55,12,1.0,0.0,10.0,265.3584323425675,268.83902269041573,0.012946745279074912,19.299343471556533,-0.27026534855354134,0.1515770472238557
A1,no_recurrence,2,54,13,1.25,0.0,1.0,24220.968340352865,28857.646356760688,0.16067415752087333,179.4604462127448,-1.0422205435644574,-0.3431845780851272
