dataset,trial_id,block,cue,features,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24
A1,75,3,-1,amplitude,12.292555075461907,-8.476102772061127,-52.63504225603842,,,,,,,,,,,,,,,,,,,,,
A1,76,3,1,amplitude,11.473905992760368,-85.13033530464061,-101.38939308496674,,,,,,,,,,,,,,,,,,,,,
A1,84,4,1,amplitude,3.015702311947525,-171.73119961624212,-250.02164200325294,,,,,,,,,,,,,,,,,,,,,
A1,85,4,-1,amplitude,22.28197105079159,-133.79112482595832,-38.24382846203568,,,,,,,,,,,,,,,,,,,,,
A1,86,4,1,amplitude,9.570144676332342,10.745518659111543,-30.821035074803582,,,,,,,,,,,,,,,,,,,,,
A1,87,4,1,amplitude,-2.243483911143116,4.572133362165282,27.989350098265326,,,,,,,,,,,,,,,,,,,,,
A1,89,4,1,amplitude,3.0675879903160257,54.576901762814074,97.2011471335594,,,,,,,,,,,,,,,,,,,,,
A1,90,4,1,amplitude,5.13858593623284,-24.407021014855072,-6.143700373789312,,,,,,,,,,,,,,,,,,,,,
A1,91,4,-1,amplitude,34.191497237429736,-333.08286726836894,-283.14730622531994,,,,,,,,,,,,,,,,,,,,,
A1,92,4,1,amplitude,15.090074428160179,-2.3382640271434276,-15.224551827758331,,,,,,,,,,,,,,,,,,,,,
A1,93,4,1,amplitude,-0.6836923723653954,-5.204326238390202,-4.685070068808175,,,,,,,,,,,,,,,,,,,,,
A1,94,4,1,amplitude,-8.638569730494241,-15.234276438397007,-10.01760471629204,,,,,,,,,,,,,,,,,,,,,
A1,95,4,-1,amplitude,-3.764914496541656,-22.52203822504415,-3.98925899412498,,,,,,,,,,,,,,,,,,,,,
A1,96,4,1,amplitude,3.021330925225223,-43.77043830587354,-25.32288127047928,,,,,,,,,,,,,,,,,,,,,
A1,97,4,1,amplitude,2.070794557503614,7.637406539105044,15.740623484327266,,,,,,,,,,,,,,,,,,,,,
A1,98,4,-1,amplitude,89.31404324480197,-251.97867865104536,-150.16605406926166,,,,,,,,,,,,,,,,,,,,,
A1,99,4,-1,amplitude,13.38268279605073,-5.348170981872455,-7.3505388454005125,,,,,,,,,,,,,,,,,,,,,
A1,2,0,1,peak_latency,2.896180016147378,93.60492299136907,-140.06227900637205,17.84921308404327,102.57181795718066,,289.0625,375.0,,0.0,0.0,1.0,,,,,,,,,,,,
A1,4,0,-1,peak_latency,-4.875557060592079,-192.17105677378902,-141.6338650934752,16.58672870281007,,,300.78125,,,0.0,1.0,1.0,,,,,,,,,,,,
A1,5,0,1,peak_latency,-8.464900596252372,-136.80728294716636,-75.11603396351363,6.8490560442924,,,277.34375,,,0.0,1.0,1.0,,,,,,,,,,,,
