dataset,stage,model,held_block,condition,channel,RMSE,R2,Corr
A1,strict_oof,no_recurrence,1,Left,Fz,9.799632959709463,0.0681944977552954,0.6988808849970184
A1,strict_oof,no_recurrence,1,Left,F3,14.195982074486299,-0.7017820560392714,-0.7091675536582315
A1,strict_oof,no_recurrence,1,Left,F4,33.36253824938997,-2.681617086194537,-0.5100292266841928
A1,strict_oof,no_recurrence,1,Right,Fz,11.690772899229184,-0.0826475080682132,-0.7980008220155589
A1,strict_oof,no_recurrence,1,Right,F3,21.08647125770965,-2.0773687318392144,0.761696699223825
A1,strict_oof,no_recurrence,1,Right,F4,15.58386466409838,-0.1674188827191978,0.6854869816498658
A1,strict_oof,no_recurrence,2,Left,Fz,8.967204750245026,-1.6290665910351456,-0.5707304661258709
A1,strict_oof,no_recurrence,2,Left,F3,72.0102183123183,-60.99704705528502,-0.4379172269135315
A1,strict_oof,no_recurrence,2,Left,F4,134.19275522396197,-27.311445903412256,-0.39836624089344885
A1,strict_oof,no_recurrence,2,Right,Fz,38.186847242597274,-8.003265298816583,0.18541376385751396
A1,strict_oof,no_recurrence,2,Right,F3,306.36842243625796,-17.713003940418915,-0.5944292739048227
A1,strict_oof,no_recurrence,2,Right,F4,273.208504816075,-17.853295212761378,-0.6743757605629044
A1,strict_oof,no_recurrence,3,Left,Fz,7.558424618127095,-0.08430168384368408,0.005300864144958716
A1,strict_oof,no_recurrence,3,Left,F3,8.26401922487499,-0.4232719506120177,0.41251097323347896
A1,strict_oof,no_recurrence,3,Left,F4,23.37955305583752,-4.418381873328174,0.4168378664218637
A1,strict_oof,no_recurrence,3,Right,Fz,11.41743939456447,-2.796409338609821,-0.19022026961370447
A1,strict_oof,no_recurrence,3,Right,F3,78.91208311342014,-9.527366748429582,-0.0157057212211532
A1,strict_oof,no_recurrence,3,Right,F4,94.00880439158895,-5.2358356483038175,0.034893071726561066
A1,strict_oof,no_recurrence,4,Left,Fz,30.51669323025576,-5.952248853964017,-0.36874907476461727
A1,strict_oof,no_recurrence,4,Left,F3,169.54562244012308,-6.822924046797593,-0.39893117599445177
A1,strict_oof,no_recurrence,4,Left,F4,106.35333813692151,-9.384775456636596,-0.11656294000506334
A1,strict_oof,no_recurrence,4,Right,Fz,6.932559687050624,-0.26522660055957403,0.3070986220012103
A1,strict_oof,no_recurrence,4,Right,F3,16.647911115456115,-3.0034180788547014,-0.4724562162235656
A1,strict_oof,no_recurrence,4,Right,F4,18.099187348044442,-2.4926410127144805,-0.4182018548085807
A1,strict_oof,symmetric_readout,0,Left,Fz,4.036268770457242,-0.03653872180693285,0.4525189530414187
A1,strict_oof,symmetric_readout,0,Left,F3,94.74125476700044,-8.190669318678307,-0.3773934278401733
A1,strict_oof,symmetric_readout,0,Left,F4,101.4566477857553,-9.01204605243269,-0.37305540306875185
A1,strict_oof,symmetric_readout,0,Right,Fz,3.586388668306658,-0.05105960297872736,-0.4405986164935202
A1,strict_oof,symmetric_readout,0,Right,F3,28.44828803031265,-5.344156542931864,0.7067277352537772
A1,strict_oof,symmetric_readout,0,Right,F4,42.789442821923764,-8.442690663416272,0.7057717560988684
A1,strict_oof,symmetric_readout,1,Left,Fz,9.99598983072046,0.030478906211850565,0.8791554991234495
A1,strict_oof,symmetric_readout,1,Left,F3,14.799290817442564,-0.8495022519685402,-0.8800675881818211
A1,strict_oof,symmetric_readout,1,Left,F4,35.00948758946899,-3.0540766549398377,-0.8163873296661748
A1,strict_oof,symmetric_readout,1,Right,Fz,11.52535320578382,-0.052226220034853554,-0.7737784981758737
A1,strict_oof,symmetric_readout,1,Right,F3,19.017519052010012,-1.5031071470236825,0.8836476342854449
A1,strict_oof,symmetric_readout,1,Right,F4,15.229199886275538,-0.114886230000383,0.8023438007480944
A1,strict_oof,symmetric_readout,2,Left,Fz,8.978111258927544,-1.635465770260498,-0.568808920811198
A1,strict_oof,symmetric_readout,2,Left,F3,72.58238103365011,-61.98616566452057,-0.4569878784753461
A1,strict_oof,symmetric_readout,2,Left,F4,134.84293934586276,-27.586456972215217,-0.43395857342039335
A1,strict_oof,symmetric_readout,2,Right,Fz,38.304152520482006,-8.058664095282136,0.17670910096172118
