kind,iteration,dataset,features,BA,AUC
block_permutation,0,A1,amplitude,0.5473214285714285,0.5964285714285714
block_permutation,0,A1,peak_latency,0.46294642857142854,0.4392857142857143
block_permutation,0,A1,spatial,0.4174107142857143,0.3928571428571429
block_permutation,0,A1,mechanism,0.43169642857142854,0.42410714285714285
block_permutation,0,A1,covariance,0.4928571428571429,0.44732142857142854
block_permutation,0,A1,past_only,0.5214285714285714,0.5267857142857143
block_permutation,0,A1,previous_cue,0.5513392857142857,0.5669642857142856
block_permutation,0,A1,post_given_past,0.4888392857142857,0.4473214285714286
block_permutation,0,A2,amplitude,0.3696383515559294,0.3582842724978974
block_permutation,0,A2,peak_latency,0.47308662741799834,0.528174936921783
block_permutation,0,A2,spatial,0.47308662741799834,0.552565180824222
block_permutation,0,A2,mechanism,0.5634987384356602,0.5786375105130361
block_permutation,0,A2,covariance,0.4184188393608074,0.41968040370058873
block_permutation,0,A2,past_only,0.46299411269974766,0.44911690496215306
block_permutation,0,A2,previous_cue,0.4529015979814971,0.4415475189234651
block_permutation,0,A2,post_given_past,0.580740117746005,0.5517241379310345
block_permutation,0,B1,amplitude,0.5243697478991597,0.5647058823529412
block_permutation,0,B1,peak_latency,0.638235294117647,0.6361344537815127
block_permutation,0,B1,spatial,0.6235294117647059,0.6294117647058823
block_permutation,0,B1,mechanism,0.6084033613445379,0.6159663865546218
block_permutation,0,B1,covariance,0.5067226890756302,0.4361344537815126
block_permutation,0,B1,past_only,0.47815126050420165,0.45798319327731096
block_permutation,0,B1,previous_cue,0.5504201680672269,0.5722689075630253
block_permutation,0,B1,post_given_past,0.623109243697479,0.6773109243697479
block_permutation,0,B2,amplitude,0.5494087837837838,0.5481418918918919
block_permutation,0,B2,peak_latency,0.4172297297297297,0.47381756756756754
block_permutation,0,B2,spatial,0.4484797297297297,0.4755067567567568
block_permutation,0,B2,mechanism,0.43074324324324326,0.4636824324324324
block_permutation,0,B2,covariance,0.45565878378378377,0.4231418918918919
block_permutation,0,B2,past_only,0.47761824324324326,0.5278716216216217
block_permutation,0,B2,previous_cue,0.3361486486486487,0.3526182432432432
block_permutation,0,B2,post_given_past,0.45059121621621623,0.4518581081081081
block_permutation,0,pooled,amplitude,0.502910052910053,0.5197883597883598
block_permutation,0,pooled,peak_latency,0.4985449735449735,0.5132275132275133
block_permutation,0,pooled,spatial,0.4911375661375661,0.5182539682539682
block_permutation,0,pooled,mechanism,0.5126984126984127,0.524021164021164
block_permutation,0,pooled,covariance,0.47605820105820107,0.446984126984127
block_permutation,0,pooled,past_only,0.48716931216931214,0.49470899470899476
block_permutation,0,pooled,previous_cue,0.4756613756613757,0.4683333333333333
block_permutation,0,pooled,post_given_past,0.5382275132275132,0.5366666666666667
block_permutation,1,A1,amplitude,0.6008928571428571,0.6241071428571429
block_permutation,1,A1,peak_latency,0.5410714285714285,0.5857142857142856
block_permutation,1,A1,spatial,0.5566964285714285,0.5651785714285714
block_permutation,1,A1,mechanism,0.5357142857142857,0.5669642857142857
block_permutation,1,A1,covariance,0.5084821428571429,0.5330357142857143
block_permutation,1,A1,past_only,0.6111607142857143,0.6294642857142857
block_permutation,1,A1,previous_cue,0.4017857142857143,0.403125
block_permutation,1,A1,post_given_past,0.4602678571428571,0.5053571428571428
block_permutation,1,A2,amplitude,0.5908326324642557,0.6383515559293524
block_permutation,1,A2,peak_latency,0.5878889823380993,0.6005046257359126
block_permutation,1,A2,spatial,0.605130361648444,0.5845248107653491
block_permutation,1,A2,mechanism,0.5218671152228764,0.5189234650967198
block_permutation,1,A2,covariance,0.5685449957947855,0.5576114381833475
block_permutation,1,A2,past_only,0.5298570227081582,0.5222876366694701
block_permutation,1,A2,previous_cue,0.394869638351556,0.351555929352397
block_permutation,1,A2,post_given_past,0.5218671152228764,0.56013456686291
block_permutation,1,B1,amplitude,0.4357142857142857,0.43025210084033616
block_permutation,1,B1,peak_latency,0.49159663865546216,0.45210084033613446
block_permutation,1,B1,spatial,0.476890756302521,0.4428571428571429
block_permutation,1,B1,mechanism,0.5205882352941176,0.4436974789915966
block_permutation,1,B1,covariance,0.5357142857142857,0.5294117647058824
block_permutation,1,B1,past_only,0.5361344537815126,0.4991596638655462
block_permutation,1,B1,previous_cue,0.47773109243697476,0.45840336134453774
block_permutation,1,B1,post_given_past,0.47773109243697476,0.43109243697478994
block_permutation,1,B2,amplitude,0.5401182432432432,0.5152027027027027
block_permutation,1,B2,peak_latency,0.5650337837837838,0.5692567567567568
block_permutation,1,B2,spatial,0.5046452702702703,0.5481418918918919
block_permutation,1,B2,mechanism,0.47761824324324326,0.48395270270270274
block_permutation,1,B2,covariance,0.4235641891891892,0.40625
block_permutation,1,B2,past_only,0.4797297297297297,0.4239864864864865
block_permutation,1,B2,previous_cue,0.5692567567567568,0.5071790540540541
block_permutation,1,B2,post_given_past,0.5202702702702703,0.5253378378378378
block_permutation,1,pooled,amplitude,0.537962962962963,0.5429100529100529
block_permutation,1,pooled,peak_latency,0.548015873015873,0.5580423280423281
block_permutation,1,pooled,spatial,0.5371693121693122,0.5420634920634921
block_permutation,1,pooled,mechanism,0.516005291005291,0.5160846560846561
block_permutation,1,pooled,covariance,0.5084656084656085,0.5055555555555555
block_permutation,1,pooled,past_only,0.5349206349206349,0.5165608465608466
block_permutation,1,pooled,previous_cue,0.45820105820105816,0.46044973544973544
block_permutation,1,pooled,post_given_past,0.4981481481481481,0.507089947089947
block_permutation,2,A1,amplitude,0.5214285714285714,0.5383928571428571
block_permutation,2,A1,peak_latency,0.5513392857142857,0.5803571428571429
block_permutation,2,A1,spatial,0.58125,0.6044642857142858
block_permutation,2,A1,mechanism,0.5955357142857143,0.5973214285714286
block_permutation,2,A1,covariance,0.5200892857142857,0.5258928571428572
block_permutation,2,A1,past_only,0.4642857142857143,0.4660714285714286
block_permutation,2,A1,previous_cue,0.4017857142857143,0.39821428571428563
block_permutation,2,A1,post_given_past,0.6084821428571429,0.6026785714285714
block_permutation,2,A2,amplitude,0.4894869638351556,0.5231286795626577
block_permutation,2,A2,peak_latency,0.5513036164844407,0.5298570227081582
block_permutation,2,A2,spatial,0.49957947855340623,0.5096719932716568
block_permutation,2,A2,mechanism,0.5117746005046258,0.48359966358284273
block_permutation,2,A2,covariance,0.40201850294365016,0.30950378469301937
block_permutation,2,A2,past_only,0.5197645079899075,0.447434819175778
block_permutation,2,A2,previous_cue,0.5878889823380993,0.6042893187552565
block_permutation,2,A2,post_given_past,0.4772918418839361,0.455004205214466
block_permutation,2,B1,amplitude,0.5352941176470588,0.5151260504201681
block_permutation,2,B1,peak_latency,0.5063025210084033,0.5277310924369748
block_permutation,2,B1,spatial,0.5063025210084033,0.5285714285714286
block_permutation,2,B1,mechanism,0.534453781512605,0.5403361344537815
block_permutation,2,B1,covariance,0.47941176470588237,0.5436974789915966
block_permutation,2,B1,past_only,0.5945378151260504,0.619327731092437
block_permutation,2,B1,previous_cue,0.40630252100840336,0.4357142857142857
block_permutation,2,B1,post_given_past,0.5495798319327732,0.561344537815126
block_permutation,2,B2,amplitude,0.5337837837837838,0.5422297297297298
block_permutation,2,B2,peak_latency,0.6347128378378378,0.6714527027027026
block_permutation,2,B2,spatial,0.6929898648648649,0.6925675675675677
block_permutation,2,B2,mechanism,0.6951013513513513,0.6765202702702703
block_permutation,2,B2,covariance,0.5472972972972974,0.5574324324324323
block_permutation,2,B2,past_only,0.38091216216216217,0.3445945945945946
block_permutation,2,B2,previous_cue,0.41934121621621623,0.4206081081081081
block_permutation,2,B2,post_given_past,0.6794763513513513,0.7018581081081081
block_permutation,2,pooled,amplitude,0.5265873015873016,0.537037037037037
block_permutation,2,pooled,peak_latency,0.5634920634920635,0.5815873015873017
block_permutation,2,pooled,spatial,0.5742063492063492,0.5852910052910053
block_permutation,2,pooled,mechanism,0.5883597883597884,0.5826984126984127
block_permutation,2,pooled,covariance,0.48822751322751323,0.4900529100529101
block_permutation,2,pooled,past_only,0.48703703703703705,0.47132275132275137
block_permutation,2,pooled,previous_cue,0.45806878306878307,0.44894179894179886
block_permutation,2,pooled,post_given_past,0.58505291005291,0.5933862433862435
block_permutation,3,A1,amplitude,0.5263392857142857,0.6116071428571428
block_permutation,3,A1,peak_latency,0.4901785714285714,0.48660714285714285
block_permutation,3,A1,spatial,0.5214285714285714,0.4946428571428571
block_permutation,3,A1,mechanism,0.4875,0.5267857142857143
block_permutation,3,A1,covariance,0.5200892857142857,0.500892857142857
block_permutation,3,A1,past_only,0.4758928571428571,0.41607142857142865
block_permutation,3,A1,previous_cue,0.5214285714285714,0.4758928571428571
block_permutation,3,A1,post_given_past,0.5669642857142857,0.6017857142857143
block_permutation,3,A2,amplitude,0.5290159798149705,0.56013456686291
block_permutation,3,A2,peak_latency,0.4579478553406224,0.534062237174096
block_permutation,3,A2,spatial,0.43566021867115223,0.5189234650967199
block_permutation,3,A2,mechanism,0.45079899074852814,0.5180824222035324
block_permutation,3,A2,covariance,0.3675357443229605,0.32548359966358287
block_permutation,3,A2,past_only,0.5340622371740958,0.5559293523969723
block_permutation,3,A2,previous_cue,0.5534062237174096,0.5870479394449117
block_permutation,3,A2,post_given_past,0.4112699747687132,0.43566021867115223
block_permutation,3,B1,amplitude,0.5050420168067227,0.5168067226890756
block_permutation,3,B1,peak_latency,0.5794117647058823,0.5890756302521009
block_permutation,3,B1,spatial,0.5214285714285714,0.5899159663865546
block_permutation,3,B1,mechanism,0.47731092436974787,0.5277310924369748
block_permutation,3,B1,covariance,0.47773109243697476,0.46974789915966386
block_permutation,3,B1,past_only,0.49159663865546216,0.4504201680672269
block_permutation,3,B1,previous_cue,0.7243697478991598,0.6403361344537816
block_permutation,3,B1,post_given_past,0.49201680672268905,0.549579831932773
block_permutation,3,B2,amplitude,0.43496621621621623,0.38344594594594594
block_permutation,3,B2,peak_latency,0.5130912162162162,0.5092905405405406
block_permutation,3,B2,spatial,0.45059121621621623,0.46790540540540543
block_permutation,3,B2,mechanism,0.4328547297297297,0.45185810810810817
block_permutation,3,B2,covariance,0.43074324324324326,0.3986486486486487
block_permutation,3,B2,past_only,0.6211993243243243,0.6790540540540541
block_permutation,3,B2,previous_cue,0.5536317567567568,0.4995777027027027
block_permutation,3,B2,post_given_past,0.42778716216216217,0.46959459459459457
block_permutation,3,pooled,amplitude,0.5054232804232803,0.5164550264550265
block_permutation,3,pooled,peak_latency,0.5121693121693122,0.5276719576719577
block_permutation,3,pooled,spatial,0.48664021164021165,0.5131746031746032
block_permutation,3,pooled,mechanism,0.4656084656084656,0.5036507936507937
block_permutation,3,pooled,covariance,0.4511904761904762,0.4283068783068783
block_permutation,3,pooled,past_only,0.5342592592592592,0.5297883597883597
block_permutation,3,pooled,previous_cue,0.5920634920634921,0.5783862433862433
block_permutation,3,pooled,post_given_past,0.4752645502645503,0.5139153439153439
block_permutation,4,A1,amplitude,0.5589285714285714,0.5071428571428571
block_permutation,4,A1,peak_latency,0.5888392857142857,0.5098214285714286
block_permutation,4,A1,spatial,0.5888392857142857,0.5598214285714285
block_permutation,4,A1,mechanism,0.5758928571428572,0.5678571428571428
block_permutation,4,A1,covariance,0.4732142857142857,0.42589285714285713
block_permutation,4,A1,past_only,0.4133928571428571,0.3446428571428572
block_permutation,4,A1,previous_cue,0.5683035714285714,0.5308035714285715
block_permutation,4,A1,post_given_past,0.5602678571428572,0.5410714285714286
block_permutation,4,A2,amplitude,0.5786375105130361,0.5769554247266611
block_permutation,4,A2,peak_latency,0.5634987384356602,0.5828427249789739
block_permutation,4,A2,spatial,0.5929352396972245,0.5550883095037846
block_permutation,4,A2,mechanism,0.5117746005046258,0.5029436501261565
block_permutation,4,A2,covariance,0.6000841042893188,0.6324642556770396
block_permutation,4,A2,past_only,0.47308662741799834,0.4238856181665265
block_permutation,4,A2,previous_cue,0.4751892346509672,0.48906644238856184
block_permutation,4,A2,post_given_past,0.49243061396131205,0.4861227922624054
block_permutation,4,B1,amplitude,0.6063025210084034,0.5840336134453782
block_permutation,4,B1,peak_latency,0.6067226890756303,0.5689075630252101
block_permutation,4,B1,spatial,0.5920168067226891,0.5697478991596638
block_permutation,4,B1,mechanism,0.5789915966386554,0.538655462184874
block_permutation,4,B1,covariance,0.5357142857142857,0.5529411764705883
block_permutation,4,B1,past_only,0.49201680672268905,0.534453781512605
block_permutation,4,B1,previous_cue,0.5508403361344538,0.4928571428571429
block_permutation,4,B1,post_given_past,0.5222689075630252,0.5495798319327732
block_permutation,4,B2,amplitude,0.41511824324324326,0.38175675675675674
block_permutation,4,B2,peak_latency,0.4953547297297297,0.41469594594594594
block_permutation,4,B2,spatial,0.4641047297297297,0.4079391891891892
block_permutation,4,B2,mechanism,0.46621621621621623,0.40456081081081086
block_permutation,4,B2,covariance,0.4983108108108108,0.4915540540540541
block_permutation,4,B2,past_only,0.4953547297297297,0.5092905405405406
block_permutation,4,B2,previous_cue,0.5671452702702703,0.5143581081081081
block_permutation,4,B2,post_given_past,0.39738175675675674,0.35304054054054057
block_permutation,4,pooled,amplitude,0.5423280423280423,0.5131216931216931
block_permutation,4,pooled,peak_latency,0.567063492063492,0.5293121693121693
block_permutation,4,pooled,spatial,0.5634920634920635,0.5334920634920635
block_permutation,4,pooled,mechanism,0.537962962962963,0.5088359788359789
block_permutation,4,pooled,covariance,0.5349206349206349,0.5351322751322751
block_permutation,4,pooled,past_only,0.4691798941798942,0.45814814814814814
block_permutation,4,pooled,previous_cue,0.5414021164021163,0.5053174603174604
block_permutation,4,pooled,post_given_past,0.49933862433862436,0.4921164021164021
block_permutation,5,A1,amplitude,0.5758928571428572,0.5875
block_permutation,5,A1,peak_latency,0.5370535714285714,0.5142857142857142
block_permutation,5,A1,spatial,0.49419642857142854,0.4732142857142857
block_permutation,5,A1,mechanism,0.5227678571428571,0.5473214285714286
block_permutation,5,A1,covariance,0.4955357142857143,0.5267857142857143
block_permutation,5,A1,past_only,0.4357142857142857,0.4732142857142857
block_permutation,5,A1,previous_cue,0.4602678571428571,0.5272321428571428
block_permutation,5,A1,post_given_past,0.5540178571428571,0.5214285714285714
block_permutation,5,A2,amplitude,0.4062237174095879,0.33978132884777124
block_permutation,5,A2,peak_latency,0.38183347350714886,0.38940285954583687
block_permutation,5,A2,spatial,0.39907485281749366,0.4264087468460891
block_permutation,5,A2,mechanism,0.3280067283431455,0.32632464255677035
block_permutation,5,A2,covariance,0.5391084945332212,0.5626576955424727
block_permutation,5,A2,past_only,0.29857022708158115,0.23717409587888985
block_permutation,5,A2,previous_cue,0.605130361648444,0.635407905803196
block_permutation,5,A2,post_given_past,0.468040370058873,0.4306139613120269
block_permutation,5,B1,amplitude,0.5050420168067227,0.47058823529411764
block_permutation,5,B1,peak_latency,0.5218487394957982,0.5327731092436975
block_permutation,5,B1,spatial,0.5222689075630252,0.5176470588235295
block_permutation,5,B1,mechanism,0.49327731092436977,0.47983193277310926
block_permutation,5,B1,covariance,0.49327731092436977,0.49495798319327733
block_permutation,5,B1,past_only,0.5071428571428571,0.48739495798319327
block_permutation,5,B1,previous_cue,0.523109243697479,0.5277310924369748
block_permutation,5,B1,post_given_past,0.523109243697479,0.5067226890756302
block_permutation,5,B2,amplitude,0.45059121621621623,0.4358108108108108
block_permutation,5,B2,peak_latency,0.33826013513513514,0.28800675675675674
block_permutation,5,B2,spatial,0.3205236486486487,0.27787162162162166
