dataset,horizon_s,stage,control,S,ci_low,ci_high,n,n_blocks,mode
A2,2.5,retrieval,N1,0.02009379941955758,0.0082488960260928,0.02900258457956506,68,5,frozen_V2_common_cohort
A2,2.5,retrieval,N3,0.002224638740931595,-0.012073249834070987,0.011364376214786146,68,5,frozen_V2_common_cohort
B1,1.5,encoding,N0,0.005885798082916227,-0.007642286568960044,0.02716766838735063,64,5,frozen_V2_common_cohort
B1,1.5,encoding,N1,-0.00014172703140369336,-0.005371425348440522,0.005926651684800666,64,5,frozen_V2_common_cohort
B1,1.5,encoding,N3,0.018699814319797836,-0.00029251673661212507,0.03676957819274196,64,5,frozen_V2_common_cohort
B1,1.5,maintenance,N0,-0.0022922835862280166,-0.012557913147971389,0.001811727565588006,64,5,frozen_V2_common_cohort
B1,1.5,maintenance,N1,-0.00010275483727850698,-0.0007419445915730627,0.0008797852271752449,64,5,frozen_V2_common_cohort
B1,1.5,maintenance,N3,0.002976271092602789,-0.013381522324982686,0.012918524105386187,64,5,frozen_V2_common_cohort
B1,1.5,retrieval,N0,-0.0012703908294642297,-0.008268713425038543,0.0031031056526482637,64,5,frozen_V2_common_cohort
B1,1.5,retrieval,N1,-0.0006558840774595343,-0.002916394501697006,0.001083557387757228,64,5,frozen_V2_common_cohort
B1,1.5,retrieval,N3,0.0033892947131786144,-0.0029714526471615876,0.015842817876560944,64,5,frozen_V2_common_cohort
B1,2.0,encoding,N0,0.005885798082916227,-0.0070840839324504135,0.02716766838735063,64,5,frozen_V2_common_cohort
B1,2.0,encoding,N1,-0.00014172703140369336,-0.005167100925633994,0.005926651684800666,64,5,frozen_V2_common_cohort
B1,2.0,encoding,N3,0.018699814319797836,-0.00029251673661212507,0.03676957819274196,64,5,frozen_V2_common_cohort
B1,2.0,maintenance,N0,-0.0022922835862280166,-0.012557913147971389,0.001811727565588006,64,5,frozen_V2_common_cohort
B1,2.0,maintenance,N1,-0.00010275483727850698,-0.0007257994930662814,0.0008797852271752449,64,5,frozen_V2_common_cohort
B1,2.0,maintenance,N3,0.002976271092602789,-0.013381522324982686,0.01314325164060981,64,5,frozen_V2_common_cohort
B1,2.0,retrieval,N0,-0.001266217565352612,-0.009492425919639391,0.003061985659841615,64,5,frozen_V2_common_cohort
B1,2.0,retrieval,N1,-0.0006505359501163266,-0.0035044736657248166,0.001083557387757228,64,5,frozen_V2_common_cohort
B1,2.0,retrieval,N3,0.003391973548084626,-0.002962189769206036,0.014793116092646441,64,5,frozen_V2_common_cohort
B1,2.5,encoding,N0,0.005885798082916227,-0.007084083932450191,0.026022017891512705,64,5,frozen_V2_common_cohort
B1,2.5,encoding,N1,-0.00014172703140369336,-0.005167100925633999,0.0056596551782620574,64,5,frozen_V2_common_cohort
B1,2.5,encoding,N3,0.018699814319797836,-0.00029251673661212507,0.03676957819274196,64,5,frozen_V2_common_cohort
B1,2.5,maintenance,N0,-0.0022922835862280166,-0.011885363681576111,0.0018005401034181302,64,5,frozen_V2_common_cohort
B1,2.5,maintenance,N1,-0.00010275483727850698,-0.0007257994930662814,0.0008797852271752449,64,5,frozen_V2_common_cohort
B1,2.5,maintenance,N3,0.002976271092602789,-0.012438128994025854,0.012918524105386187,64,5,frozen_V2_common_cohort
B1,2.5,retrieval,N0,-0.001266217565352612,-0.009833560491121718,0.0031019206482452155,64,5,frozen_V2_common_cohort
B1,2.5,retrieval,N1,-0.0006505359501163266,-0.0035044736657248166,0.001083557387757228,64,5,frozen_V2_common_cohort
B1,2.5,retrieval,N3,0.003391973548084626,-0.002962189769206036,0.016195584525094397,64,5,frozen_V2_common_cohort
B2,1.5,encoding,N0,-0.054568205520553636,-0.1045418158608793,-0.002017692793107706,71,5,frozen_V2_common_cohort
B2,1.5,encoding,N1,-0.01686163323458789,-0.0325672205927201,-0.002097328600435544,71,5,frozen_V2_common_cohort
B2,1.5,encoding,N3,-0.020512808938201177,-0.04946031837961429,0.006559582474801151,71,5,frozen_V2_common_cohort
B2,1.5,maintenance,N0,0.03435383222044275,0.01501941176363697,0.0488541394638172,71,5,frozen_V2_common_cohort
B2,1.5,maintenance,N1,-0.004213914227228166,-0.013059498317229856,0.0052450373005067386,71,5,frozen_V2_common_cohort
B2,1.5,maintenance,N3,0.027589113375743213,-0.002662394194379525,0.07209526025388924,71,5,frozen_V2_common_cohort
B2,1.5,retrieval,N0,0.10079578929043587,0.011273599404450718,0.17278386390349565,71,5,frozen_V2_common_cohort
B2,1.5,retrieval,N1,0.02173166457427822,0.005890311636029725,0.03558362746763951,71,5,frozen_V2_common_cohort
B2,1.5,retrieval,N3,-0.014445836433058634,-0.054692892373954916,0.027421469885403504,71,5,frozen_V2_common_cohort
B2,2.0,encoding,N0,-0.054568205520553636,-0.1045418158608793,-0.0009052306508661179,71,5,frozen_V2_common_cohort
B2,2.0,encoding,N1,-0.01686163323458789,-0.03294464261457919,-0.002097328600435766,71,5,frozen_V2_common_cohort
B2,2.0,encoding,N3,-0.020512808938201177,-0.04946031837961429,0.008406844989594875,71,5,frozen_V2_common_cohort
B2,2.0,maintenance,N0,0.03435383222044275,0.015019411763636747,0.048834697422247775,71,5,frozen_V2_common_cohort
B2,2.0,maintenance,N1,-0.004213914227228166,-0.013318090456384546,0.005246660415904261,71,5,frozen_V2_common_cohort
B2,2.0,maintenance,N3,0.027589113375743213,-0.0028070511928984325,0.07209526025388902,71,5,frozen_V2_common_cohort
B2,2.0,retrieval,N0,0.10124052756256097,0.01229101175811953,0.17281190958930592,71,5,frozen_V2_common_cohort
B2,2.0,retrieval,N1,0.02185156358988649,0.00568079094348517,0.03653303427165555,71,5,frozen_V2_common_cohort
B2,2.0,retrieval,N3,-0.014779299978844307,-0.05472535601592888,0.026632201521832988,71,5,frozen_V2_common_cohort
B2,2.5,encoding,N0,-0.054568205520553636,-0.1045418158608793,-0.0009052306508661179,71,5,frozen_V2_common_cohort
B2,2.5,encoding,N1,-0.01686163323458789,-0.03294464261457919,-0.0020973286004357604,71,5,frozen_V2_common_cohort
B2,2.5,encoding,N3,-0.020512808938201177,-0.04946031837961429,0.008406844989594875,71,5,frozen_V2_common_cohort
B2,2.5,maintenance,N0,0.03435383222044275,0.013800234479055318,0.048834697422247775,71,5,frozen_V2_common_cohort
B2,2.5,maintenance,N1,-0.004213914227228166,-0.013318090456384546,0.005336075293897387,71,5,frozen_V2_common_cohort
B2,2.5,maintenance,N3,0.027589113375743213,-0.002662394194379525,0.08021203380713782,71,5,frozen_V2_common_cohort
B2,2.5,retrieval,N0,0.10124052756256097,0.012291011758119419,0.17281190958930592,71,5,frozen_V2_common_cohort
B2,2.5,retrieval,N1,0.02185156358988649,0.00568079094348517,0.03653303427165555,71,5,frozen_V2_common_cohort
B2,2.5,retrieval,N3,-0.014779299978844307,-0.05472535601592887,0.030273761442329294,71,5,frozen_V2_common_cohort
