dataset,trial_id,block,cue,cue_sample,cue_end_sample,cue_duration_s,next_cue_sample,record_stop_sample,target_sample,target_s,target_status,platform_end_sample,platform_sign,click_sample,click_side,response_sample,response_s,rt_s,response_status,correctness,correctness_reason,timeout,timeout_reason,n_platforms,n_clicks,cue_platform_disagree,valid_events,event_issue,horizon_s,gap_s,retained,end_s,behavior_duration_s,behavior_event,behavior_survival_eligible,eeg_administrative_cutoff,window_status,bound_reason,behavior_status,filter_start_sample,filter_stop_sample,filter_mode,reason,epoch_start_sample,epoch_end_exclusive,saturation_fraction,PTP,max_jump,past_slopes
A1,11,0,1,27102,27154,0.203125,29254,223845,27669,2.21484375,platform_onset_hypothesis,27970,1.0,,,27970,3.390625,1.17578125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.290625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,27038,27945,0.0,847.1150425915558,9.821314751532412,"[[-41.46212319841153, -895.7009993994, -536.5049637125937], [10.759375725870468, 193.18999993408787, 252.9775318098392], [-0.2848525006772943, 20.121699752531267, -2.299412344991614]]"
A1,12,0,1,29254,29307,0.20703125,31379,223845,29822,2.21875,platform_onset_hypothesis,30096,1.0,,,30096,3.2890625,1.0703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.1890625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,29190,30071,0.0,342.91256462895484,9.263844365034345,"[[1.2037961612129777, -32.55519861565449, -65.21807472246678], [-10.257326103938649, -44.57720483390776, 96.3074013351821], [-0.5452415952806636, 2.8629736643807213, -31.2391907879028]]"
A1,13,0,-1,31379,31431,0.203125,33520,223845,31946,2.21484375,platform_onset_hypothesis,32238,-1.0,,,32238,3.35546875,1.140625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.25546875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,31315,32213,0.0,141.60204596088198,9.22706744580071,"[[-10.67559507068173, 0.29962308370062374, 6.308710129948338], [10.810128978003448, 54.56109059178487, 72.60498414953734], [1.0240639391062398, 14.398917400444244, 5.016995009597978]]"
A1,14,0,-1,33520,33572,0.203125,35676,223845,34087,2.21484375,platform_onset_hypothesis,34391,-1.0,,,34391,3.40234375,1.1875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.30234375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,33456,34366,0.09613869188337273,1076.0805108154057,11.375796568948772,
A1,15,0,1,35676,35728,0.203125,37789,223845,36243,2.21484375,platform_onset_hypothesis,36507,1.0,,,36507,3.24609375,1.03125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.14609375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,quality,35612,36482,0.07650951199338296,1179.8498305544763,14.491925578056794,
A1,16,0,-1,37789,37841,0.203125,39897,223845,38356,2.21484375,platform_onset_hypothesis,38614,-1.0,,,38614,3.22265625,1.0078125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.12265625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,37725,38589,0.0,466.18750081272225,11.337703668042082,"[[-19.32081489020387, 214.5736765914902, 38.69920262112123], [5.077199870904801, -172.0188122609914, -280.26784341293205], [0.8066164886743545, 67.22543094456093, 124.97431161707527]]"
A1,17,0,1,39897,39949,0.203125,42110,223845,40465,2.21875,platform_onset_hypothesis,40824,1.0,,,40824,3.62109375,1.40234375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.52109375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,retained,39833,40799,0.0,380.426445510353,8.12448667314652,"[[20.00089066392819, 330.22140044174864, 529.7256806463138], [-12.2445468177069, 245.39105762495913, 347.3080164624487], [1.0163566469948386, -52.827836847536446, -46.58771775761011]]"
A1,18,0,-1,42110,42162,0.203125,44282,223845,42677,2.21484375,platform_onset_hypothesis,42997,-1.0,,,42997,3.46484375,1.25,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.36484375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,42046,42972,,,,
A1,19,0,-1,44282,44334,0.203125,46443,223845,44849,2.21484375,platform_onset_hypothesis,45160,-1.0,,,45160,3.4296875,1.21484375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.3296875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,44218,45135,,,,
A1,20,0,1,46443,46495,0.203125,48579,223845,47010,2.21484375,platform_onset_hypothesis,47295,1.0,,,47295,3.328125,1.11328125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.228125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,0,47511,causal,block_boundary_24s_buffer,46379,47270,,,,
A1,21,1,-1,48579,48631,0.203125,50676,223845,49147,2.21875,platform_onset_hypothesis,49392,-1.0,,,49392,3.17578125,0.95703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.07578125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,48515,49367,,,,
A1,22,1,-1,50676,50728,0.203125,52856,223845,51243,2.21484375,platform_onset_hypothesis,51571,-1.0,,,51571,3.49609375,1.28125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.39609375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,50612,51546,,,,
A1,23,1,1,52856,52908,0.203125,55001,223845,53423,2.21484375,platform_onset_hypothesis,53716,1.0,,,53716,3.359375,1.14453125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.259375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,block_boundary_24s_buffer,52792,53691,,,,
A1,24,1,-1,55001,55053,0.203125,57133,223845,55568,2.21484375,platform_onset_hypothesis,55850,-1.0,,,55850,3.31640625,1.1015625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.21640625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,54937,55825,0.0,151.67931936706572,7.811983771176955,"[[-12.39880696400995, -58.11751289965021, 26.996963932142357], [-4.442377268115536, -21.00765955795694, -14.203423507789484], [-3.8913498641958792, 63.42164993879244, 75.26303700877426]]"
A1,25,1,-1,57133,57185,0.203125,59314,223845,57700,2.21484375,platform_onset_hypothesis,58029,-1.0,,,58029,3.5,1.28515625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.4,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,57069,58004,0.0,831.3409571498079,9.35094338557775,"[[4.802746320720489, -173.38722359018834, -576.0697949790119], [3.791814277741814, -185.11821279218685, -453.3688395708998], [-0.16803411589266537, 11.25018300166419, 16.738777962453412]]"
A1,26,1,1,59314,59366,0.203125,61410,223845,59881,2.21484375,platform_onset_hypothesis,60125,1.0,,,60125,3.16796875,0.953125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.06796875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,59250,60100,0.0,343.2408731148796,11.841317470640433,"[[-0.3433511372998055, 118.02533786133586, 147.3448676546367], [23.733251619202157, -78.6020965161488, 37.65253503114508], [0.08621089949728378, -25.68606356218347, -49.397661090944126]]"
A1,27,1,1,61410,61462,0.203125,63575,223845,61978,2.21875,platform_onset_hypothesis,62292,1.0,,,62292,3.4453125,1.2265625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.3453125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,quality,61346,62267,0.2854920264488526,1640.263890241777,12.359186047024082,
A1,28,1,-1,63575,63627,0.203125,65663,223845,64142,2.21484375,platform_onset_hypothesis,64381,-1.0,,,64381,3.1484375,0.93359375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.0484375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,63511,64356,0.0,465.5813132371344,22.473293960632745,"[[-51.873730185293766, -221.07711650314772, -235.92449140704494], [39.2734685640351, -247.2863230739371, -235.7425866052774], [-12.910230052193047, 114.49585252929803, 128.93815584635067]]"
A1,29,1,-1,65663,65715,0.203125,67860,223845,66231,2.21875,platform_onset_hypothesis,66575,-1.0,,,66575,3.5625,1.34375,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.4625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,65599,66550,0.0,809.813673642326,9.272885165766724,"[[14.931434194952999, 225.98263702454256, 328.9040160657237], [8.261564713227905, 425.47125129053103, 637.5110876642896], [-9.093479967623752, 32.85711604421649, 25.704238658656536]]"
A1,30,1,-1,67860,67912,0.203125,69976,223845,68427,2.21484375,platform_onset_hypothesis,68692,-1.0,,,68692,3.25,1.03515625,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.15,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,67796,68667,0.0,131.20162427370974,7.108672142546709,"[[-38.28736033778591, -26.990066920553517, -54.568604467266255], [8.193447290194841, 13.432621873347122, 6.029556548077792], [-0.5573147604354582, -29.451483315116683, -22.472414514953428]]"
A1,31,1,-1,69976,70028,0.203125,72081,223845,70544,2.21875,platform_onset_hypothesis,70795,-1.0,,,70795,3.19921875,0.98046875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.09921875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,69912,70770,0.0,607.9446443524309,10.593554120468866,"[[-12.623907667849481, 162.1629760316887, 139.33015974671753], [8.576755282590586, 16.71208656145444, -149.16468467220477], [0.7598860933736131, -29.042628626736494, -26.469468903315466]]"
A1,32,1,1,72081,72133,0.203125,74269,223845,72648,2.21484375,platform_onset_hypothesis,72986,1.0,,,72986,3.53515625,1.3203125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.43515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,72017,72961,0.0,182.3476031954759,10.18850276037093,"[[24.950774221746034, 91.74701526398208, -30.571658961435958], [2.3683853703008975, 57.56170616866381, 35.50009950487794], [-3.850676886644398, -44.86538384517407, -69.91023917533805]]"
A1,33,1,1,74269,74321,0.203125,76422,223845,74837,2.21875,platform_onset_hypothesis,75138,1.0,,,75138,3.39453125,1.17578125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.29453125,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,74205,75113,0.0,110.79097446525638,13.662672640256126,"[[-12.803462941128348, -30.884835077825983, -41.51983986030146], [15.35919388909592, 27.25326046917838, -3.909788115081408], [-1.9080288126285179, -12.49966907697168, -7.696925595099298]]"
A1,34,1,-1,76422,76474,0.203125,78674,223845,76989,2.21484375,platform_onset_hypothesis,77391,-1.0,,,77391,3.78515625,1.5703125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.68515625,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,76358,77366,0.0,146.16506098643976,10.088925619740486,"[[-34.69190836859572, 11.945120789021672, -4.23064965093198], [16.399682174102008, -7.435119050771238, -82.49078145935235], [0.3919668744660185, -0.8910679559310952, 2.75380426247288]]"
A1,35,1,1,78674,78726,0.203125,80791,223845,79241,2.21484375,platform_onset_hypothesis,79509,1.0,,,79509,3.26171875,1.046875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.16171875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,78610,79484,0.0,114.88533162696865,7.495258831453774,"[[8.056984286299382, -21.6132567280972, -28.672352678861266], [3.0241450884078938, -0.7029429065179817, 2.1480518117261655], [0.7406350809485565, -6.995863166049867, -4.379760830690225]]"
A1,36,1,-1,80791,80843,0.203125,82931,223845,81358,2.21484375,platform_onset_hypothesis,81646,-1.0,,,81646,3.33984375,1.125,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,False,3.23984375,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,quality,80727,81621,0.24417670682730924,1083.7960630468965,12.581197794470881,
A1,37,1,-1,82931,82983,0.203125,85076,223845,83499,2.21875,platform_onset_hypothesis,83790,-1.0,,,83790,3.35546875,1.13671875,platform_end_proxy,,target_ground_truth_unavailable,,experimental_deadline_unavailable,1,0,False,True,none,2.0,0.1,True,3.25546875,,,False,False,response_minus_gap,configured_horizon,proxy_only_not_observed_click,47511,90403,causal,retained,82867,83765,0.0,205.45602726555586,27.92253629213019,"[[63.654143176148764, -37.33082608417601, 18.612023961780892], [33.90552626556324, -182.8498291503775, -220.3921647794588], [-26.532008714183625, 45.37361010718964, 20.884817922060947]]"
