dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,10,0,N3,retrieval,358,21161.0094012387,0.15,frozen_V2_new_scoring_window
A1,11,0,N3,encoding,205,54095.52327191595,0.15,frozen_V2_new_scoring_window
A1,11,0,N3,maintenance,362,73286.00438480813,0.15,frozen_V2_new_scoring_window
A1,11,0,N3,retrieval,263,20174.249260152963,0.15,frozen_V2_new_scoring_window
A1,12,0,N3,encoding,205,2198.2883667197693,0.15,frozen_V2_new_scoring_window
A1,12,0,N3,maintenance,363,20021.674857495007,0.15,frozen_V2_new_scoring_window
A1,12,0,N3,retrieval,236,37036.612567125885,0.15,frozen_V2_new_scoring_window
A1,13,0,N3,encoding,205,318.9546542362963,0.15,frozen_V2_new_scoring_window
A1,13,0,N3,maintenance,362,3791.529301058894,0.15,frozen_V2_new_scoring_window
A1,13,0,N3,retrieval,254,10921.346687201274,0.15,frozen_V2_new_scoring_window
A1,16,0,N3,encoding,205,12734.667696050743,0.15,frozen_V2_new_scoring_window
A1,16,0,N3,maintenance,362,71888.73894796535,0.15,frozen_V2_new_scoring_window
A1,16,0,N3,retrieval,220,77786.8448594441,0.15,frozen_V2_new_scoring_window
A1,17,0,N3,encoding,205,22355.80248688062,0.15,frozen_V2_new_scoring_window
A1,17,0,N3,maintenance,363,47361.07866065156,0.15,frozen_V2_new_scoring_window
A1,17,0,N3,retrieval,321,12803.21550281034,0.15,frozen_V2_new_scoring_window
A1,24,1,N3,encoding,205,746.850637665498,0.15,frozen_V2_new_scoring_window
A1,24,1,N3,maintenance,362,2337.406613153878,0.15,frozen_V2_new_scoring_window
A1,24,1,N3,retrieval,244,2741.1843573646206,0.15,frozen_V2_new_scoring_window
A1,25,1,N3,encoding,205,2304.6998175734,0.15,frozen_V2_new_scoring_window
A1,25,1,N3,maintenance,362,94362.25531623198,0.15,frozen_V2_new_scoring_window
A1,25,1,N3,retrieval,291,193850.90379020825,0.15,frozen_V2_new_scoring_window
A1,26,1,N3,encoding,205,4428.322414055201,0.15,frozen_V2_new_scoring_window
A1,26,1,N3,maintenance,362,23348.826502186912,0.15,frozen_V2_new_scoring_window
A1,26,1,N3,retrieval,206,43143.25390913196,0.15,frozen_V2_new_scoring_window
A1,28,1,N3,encoding,205,13549.162848715247,0.15,frozen_V2_new_scoring_window
A1,28,1,N3,maintenance,362,35896.2028271609,0.15,frozen_V2_new_scoring_window
A1,28,1,N3,retrieval,201,9958.736645573288,0.15,frozen_V2_new_scoring_window
A1,29,1,N3,encoding,205,3610.693927077235,0.15,frozen_V2_new_scoring_window
A1,29,1,N3,maintenance,363,12099.76702622859,0.15,frozen_V2_new_scoring_window
A1,29,1,N3,retrieval,306,72671.63011243074,0.15,frozen_V2_new_scoring_window
A1,30,1,N3,encoding,205,257.66838253214814,0.15,frozen_V2_new_scoring_window
A1,30,1,N3,maintenance,362,1392.6338518070143,0.15,frozen_V2_new_scoring_window
A1,30,1,N3,retrieval,227,3127.0947998932265,0.15,frozen_V2_new_scoring_window
A1,31,1,N3,encoding,205,25357.185526465528,0.15,frozen_V2_new_scoring_window
A1,31,1,N3,maintenance,363,131880.0034541485,0.15,frozen_V2_new_scoring_window
A1,31,1,N3,retrieval,213,139786.23006486756,0.15,frozen_V2_new_scoring_window
A1,32,1,N3,encoding,205,780.1562165636133,0.15,frozen_V2_new_scoring_window
A1,32,1,N3,maintenance,362,5489.354957992219,0.15,frozen_V2_new_scoring_window
A1,32,1,N3,retrieval,300,10667.093305520175,0.15,frozen_V2_new_scoring_window
A1,33,1,N3,encoding,205,394.46452548688035,0.15,frozen_V2_new_scoring_window
A1,33,1,N3,maintenance,363,1620.0553825793527,0.15,frozen_V2_new_scoring_window
A1,33,1,N3,retrieval,263,2495.624061166192,0.15,frozen_V2_new_scoring_window
A1,34,1,N3,encoding,205,654.741542935603,0.15,frozen_V2_new_scoring_window
A1,34,1,N3,maintenance,362,4364.469027340226,0.15,frozen_V2_new_scoring_window
A1,34,1,N3,retrieval,364,1677.6668511334813,0.15,frozen_V2_new_scoring_window
A1,35,1,N3,encoding,205,240.20870072701013,0.15,frozen_V2_new_scoring_window
A1,35,1,N3,maintenance,362,277.0651260181224,0.15,frozen_V2_new_scoring_window
A1,35,1,N3,retrieval,230,1566.947087626979,0.15,frozen_V2_new_scoring_window
A1,37,1,N3,encoding,205,804.3393214362374,0.15,frozen_V2_new_scoring_window
A1,37,1,N3,maintenance,363,3365.1944969756923,0.15,frozen_V2_new_scoring_window
A1,37,1,N3,retrieval,253,4686.955304390416,0.15,frozen_V2_new_scoring_window
A1,44,2,N3,encoding,205,446.0830542064165,0.15,frozen_V2_new_scoring_window
A1,44,2,N3,maintenance,362,2462.5353425929884,0.15,frozen_V2_new_scoring_window
A1,44,2,N3,retrieval,229,472.0216905114048,0.15,frozen_V2_new_scoring_window
A1,45,2,N3,encoding,205,10647.973826155458,0.15,frozen_V2_new_scoring_window
A1,45,2,N3,maintenance,363,17822.351711593426,0.15,frozen_V2_new_scoring_window
A1,45,2,N3,retrieval,210,12889.28641892454,0.15,frozen_V2_new_scoring_window
A1,47,2,N3,encoding,205,240.0885661533392,0.15,frozen_V2_new_scoring_window
A1,47,2,N3,maintenance,362,971.3483945688616,0.15,frozen_V2_new_scoring_window
A1,47,2,N3,retrieval,300,2822.3365484830056,0.15,frozen_V2_new_scoring_window
A1,48,2,N3,encoding,205,377.24357334316255,0.15,frozen_V2_new_scoring_window
A1,48,2,N3,maintenance,362,4141.985724076267,0.15,frozen_V2_new_scoring_window
A1,48,2,N3,retrieval,285,4703.584030986808,0.15,frozen_V2_new_scoring_window
A1,49,2,N3,encoding,205,3047.9915751480166,0.15,frozen_V2_new_scoring_window
A1,49,2,N3,maintenance,363,1457.6891075103156,0.15,frozen_V2_new_scoring_window
A1,49,2,N3,retrieval,242,39955.5984541678,0.15,frozen_V2_new_scoring_window
A1,50,2,N3,encoding,205,2428.0217527115556,0.15,frozen_V2_new_scoring_window
A1,50,2,N3,maintenance,362,21434.72149888605,0.15,frozen_V2_new_scoring_window
A1,50,2,N3,retrieval,222,3356.5264220280724,0.15,frozen_V2_new_scoring_window
A1,51,2,N3,encoding,205,33389.87722744454,0.15,frozen_V2_new_scoring_window
A1,51,2,N3,maintenance,362,371603.059445175,0.15,frozen_V2_new_scoring_window
A1,51,2,N3,retrieval,260,133137.99913223597,0.15,frozen_V2_new_scoring_window
A1,52,2,N3,encoding,205,26675.96167157029,0.15,frozen_V2_new_scoring_window
A1,52,2,N3,maintenance,363,617305.7647154887,0.15,frozen_V2_new_scoring_window
A1,52,2,N3,retrieval,276,822164.90841803,0.15,frozen_V2_new_scoring_window
A1,53,2,N3,encoding,205,47682.08833636361,0.15,frozen_V2_new_scoring_window
A1,53,2,N3,maintenance,362,300032.88072221016,0.15,frozen_V2_new_scoring_window
A1,53,2,N3,retrieval,226,276690.6268723044,0.15,frozen_V2_new_scoring_window
A1,54,2,N3,encoding,205,30491.671137609592,0.15,frozen_V2_new_scoring_window
A1,54,2,N3,maintenance,363,185074.47466864204,0.15,frozen_V2_new_scoring_window
A1,54,2,N3,retrieval,260,282871.00628786033,0.15,frozen_V2_new_scoring_window
A1,55,2,N3,encoding,205,988.8743666609645,0.15,frozen_V2_new_scoring_window
A1,55,2,N3,maintenance,362,3552.341865731096,0.15,frozen_V2_new_scoring_window
A1,55,2,N3,retrieval,237,2856.706355420742,0.15,frozen_V2_new_scoring_window
A1,56,2,N3,encoding,205,1957.7435155068001,0.15,frozen_V2_new_scoring_window
A1,56,2,N3,maintenance,363,10541.337365462867,0.15,frozen_V2_new_scoring_window
A1,56,2,N3,retrieval,269,23347.591754168825,0.15,frozen_V2_new_scoring_window
A1,57,2,N3,encoding,205,1301.8981201968395,0.15,frozen_V2_new_scoring_window
A1,57,2,N3,maintenance,362,15275.194737249718,0.15,frozen_V2_new_scoring_window
A1,57,2,N3,retrieval,272,17290.717820911537,0.15,frozen_V2_new_scoring_window
A1,64,3,N3,encoding,205,12047.7842398436,0.15,frozen_V2_new_scoring_window
A1,64,3,N3,maintenance,362,54771.42083891508,0.15,frozen_V2_new_scoring_window
A1,64,3,N3,retrieval,209,239402.9361592731,0.15,frozen_V2_new_scoring_window
A1,65,3,N3,encoding,205,400.48207499162856,0.15,frozen_V2_new_scoring_window
A1,65,3,N3,maintenance,363,5358.987128747612,0.15,frozen_V2_new_scoring_window
A1,65,3,N3,retrieval,284,20933.32390102228,0.15,frozen_V2_new_scoring_window
A1,66,3,N3,encoding,205,18447.713872147142,0.15,frozen_V2_new_scoring_window
A1,66,3,N3,maintenance,362,63414.62533448486,0.15,frozen_V2_new_scoring_window
A1,66,3,N3,retrieval,237,8667.757845673055,0.15,frozen_V2_new_scoring_window
A1,67,3,N3,encoding,205,2415.7423080992285,0.15,frozen_V2_new_scoring_window
A1,67,3,N3,maintenance,363,31588.983926826888,0.15,frozen_V2_new_scoring_window
A1,67,3,N3,retrieval,267,51754.46922828177,0.15,frozen_V2_new_scoring_window
A1,68,3,N3,encoding,205,1112.318466080324,0.15,frozen_V2_new_scoring_window
A1,68,3,N3,maintenance,362,3604.5439594438444,0.15,frozen_V2_new_scoring_window
A1,68,3,N3,retrieval,226,576.3252964474923,0.15,frozen_V2_new_scoring_window
A1,69,3,N3,encoding,205,633.0053776932954,0.15,frozen_V2_new_scoring_window
A1,69,3,N3,maintenance,363,748.9314803325219,0.15,frozen_V2_new_scoring_window
A1,69,3,N3,retrieval,260,569.1787921758348,0.15,frozen_V2_new_scoring_window
A1,70,3,N3,encoding,205,6448.304402888333,0.15,frozen_V2_new_scoring_window
A1,70,3,N3,maintenance,362,11825.799041204953,0.15,frozen_V2_new_scoring_window
A1,70,3,N3,retrieval,242,3490.3707022497074,0.15,frozen_V2_new_scoring_window
A1,71,3,N3,encoding,205,1355.3116964263377,0.15,frozen_V2_new_scoring_window
A1,71,3,N3,maintenance,362,2220.1193222900324,0.15,frozen_V2_new_scoring_window
A1,71,3,N3,retrieval,239,4427.333139310745,0.15,frozen_V2_new_scoring_window
A1,72,3,N3,encoding,205,228.95769069317706,0.15,frozen_V2_new_scoring_window
A1,72,3,N3,maintenance,362,1683.9438007227914,0.15,frozen_V2_new_scoring_window
A1,72,3,N3,retrieval,184,5807.399301787898,0.15,frozen_V2_new_scoring_window
A1,73,3,N3,encoding,205,60406.52558984961,0.15,frozen_V2_new_scoring_window
A1,73,3,N3,maintenance,362,191413.93516947053,0.15,frozen_V2_new_scoring_window
A1,73,3,N3,retrieval,276,97907.51552463687,0.15,frozen_V2_new_scoring_window
A1,74,3,N3,encoding,205,39275.709843876386,0.15,frozen_V2_new_scoring_window
A1,74,3,N3,maintenance,362,50393.074407548396,0.15,frozen_V2_new_scoring_window
A1,74,3,N3,retrieval,223,3292.4698117981065,0.15,frozen_V2_new_scoring_window
A1,75,3,N3,encoding,205,56109.216308329815,0.15,frozen_V2_new_scoring_window
A1,75,3,N3,maintenance,362,299748.0103193528,0.15,frozen_V2_new_scoring_window
A1,75,3,N3,retrieval,238,32939.558581462996,0.15,frozen_V2_new_scoring_window
A1,76,3,N3,encoding,205,2222.9197162838836,0.15,frozen_V2_new_scoring_window
A1,76,3,N3,maintenance,363,7630.482669843467,0.15,frozen_V2_new_scoring_window
A1,76,3,N3,retrieval,212,32371.092980950358,0.15,frozen_V2_new_scoring_window
A1,84,4,N3,encoding,205,54109.927095361025,0.15,frozen_V2_new_scoring_window
A1,84,4,N3,maintenance,362,41782.93415223925,0.15,frozen_V2_new_scoring_window
A1,84,4,N3,retrieval,227,16511.324484320743,0.15,frozen_V2_new_scoring_window
A1,85,4,N3,encoding,205,38895.991605395655,0.15,frozen_V2_new_scoring_window
A1,85,4,N3,maintenance,362,48456.01211610934,0.15,frozen_V2_new_scoring_window
A1,85,4,N3,retrieval,227,3975.6726475592277,0.15,frozen_V2_new_scoring_window
A1,86,4,N3,encoding,205,1712.370199000077,0.15,frozen_V2_new_scoring_window
A1,86,4,N3,maintenance,362,17858.917722346283,0.15,frozen_V2_new_scoring_window
A1,86,4,N3,retrieval,231,18564.755126765405,0.15,frozen_V2_new_scoring_window
A1,87,4,N3,encoding,205,3890.482840473101,0.15,frozen_V2_new_scoring_window
A1,87,4,N3,maintenance,363,19871.387144917033,0.15,frozen_V2_new_scoring_window
A1,87,4,N3,retrieval,286,17385.768499390844,0.15,frozen_V2_new_scoring_window
A1,89,4,N3,encoding,205,828.1177510242507,0.15,frozen_V2_new_scoring_window
A1,89,4,N3,maintenance,363,20672.14605194669,0.15,frozen_V2_new_scoring_window
A1,89,4,N3,retrieval,239,91749.29133371632,0.15,frozen_V2_new_scoring_window
A1,90,4,N3,encoding,205,1014.0788367649495,0.15,frozen_V2_new_scoring_window
A1,90,4,N3,maintenance,362,2737.605389922409,0.15,frozen_V2_new_scoring_window
A1,90,4,N3,retrieval,221,1797.5099372465436,0.15,frozen_V2_new_scoring_window
A1,91,4,N3,encoding,205,7342.037929109305,0.15,frozen_V2_new_scoring_window
A1,91,4,N3,maintenance,363,88889.1707140291,0.15,frozen_V2_new_scoring_window
A1,91,4,N3,retrieval,314,290282.8638662973,0.15,frozen_V2_new_scoring_window
A1,92,4,N3,encoding,205,41668.30576352451,0.15,frozen_V2_new_scoring_window
A1,92,4,N3,maintenance,362,173230.24850144045,0.15,frozen_V2_new_scoring_window
A1,92,4,N3,retrieval,214,187376.3643037538,0.15,frozen_V2_new_scoring_window
A1,93,4,N3,encoding,205,1406.2214721013302,0.15,frozen_V2_new_scoring_window
A1,93,4,N3,maintenance,363,1342.2991602323605,0.15,frozen_V2_new_scoring_window
A1,93,4,N3,retrieval,295,2191.2464026415223,0.15,frozen_V2_new_scoring_window
A1,94,4,N3,encoding,205,282.46338635003934,0.15,frozen_V2_new_scoring_window
A1,94,4,N3,maintenance,362,826.1059777374193,0.15,frozen_V2_new_scoring_window
A1,94,4,N3,retrieval,283,423.12051857545976,0.15,frozen_V2_new_scoring_window
A1,95,4,N3,encoding,205,2885.233190071489,0.15,frozen_V2_new_scoring_window
A1,95,4,N3,maintenance,363,8429.310844002883,0.15,frozen_V2_new_scoring_window
A1,95,4,N3,retrieval,284,1140.912449668407,0.15,frozen_V2_new_scoring_window
A1,96,4,N3,encoding,205,1025.0733479211451,0.15,frozen_V2_new_scoring_window
A1,96,4,N3,maintenance,362,2112.2398876574703,0.15,frozen_V2_new_scoring_window
A1,96,4,N3,retrieval,208,1927.3886538834481,0.15,frozen_V2_new_scoring_window
A1,97,4,N3,encoding,205,69116.26058532807,0.15,frozen_V2_new_scoring_window
A1,97,4,N3,maintenance,363,171151.3626530601,0.15,frozen_V2_new_scoring_window
A1,97,4,N3,retrieval,194,13979.471926199401,0.15,frozen_V2_new_scoring_window
A1,98,4,N3,encoding,205,64420.461289942665,0.15,frozen_V2_new_scoring_window
A1,98,4,N3,maintenance,362,625908.886016235,0.15,frozen_V2_new_scoring_window
A1,98,4,N3,retrieval,262,1063501.0065163828,0.15,frozen_V2_new_scoring_window
A1,99,4,N3,encoding,205,2019.1066854968133,0.15,frozen_V2_new_scoring_window
A1,99,4,N3,maintenance,363,11843.218130626687,0.15,frozen_V2_new_scoring_window
A1,99,4,N3,retrieval,305,25614.865483990183,0.15,frozen_V2_new_scoring_window
A2,2,0,N2,encoding,205,14017.281703321469,0.05,frozen_V2_new_scoring_window
A2,2,0,N2,maintenance,362,229734.84316735555,0.05,frozen_V2_new_scoring_window
A2,2,0,N2,retrieval,493,145390.50895813192,0.05,frozen_V2_new_scoring_window
A2,3,0,N2,encoding,205,3775.285537885718,0.05,frozen_V2_new_scoring_window
A2,3,0,N2,maintenance,362,21231.267226527732,0.05,frozen_V2_new_scoring_window
A2,3,0,N2,retrieval,373,33292.88425879796,0.05,frozen_V2_new_scoring_window
A2,4,0,N2,encoding,205,2814.2557104934676,0.05,frozen_V2_new_scoring_window
A2,4,0,N2,maintenance,362,8565.319564925934,0.05,frozen_V2_new_scoring_window
A2,4,0,N2,retrieval,376,11516.525094642166,0.05,frozen_V2_new_scoring_window
A2,5,0,N2,encoding,205,23313.898349951724,0.05,frozen_V2_new_scoring_window
A2,5,0,N2,maintenance,362,216220.42244788396,0.05,frozen_V2_new_scoring_window
A2,5,0,N2,retrieval,359,106491.95674533668,0.05,frozen_V2_new_scoring_window
A2,6,0,N2,encoding,205,3451.9778304942165,0.05,frozen_V2_new_scoring_window
A2,6,0,N2,maintenance,362,14786.740860026437,0.05,frozen_V2_new_scoring_window
A2,6,0,N2,retrieval,331,8370.457157872785,0.05,frozen_V2_new_scoring_window
A2,7,0,N2,encoding,205,6345.490746296342,0.05,frozen_V2_new_scoring_window
A2,7,0,N2,maintenance,363,16868.612906189202,0.05,frozen_V2_new_scoring_window
A2,7,0,N2,retrieval,325,61567.302255304225,0.05,frozen_V2_new_scoring_window
A2,8,0,N2,encoding,205,1544.9549024796204,0.05,frozen_V2_new_scoring_window
A2,8,0,N2,maintenance,362,5750.68022592223,0.05,frozen_V2_new_scoring_window
A2,8,0,N2,retrieval,329,5521.786488062847,0.05,frozen_V2_new_scoring_window
A2,9,0,N2,encoding,205,14401.252303504078,0.05,frozen_V2_new_scoring_window
A2,9,0,N2,maintenance,363,73674.22956899209,0.05,frozen_V2_new_scoring_window
A2,9,0,N2,retrieval,414,26465.585737122397,0.05,frozen_V2_new_scoring_window
A2,10,0,N2,encoding,205,42418.09733048408,0.05,frozen_V2_new_scoring_window
A2,10,0,N2,maintenance,362,52856.81037070092,0.05,frozen_V2_new_scoring_window
A2,10,0,N2,retrieval,332,34571.12524668089,0.05,frozen_V2_new_scoring_window
A2,11,0,N2,encoding,205,1394.079850278788,0.05,frozen_V2_new_scoring_window
A2,11,0,N2,maintenance,362,27984.74954566295,0.05,frozen_V2_new_scoring_window
A2,11,0,N2,retrieval,366,95263.9214465999,0.05,frozen_V2_new_scoring_window
A2,12,0,N2,encoding,205,146496.11626450391,0.05,frozen_V2_new_scoring_window
A2,12,0,N2,maintenance,363,437789.2942137563,0.05,frozen_V2_new_scoring_window
A2,12,0,N2,retrieval,346,120162.43862477284,0.05,frozen_V2_new_scoring_window
A2,13,0,N2,encoding,205,10401.97581772074,0.05,frozen_V2_new_scoring_window
A2,13,0,N2,maintenance,362,16204.585726126246,0.05,frozen_V2_new_scoring_window
A2,13,0,N2,retrieval,334,11838.910812246733,0.05,frozen_V2_new_scoring_window
A2,14,0,N2,encoding,205,6432.649036263832,0.05,frozen_V2_new_scoring_window
A2,14,0,N2,maintenance,363,196082.51107120162,0.05,frozen_V2_new_scoring_window
A2,14,0,N2,retrieval,381,507573.12273207674,0.05,frozen_V2_new_scoring_window
A2,15,0,N2,encoding,205,2048.8642807620217,0.05,frozen_V2_new_scoring_window
A2,15,0,N2,maintenance,362,4708.220595253006,0.05,frozen_V2_new_scoring_window
A2,15,0,N2,retrieval,421,2440.581405469779,0.05,frozen_V2_new_scoring_window
A2,16,0,N2,encoding,205,9673.790133301525,0.05,frozen_V2_new_scoring_window
A2,16,0,N2,maintenance,363,28079.472457371405,0.05,frozen_V2_new_scoring_window
A2,16,0,N2,retrieval,378,107231.05695655257,0.05,frozen_V2_new_scoring_window
A2,17,0,N2,encoding,205,9715.050139130519,0.05,frozen_V2_new_scoring_window
A2,17,0,N2,maintenance,363,106916.40497673243,0.05,frozen_V2_new_scoring_window
A2,17,0,N2,retrieval,351,340270.26006803114,0.05,frozen_V2_new_scoring_window
A2,24,1,N2,encoding,205,6459.082622912963,0.05,frozen_V2_new_scoring_window
A2,24,1,N2,maintenance,363,1503.354362467521,0.05,frozen_V2_new_scoring_window
A2,24,1,N2,retrieval,346,28052.86879759502,0.05,frozen_V2_new_scoring_window
A2,25,1,N2,encoding,205,5403.014751266425,0.05,frozen_V2_new_scoring_window
A2,25,1,N2,maintenance,362,3747.923113064822,0.05,frozen_V2_new_scoring_window
A2,25,1,N2,retrieval,302,8206.354216097905,0.05,frozen_V2_new_scoring_window
A2,26,1,N2,encoding,205,3689.4190178970925,0.05,frozen_V2_new_scoring_window
A2,26,1,N2,maintenance,363,13914.357054874712,0.05,frozen_V2_new_scoring_window
A2,26,1,N2,retrieval,313,1026.5401218726786,0.05,frozen_V2_new_scoring_window
A2,27,1,N2,encoding,205,4445.257416049995,0.05,frozen_V2_new_scoring_window
A2,27,1,N2,maintenance,362,21887.857632101073,0.05,frozen_V2_new_scoring_window
A2,27,1,N2,retrieval,344,84273.83048823065,0.05,frozen_V2_new_scoring_window
A2,28,1,N2,encoding,205,10789.790284465464,0.05,frozen_V2_new_scoring_window
A2,28,1,N2,maintenance,362,22486.157078243108,0.05,frozen_V2_new_scoring_window
A2,28,1,N2,retrieval,359,5220.451570983606,0.05,frozen_V2_new_scoring_window
A2,29,1,N2,encoding,205,2087.4922178481484,0.05,frozen_V2_new_scoring_window
A2,29,1,N2,maintenance,362,111547.12810392407,0.05,frozen_V2_new_scoring_window
A2,29,1,N2,retrieval,415,320147.586595505,0.05,frozen_V2_new_scoring_window
A2,32,1,N2,encoding,205,7974.494437306265,0.05,frozen_V2_new_scoring_window
A2,32,1,N2,maintenance,362,36116.330549473234,0.05,frozen_V2_new_scoring_window
A2,32,1,N2,retrieval,287,102979.88738287135,0.05,frozen_V2_new_scoring_window
A2,35,1,N2,encoding,205,6215.316511056748,0.05,frozen_V2_new_scoring_window
A2,35,1,N2,maintenance,362,31799.864424606152,0.05,frozen_V2_new_scoring_window
A2,35,1,N2,retrieval,362,36449.68645292743,0.05,frozen_V2_new_scoring_window
A2,36,1,N2,encoding,205,1574.0930610793823,0.05,frozen_V2_new_scoring_window
A2,36,1,N2,maintenance,363,67015.8692501015,0.05,frozen_V2_new_scoring_window
A2,36,1,N2,retrieval,290,136235.02329917293,0.05,frozen_V2_new_scoring_window
A2,37,1,N2,encoding,205,96918.10006895638,0.05,frozen_V2_new_scoring_window
A2,37,1,N2,maintenance,362,545030.4917969068,0.05,frozen_V2_new_scoring_window
A2,37,1,N2,retrieval,332,347479.80395103357,0.05,frozen_V2_new_scoring_window
A2,44,2,N2,encoding,205,10852.139581332805,0.05,frozen_V2_new_scoring_window
A2,44,2,N2,maintenance,363,29671.823824336694,0.05,frozen_V2_new_scoring_window
A2,44,2,N2,retrieval,406,23879.265864505072,0.05,frozen_V2_new_scoring_window
A2,45,2,N2,encoding,205,1134580.4048613207,0.05,frozen_V2_new_scoring_window
A2,45,2,N2,maintenance,363,604693.822454643,0.05,frozen_V2_new_scoring_window
A2,45,2,N2,retrieval,296,671454.0569778788,0.05,frozen_V2_new_scoring_window
A2,46,2,N2,encoding,205,2331.852824302264,0.05,frozen_V2_new_scoring_window
A2,46,2,N2,maintenance,363,50039.330091188735,0.05,frozen_V2_new_scoring_window
A2,46,2,N2,retrieval,331,237381.03139047607,0.05,frozen_V2_new_scoring_window
A2,47,2,N2,encoding,205,1802.5633638919778,0.05,frozen_V2_new_scoring_window
A2,47,2,N2,maintenance,362,19197.756804408302,0.05,frozen_V2_new_scoring_window
A2,47,2,N2,retrieval,301,144807.91244621444,0.05,frozen_V2_new_scoring_window
A2,48,2,N2,encoding,205,6694.790300868932,0.05,frozen_V2_new_scoring_window
A2,48,2,N2,maintenance,363,66403.30628717807,0.05,frozen_V2_new_scoring_window
A2,48,2,N2,retrieval,372,25122.493841826614,0.05,frozen_V2_new_scoring_window
A2,49,2,N2,encoding,205,2804.7262040666697,0.05,frozen_V2_new_scoring_window
A2,49,2,N2,maintenance,363,22258.41139077332,0.05,frozen_V2_new_scoring_window
A2,49,2,N2,retrieval,370,148457.98903707555,0.05,frozen_V2_new_scoring_window
A2,50,2,N2,encoding,205,53785.1077745544,0.05,frozen_V2_new_scoring_window
A2,50,2,N2,maintenance,363,74241.5439702163,0.05,frozen_V2_new_scoring_window
A2,50,2,N2,retrieval,367,39521.48403144494,0.05,frozen_V2_new_scoring_window
A2,51,2,N2,encoding,205,129402.09409109989,0.05,frozen_V2_new_scoring_window
A2,51,2,N2,maintenance,362,127914.58466034397,0.05,frozen_V2_new_scoring_window
A2,51,2,N2,retrieval,361,18706.516428197076,0.05,frozen_V2_new_scoring_window
A2,52,2,N2,encoding,205,91407.33257805364,0.05,frozen_V2_new_scoring_window
A2,52,2,N2,maintenance,362,379770.68411272496,0.05,frozen_V2_new_scoring_window
A2,52,2,N2,retrieval,284,382035.1849354104,0.05,frozen_V2_new_scoring_window
A2,53,2,N2,encoding,205,5109.714925226216,0.05,frozen_V2_new_scoring_window
A2,53,2,N2,maintenance,363,14299.948383979434,0.05,frozen_V2_new_scoring_window
A2,53,2,N2,retrieval,357,7536.460924590825,0.05,frozen_V2_new_scoring_window
A2,54,2,N2,encoding,205,10322.377705364665,0.05,frozen_V2_new_scoring_window
A2,54,2,N2,maintenance,362,138161.70197244812,0.05,frozen_V2_new_scoring_window
A2,54,2,N2,retrieval,347,175227.33499354645,0.05,frozen_V2_new_scoring_window
A2,55,2,N2,encoding,205,16558.85423046898,0.05,frozen_V2_new_scoring_window
A2,55,2,N2,maintenance,363,74924.3665050636,0.05,frozen_V2_new_scoring_window
A2,55,2,N2,retrieval,312,149439.21202207686,0.05,frozen_V2_new_scoring_window
A2,56,2,N2,encoding,205,13374.348323056603,0.05,frozen_V2_new_scoring_window
A2,56,2,N2,maintenance,362,12096.240876217622,0.05,frozen_V2_new_scoring_window
A2,56,2,N2,retrieval,358,36497.41877217379,0.05,frozen_V2_new_scoring_window
A2,57,2,N2,encoding,205,32751.902694497952,0.05,frozen_V2_new_scoring_window
A2,57,2,N2,maintenance,363,13390.971767206642,0.05,frozen_V2_new_scoring_window
A2,57,2,N2,retrieval,360,3881.20832709232,0.05,frozen_V2_new_scoring_window
A2,64,3,N2,encoding,205,50610.03538690848,0.05,frozen_V2_new_scoring_window
A2,64,3,N2,maintenance,363,372666.22795520176,0.05,frozen_V2_new_scoring_window
A2,64,3,N2,retrieval,332,361383.44727002236,0.05,frozen_V2_new_scoring_window
A2,65,3,N2,encoding,205,6248.474086776807,0.05,frozen_V2_new_scoring_window
A2,65,3,N2,maintenance,362,23163.212034033353,0.05,frozen_V2_new_scoring_window
A2,65,3,N2,retrieval,311,3455.578874351604,0.05,frozen_V2_new_scoring_window
A2,66,3,N2,encoding,205,4390.519147697587,0.05,frozen_V2_new_scoring_window
A2,66,3,N2,maintenance,363,33486.23339015846,0.05,frozen_V2_new_scoring_window
A2,66,3,N2,retrieval,318,136001.87635667648,0.05,frozen_V2_new_scoring_window
A2,67,3,N2,encoding,205,6161.332392059093,0.05,frozen_V2_new_scoring_window
A2,67,3,N2,maintenance,362,108400.218568083,0.05,frozen_V2_new_scoring_window
A2,67,3,N2,retrieval,310,371200.687451929,0.05,frozen_V2_new_scoring_window
A2,69,3,N2,encoding,205,1696.930594708129,0.05,frozen_V2_new_scoring_window
A2,69,3,N2,maintenance,363,18004.966331995398,0.05,frozen_V2_new_scoring_window
A2,69,3,N2,retrieval,383,41106.7222029956,0.05,frozen_V2_new_scoring_window
A2,70,3,N2,encoding,205,21813.415788256618,0.05,frozen_V2_new_scoring_window
A2,70,3,N2,maintenance,362,247939.5585663175,0.05,frozen_V2_new_scoring_window
A2,70,3,N2,retrieval,329,24670.83386193119,0.05,frozen_V2_new_scoring_window
A2,71,3,N2,encoding,205,16532.650949393268,0.05,frozen_V2_new_scoring_window
A2,71,3,N2,maintenance,363,31763.84257058895,0.05,frozen_V2_new_scoring_window
A2,71,3,N2,retrieval,303,38608.2331497539,0.05,frozen_V2_new_scoring_window
A2,72,3,N2,encoding,205,27953.189422942378,0.05,frozen_V2_new_scoring_window
A2,72,3,N2,maintenance,362,161719.16583176443,0.05,frozen_V2_new_scoring_window
A2,72,3,N2,retrieval,285,320096.0078434027,0.05,frozen_V2_new_scoring_window
