dataset,trial_id,block,model,stage,n_samples,MSE,gap_s,identity
A1,44,2,N2,encoding,205,855.8157629590842,0.05,frozen_V2_new_scoring_window
A1,44,2,N2,maintenance,362,1423.6001495222397,0.05,frozen_V2_new_scoring_window
A1,44,2,N2,retrieval,255,266.81995733901914,0.05,frozen_V2_new_scoring_window
A1,45,2,N2,encoding,205,5939.776455320579,0.05,frozen_V2_new_scoring_window
A1,45,2,N2,maintenance,363,10211.776462979513,0.05,frozen_V2_new_scoring_window
A1,45,2,N2,retrieval,236,19557.069864001718,0.05,frozen_V2_new_scoring_window
A1,47,2,N2,encoding,205,688.3055159805944,0.05,frozen_V2_new_scoring_window
A1,47,2,N2,maintenance,362,1545.2970062944792,0.05,frozen_V2_new_scoring_window
A1,47,2,N2,retrieval,326,14077.655878609401,0.05,frozen_V2_new_scoring_window
A1,48,2,N2,encoding,205,482.0434777091352,0.05,frozen_V2_new_scoring_window
A1,48,2,N2,maintenance,362,2308.0570163020916,0.05,frozen_V2_new_scoring_window
A1,48,2,N2,retrieval,311,3151.500100691693,0.05,frozen_V2_new_scoring_window
A1,49,2,N2,encoding,205,6472.229361305952,0.05,frozen_V2_new_scoring_window
A1,49,2,N2,maintenance,363,3191.907107435408,0.05,frozen_V2_new_scoring_window
A1,49,2,N2,retrieval,268,14088.167082260728,0.05,frozen_V2_new_scoring_window
A1,50,2,N2,encoding,205,5655.555270368942,0.05,frozen_V2_new_scoring_window
A1,50,2,N2,maintenance,362,35072.254081932566,0.05,frozen_V2_new_scoring_window
A1,50,2,N2,retrieval,248,6011.445952929634,0.05,frozen_V2_new_scoring_window
A1,51,2,N2,encoding,205,29554.60020518871,0.05,frozen_V2_new_scoring_window
A1,51,2,N2,maintenance,362,351066.6294781494,0.05,frozen_V2_new_scoring_window
A1,51,2,N2,retrieval,286,124371.06418509658,0.05,frozen_V2_new_scoring_window
A1,52,2,N2,encoding,205,29705.7803057925,0.05,frozen_V2_new_scoring_window
A1,52,2,N2,maintenance,363,588299.9697148018,0.05,frozen_V2_new_scoring_window
A1,52,2,N2,retrieval,302,764189.9082237253,0.05,frozen_V2_new_scoring_window
A1,53,2,N2,encoding,205,52390.54018059517,0.05,frozen_V2_new_scoring_window
A1,53,2,N2,maintenance,362,279992.62197907973,0.05,frozen_V2_new_scoring_window
A1,53,2,N2,retrieval,252,243452.456285973,0.05,frozen_V2_new_scoring_window
A1,54,2,N2,encoding,205,36497.246567915405,0.05,frozen_V2_new_scoring_window
A1,54,2,N2,maintenance,363,155675.44059502642,0.05,frozen_V2_new_scoring_window
A1,54,2,N2,retrieval,286,190246.33267906122,0.05,frozen_V2_new_scoring_window
A1,55,2,N2,encoding,205,1746.1287359772575,0.05,frozen_V2_new_scoring_window
A1,55,2,N2,maintenance,362,2374.33442490431,0.05,frozen_V2_new_scoring_window
A1,55,2,N2,retrieval,263,2500.37435382846,0.05,frozen_V2_new_scoring_window
A1,56,2,N2,encoding,205,4047.2661491934164,0.05,frozen_V2_new_scoring_window
A1,56,2,N2,maintenance,363,4489.038723413936,0.05,frozen_V2_new_scoring_window
A1,56,2,N2,retrieval,295,4039.9942832244415,0.05,frozen_V2_new_scoring_window
A1,57,2,N2,encoding,205,1175.2535150169276,0.05,frozen_V2_new_scoring_window
A1,57,2,N2,maintenance,362,6232.125322811873,0.05,frozen_V2_new_scoring_window
A1,57,2,N2,retrieval,298,1965.2947035958477,0.05,frozen_V2_new_scoring_window
A1,64,3,N2,encoding,205,12059.41215334509,0.05,frozen_V2_new_scoring_window
A1,64,3,N2,maintenance,362,54825.14500605357,0.05,frozen_V2_new_scoring_window
A1,64,3,N2,retrieval,235,245665.75748267173,0.05,frozen_V2_new_scoring_window
A1,65,3,N2,encoding,205,378.2594333488211,0.05,frozen_V2_new_scoring_window
A1,65,3,N2,maintenance,363,5244.23062000251,0.05,frozen_V2_new_scoring_window
A1,65,3,N2,retrieval,310,23444.106478565107,0.05,frozen_V2_new_scoring_window
A1,66,3,N2,encoding,205,18515.439838135357,0.05,frozen_V2_new_scoring_window
A1,66,3,N2,maintenance,362,62764.506760634664,0.05,frozen_V2_new_scoring_window
A1,66,3,N2,retrieval,263,8159.868046624927,0.05,frozen_V2_new_scoring_window
A1,67,3,N2,encoding,205,2353.92745049411,0.05,frozen_V2_new_scoring_window
A1,67,3,N2,maintenance,363,31229.049974483147,0.05,frozen_V2_new_scoring_window
A1,67,3,N2,retrieval,293,54594.370934516926,0.05,frozen_V2_new_scoring_window
A1,68,3,N2,encoding,205,1126.707811814651,0.05,frozen_V2_new_scoring_window
A1,68,3,N2,maintenance,362,3707.4040919907575,0.05,frozen_V2_new_scoring_window
A1,68,3,N2,retrieval,252,783.0170581582696,0.05,frozen_V2_new_scoring_window
A1,69,3,N2,encoding,205,645.7383229442742,0.05,frozen_V2_new_scoring_window
A1,69,3,N2,maintenance,363,694.7223148743416,0.05,frozen_V2_new_scoring_window
A1,69,3,N2,retrieval,286,615.0698750517411,0.05,frozen_V2_new_scoring_window
A1,70,3,N2,encoding,205,6417.331670681493,0.05,frozen_V2_new_scoring_window
A1,70,3,N2,maintenance,362,12109.852743680001,0.05,frozen_V2_new_scoring_window
A1,70,3,N2,retrieval,268,4517.765608613902,0.05,frozen_V2_new_scoring_window
A1,71,3,N2,encoding,205,1394.9751928413848,0.05,frozen_V2_new_scoring_window
A1,71,3,N2,maintenance,362,2298.537772817374,0.05,frozen_V2_new_scoring_window
A1,71,3,N2,retrieval,265,5364.197159697941,0.05,frozen_V2_new_scoring_window
A1,72,3,N2,encoding,205,229.49968958947244,0.05,frozen_V2_new_scoring_window
A1,72,3,N2,maintenance,362,1728.3829293070592,0.05,frozen_V2_new_scoring_window
A1,72,3,N2,retrieval,210,5736.610062482737,0.05,frozen_V2_new_scoring_window
A1,73,3,N2,encoding,205,59989.243659752996,0.05,frozen_V2_new_scoring_window
A1,73,3,N2,maintenance,362,190452.25516291193,0.05,frozen_V2_new_scoring_window
A1,73,3,N2,retrieval,302,96282.06340197752,0.05,frozen_V2_new_scoring_window
A1,74,3,N2,encoding,205,39339.31820847408,0.05,frozen_V2_new_scoring_window
A1,74,3,N2,maintenance,362,49782.54645749872,0.05,frozen_V2_new_scoring_window
A1,74,3,N2,retrieval,249,3651.328340760856,0.05,frozen_V2_new_scoring_window
A1,75,3,N2,encoding,205,55681.788664955566,0.05,frozen_V2_new_scoring_window
A1,75,3,N2,maintenance,362,298459.07128594397,0.05,frozen_V2_new_scoring_window
A1,75,3,N2,retrieval,264,31333.91447784507,0.05,frozen_V2_new_scoring_window
A1,76,3,N2,encoding,205,2230.311031903617,0.05,frozen_V2_new_scoring_window
A1,76,3,N2,maintenance,363,7741.869756834549,0.05,frozen_V2_new_scoring_window
A1,76,3,N2,retrieval,238,32426.43402813353,0.05,frozen_V2_new_scoring_window
A1,84,4,N2,encoding,205,55983.67142565368,0.05,frozen_V2_new_scoring_window
A1,84,4,N2,maintenance,362,41223.35695262132,0.05,frozen_V2_new_scoring_window
A1,84,4,N2,retrieval,253,19664.81981410862,0.05,frozen_V2_new_scoring_window
A1,85,4,N2,encoding,205,38580.59023859181,0.05,frozen_V2_new_scoring_window
A1,85,4,N2,maintenance,362,49417.72647450178,0.05,frozen_V2_new_scoring_window
A1,85,4,N2,retrieval,253,5583.299949030303,0.05,frozen_V2_new_scoring_window
A1,86,4,N2,encoding,205,1960.068174205807,0.05,frozen_V2_new_scoring_window
A1,86,4,N2,maintenance,362,18209.680108904806,0.05,frozen_V2_new_scoring_window
A1,86,4,N2,retrieval,257,22957.754117005665,0.05,frozen_V2_new_scoring_window
A1,87,4,N2,encoding,205,4376.976402456174,0.05,frozen_V2_new_scoring_window
A1,87,4,N2,maintenance,363,19305.17782935305,0.05,frozen_V2_new_scoring_window
A1,87,4,N2,retrieval,312,16242.500632884765,0.05,frozen_V2_new_scoring_window
A1,89,4,N2,encoding,205,734.1496815143457,0.05,frozen_V2_new_scoring_window
A1,89,4,N2,maintenance,363,20087.756306880685,0.05,frozen_V2_new_scoring_window
A1,89,4,N2,retrieval,265,93198.36822675017,0.05,frozen_V2_new_scoring_window
A1,90,4,N2,encoding,205,861.5342404801629,0.05,frozen_V2_new_scoring_window
