dataset,model,n_folds,bootstrap_95_low,bootstrap_95_high
A1,ocular_step,5,-2.819240546610672,0.11003150263271044
A1,prestim_only_polynomial,5,-0.40777676667958285,0.001022089428514672
A1,slow_ramp,5,-2.6682075087761463,0.125551959240483
A1,visual_neural_mass,5,-0.8688245624720032,0.06486872827124712
A2,ocular_step,5,-1.1763198521109994,0.02168529136865116
A2,prestim_only_polynomial,5,-0.7066448741501978,0.003645915682987
A2,slow_ramp,5,-1.223351904034716,0.01173433269561397
A2,visual_neural_mass,5,-0.2886972892489992,0.005087937508459595
B1,ocular_step,5,-0.10637007202236282,-0.0009324005103430455
B1,prestim_only_polynomial,5,-0.004010369441443062,0.00028432215175488995
B1,slow_ramp,5,-0.17686031148797543,-0.0006944592656012993
B1,visual_neural_mass,5,-0.02295262753506644,-0.00038597541456075746
B2,ocular_step,5,-1.194277854747297,0.586366945661922
B2,prestim_only_polynomial,5,-0.06634486318354083,0.002281191480406841
B2,slow_ramp,5,-1.2654782221049916,0.5558508967093185
B2,visual_neural_mass,5,-0.21630437089786048,0.2747104403813988
