stimulus,f_left,f_right,f_common,eta
left,1.0,2.2258169630187178e-05,1.0,-0.9999554846505698
right,2.2258169630187178e-05,1.0,1.0,0.9999554846505698
missing_tip,1.1237587154305039e-06,0.2437863025209224,0.8269456310953497,0.9999907808271117
scrambled,6.814564356911024e-07,3.941062211468226e-06,0.9842260401541985,0.7051577980377531
