dataset,contrast,MAE_gain,ci_low,ci_high,n_bootstraps
A2,cognitive_vs_median,0.0010210943786256605,-0.012474975720009477,0.008728568463142794,2000
A2,cognitive_vs_ordinary,-0.002606308161554288,-0.010651997229133932,0.0016103599790702626,2000
B2,cognitive_vs_median,0.0017047333679914422,-0.0007340356413840591,0.005065798142367628,2000
B2,cognitive_vs_ordinary,0.0033436338928939397,-0.0006887879481135221,0.009631397583100129,2000
pooled,cognitive_vs_median,0.001370291272474369,-0.004930625364663892,0.005737562700405391,2000
pooled,cognitive_vs_ordinary,0.0004328708734516412,-0.003577019689083776,0.004107404718695008,2000
