dataset,setting,held_block,requested_model,model,tau_m,tau_p,target_duration,direction_penalty,delay,lambda_ridge,edf,last_IRLS_change
B2,stimulus,0,N2_no_retrieval,N2_no_retrieval,0.5,0.6,0.4,1.0,0.05,0.001,7.2453788692230745,4.854407847920683e-07
B2,stimulus,0,N2_fixed_target,N2,1.0,0.6,0.2,1.0,0.05,0.001,7.8703283088468945,1.5960492364408552e-06
B2,stimulus,0,N2_equal_penalty,N2,1.0,0.6,0.4,1.0,0.05,0.001,7.865715588007548,1.6082750869950146e-06
B2,stimulus,1,N0,N0,1.0,0.3,0.1,1.0,0.05,1.0,1.4988929485965814,8.143709986181344e-08
B2,stimulus,1,N1,N1,1.0,0.6,0.4,1.0,0.05,0.1,5.323470385474391,8.501266408611485e-07
B2,stimulus,1,N2,N2,1.0,0.6,0.4,1.0,0.05,0.01,7.138613317228311,3.78547613699709e-07
B2,stimulus,1,N3,N3,1.0,0.6,0.4,10.0,0.05,0.001,8.084271952828985,6.91387060103299e-07
B2,stimulus,1,N2_no_projection,N2_no_projection,0.5,0.6,0.4,1.0,0.05,0.1,5.323519702114176,8.493226613670579e-07
B2,stimulus,1,N2_no_retrieval,N2_no_retrieval,2.0,0.6,0.4,10.0,0.05,0.1,5.042051438266521,9.028387042697705e-07
B2,stimulus,1,N2_fixed_target,N2,1.0,0.6,0.2,10.0,0.05,0.001,7.568413288344388,9.816565470499583e-07
B2,stimulus,1,N2_equal_penalty,N2,1.0,0.6,0.4,1.0,0.05,0.01,7.138613317228311,3.78547613699709e-07
B2,stimulus,2,N0,N0,1.0,0.3,0.4,1.0,0.05,1.0,1.4971869519100358,5.368743762577954e-07
B2,stimulus,2,N1,N1,1.0,0.6,0.4,1.0,0.05,0.1,5.321127266904321,2.910605981787384e-07
B2,stimulus,2,N2,N2,1.0,0.6,0.4,1.0,0.05,0.01,7.135787286286965,7.728578145793641e-07
B2,stimulus,2,N3,N3,1.0,0.3,0.4,10.0,0.05,0.1,5.236012876742486,2.2836098068079735e-07
B2,stimulus,2,N2_no_projection,N2_no_projection,0.5,0.6,0.4,1.0,0.05,0.1,5.321177034151203,2.877353620367451e-07
B2,stimulus,2,N2_no_retrieval,N2_no_retrieval,2.0,0.6,0.4,10.0,0.05,0.1,5.037928435152947,3.393023305098275e-07
B2,stimulus,2,N2_fixed_target,N2,1.0,0.6,0.2,10.0,0.05,0.001,7.566003169568388,1.3025892758866675e-06
B2,stimulus,2,N2_equal_penalty,N2,1.0,0.6,0.4,1.0,0.05,0.01,7.135787286286965,7.728578145793641e-07
B2,stimulus,3,N0,N0,1.0,0.3,0.1,1.0,0.05,0.1,2.726958001335658,6.680757217662064e-07
B2,stimulus,3,N1,N1,1.0,0.6,0.4,1.0,0.05,0.1,5.324916777481197,1.9102310547247647e-07
B2,stimulus,3,N2,N2,1.0,0.6,0.4,1.0,0.05,0.01,7.139311366775895,5.181352931427075e-07
B2,stimulus,3,N3,N3,1.0,0.6,0.4,1.0,0.05,0.001,8.624087367152658,1.9633282706266186e-06
B2,stimulus,3,N2_no_projection,N2_no_projection,0.5,0.6,0.4,1.0,0.05,0.1,5.324959708192806,1.9126044351058802e-07
B2,stimulus,3,N2_no_retrieval,N2_no_retrieval,0.5,0.6,0.4,1.0,0.05,0.001,7.245616503513324,7.562992370147015e-07
B2,stimulus,3,N2_fixed_target,N2,1.0,0.6,0.2,1.0,0.05,0.01,7.155018616018067,2.91223296866594e-07
B2,stimulus,3,N2_equal_penalty,N2,1.0,0.6,0.4,1.0,0.05,0.01,7.139311366775895,5.181352931427075e-07
B2,stimulus,4,N0,N0,1.0,0.3,0.4,1.0,0.05,1.0,1.4977685805152154,3.0112815220528777e-07
B2,stimulus,4,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,4.484217310222775,1.5694113392195064e-07
B2,stimulus,4,N2,N2,1.0,0.6,0.4,10.0,0.05,0.01,6.487884630528096,2.735236323547774e-07
B2,stimulus,4,N3,N3,1.0,0.6,0.4,10.0,0.05,0.001,8.081386078710572,7.350081738799474e-07
B2,stimulus,4,N2_no_projection,N2_no_projection,0.5,0.6,0.4,10.0,0.05,0.1,4.484196693149797,1.560733361438693e-07
B2,stimulus,4,N2_no_retrieval,N2_no_retrieval,0.5,0.6,0.4,10.0,0.05,0.001,6.72735046438307,5.681977552907114e-07
B2,stimulus,4,N2_fixed_target,N2,1.0,0.6,0.2,10.0,0.05,0.001,7.567298504469067,7.621918768352387e-07
B2,stimulus,4,N2_equal_penalty,N2,1.0,0.6,0.4,1.0,0.05,0.01,7.135650130939851,5.185135730709223e-07
