dataset,setting,held_block,requested_model,model,tau_m,tau_p,target_duration,direction_penalty,delay,lambda_ridge,edf,last_IRLS_change
A1,stimulus,2,N2_no_projection,N2_no_projection,0.5,0.6,0.4,10.0,0.05,0.1,4.471837538217055,7.728210302954119e-07
A1,stimulus,2,N2_no_retrieval,N2_no_retrieval,1.0,0.6,0.4,10.0,0.05,1.0,2.2864155655563736,5.164327217047071e-07
A1,stimulus,2,N2_fixed_target,N2,2.0,0.6,0.2,10.0,0.05,1.0,2.349969348552551,4.694636060870172e-07
A1,stimulus,2,N2_equal_penalty,N2,1.0,0.6,0.4,1.0,0.05,1.0,3.1669292181525113,5.20119835888122e-07
A1,stimulus,3,N0,N0,1.0,0.3,0.1,1.0,0.05,10.0,0.2726933719925236,6.989786452627411e-08
A1,stimulus,3,N1,N1,1.0,0.1,0.1,1.0,0.05,10.0,0.509904457077217,1.5051614873966496e-07
A1,stimulus,3,N2,N2,4.0,0.1,0.1,1.0,0.05,10.0,0.6846112661088867,1.957146966470591e-07
A1,stimulus,3,N3,N3,1.0,0.6,0.1,1.0,0.05,10.0,0.762427738791857,2.938324605069459e-08
A1,stimulus,3,N2_no_projection,N2_no_projection,2.0,0.1,0.1,1.0,0.05,10.0,0.5099649513346486,1.4618743204462478e-07
A1,stimulus,3,N2_no_retrieval,N2_no_retrieval,4.0,0.1,0.1,1.0,0.05,10.0,0.6839277681759893,1.9739924286572147e-07
A1,stimulus,3,N2_fixed_target,N2,4.0,0.1,0.2,1.0,0.05,10.0,0.6841449466443479,2.58258966116939e-07
A1,stimulus,3,N2_equal_penalty,N2,4.0,0.1,0.1,1.0,0.05,10.0,0.6846112661088867,1.957146966470591e-07
A1,stimulus,4,N0,N0,1.0,0.3,0.1,1.0,0.05,10.0,0.2726870651434714,1.1871305422321218e-07
A1,stimulus,4,N1,N1,1.0,0.1,0.1,1.0,0.05,10.0,0.509911561777835,3.4070301429861734e-07
A1,stimulus,4,N2,N2,0.5,0.1,0.1,1.0,0.05,10.0,0.6663132518434531,3.9212337492149085e-07
A1,stimulus,4,N3,N3,1.0,0.6,0.1,10.0,0.05,10.0,0.46509189590904504,9.104556771919597e-07
A1,stimulus,4,N2_no_projection,N2_no_projection,2.0,0.1,0.1,1.0,0.05,10.0,0.5099698765537748,3.3343493020332807e-07
A1,stimulus,4,N2_no_retrieval,N2_no_retrieval,0.5,0.1,0.1,1.0,0.05,10.0,0.6662003137370314,3.9429130056995235e-07
A1,stimulus,4,N2_fixed_target,N2,0.5,0.1,0.2,1.0,0.05,10.0,0.6662622920512723,3.7712917043842414e-07
A1,stimulus,4,N2_equal_penalty,N2,0.5,0.1,0.1,1.0,0.05,10.0,0.6663132518434531,3.9212337492149085e-07
A2,past,0,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.69587952369139,1.5763841734739437e-07
A2,past,0,N0,N0,1.0,0.3,0.1,10.0,0.05,1.0,4.39811710319214,0.00010984205617953213
A2,past,0,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,11.127542741621003,3.8438429475484703e-07
A2,past,0,N2,N2,4.0,0.6,0.4,10.0,0.05,1.0,5.665279485094972,0.00011272159370839807
A2,past,0,N3,N3,1.0,0.6,0.4,10.0,0.05,1.0,5.58042923755053,0.00011589525601440887
A2,past,1,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.630045284829782,2.1626252322271e-07
A2,past,1,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,8.930921957249904,2.0463799876857536e-07
A2,past,1,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,11.063202608078559,7.955833945527679e-07
A2,past,1,N2,N2,2.0,0.1,0.1,10.0,0.05,0.1,11.500062503669369,8.658750921264335e-07
A2,past,1,N3,N3,1.0,0.3,0.2,10.0,0.05,1.0,5.522553026243729,9.811196469583505e-05
A2,past,2,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,5.7921672556786685,8.056918859022932e-07
A2,past,2,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,8.099853725008531,7.754563323691954e-07
A2,past,2,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,10.239517355738716,7.29255283243857e-07
A2,past,2,N2,N2,4.0,0.3,0.1,1.0,0.05,0.1,12.312737023612204,5.75544522041227e-07
A2,past,2,N3,N3,1.0,0.1,0.4,1.0,0.05,0.1,12.90698214443628,5.39603993959803e-07
A2,past,3,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.396155204608902,4.464713984630997e-07
A2,past,3,N0,N0,1.0,0.3,0.1,10.0,0.05,1.0,4.240398668364754,0.00010041397597707058
A2,past,3,N1,N1,1.0,0.6,0.4,10.0,0.05,1.0,5.181475878318805,0.0001056207855560376
A2,past,3,N2,N2,4.0,0.3,0.1,10.0,0.05,1.0,5.507341582988387,0.00010549834950449033
A2,past,3,N3,N3,1.0,0.6,0.4,10.0,0.05,1.0,5.42067996877465,0.0001074820961708689
A2,past,4,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,6.563937292845974,2.2630343532448194e-07
A2,past,4,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,8.880130031041201,2.7344400707618455e-07
A2,past,4,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,11.028304144862961,2.8384710520912293e-07
A2,past,4,N2,N2,4.0,0.1,0.2,10.0,0.05,0.1,11.49226129039434,2.858432589514237e-07
A2,past,4,N3,N3,1.0,0.1,0.4,10.0,0.05,0.1,12.15770480487951,2.2501955015963304e-07
A2,stimulus,0,N0,N0,1.0,0.3,0.1,10.0,0.05,1.0,1.0880223077649944,1.0652799934144849e-07
A2,stimulus,0,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,4.46998346330325,6.474435739201034e-07
A2,stimulus,0,N2,N2,4.0,0.1,0.1,10.0,0.05,0.1,4.943966743556465,3.8914874317397263e-07
A2,stimulus,0,N3,N3,1.0,0.6,0.2,1.0,0.05,1.0,3.5059899442794182,8.524650371433129e-07
A2,stimulus,0,N2_no_projection,N2_no_projection,0.5,0.6,0.4,10.0,0.05,0.1,4.4699777449433205,6.500290174737966e-07
A2,stimulus,0,N2_no_retrieval,N2_no_retrieval,4.0,0.1,0.1,10.0,0.05,0.1,4.9211205572722125,3.853888843885489e-07
A2,stimulus,0,N2_fixed_target,N2,4.0,0.1,0.2,10.0,0.05,0.1,4.929219138207547,3.954025183106058e-07
A2,stimulus,0,N2_equal_penalty,N2,4.0,0.1,0.1,1.0,0.05,0.1,6.027547233256891,1.9655088837056134e-07
A2,stimulus,1,N0,N0,1.0,0.3,0.1,10.0,0.05,1.0,1.086643023145288,5.668085074067163e-07
A2,stimulus,1,N1,N1,1.0,0.6,0.4,10.0,0.05,0.1,4.458342215746563,7.52140768681131e-07
A2,stimulus,1,N2,N2,2.0,0.6,0.4,1.0,0.05,0.1,6.14150218718551,1.831382661042491e-07
A2,stimulus,1,N3,N3,1.0,0.6,0.2,1.0,0.05,1.0,3.497848749388499,1.3123473820153553e-07
A2,stimulus,1,N2_no_projection,N2_no_projection,0.5,0.6,0.4,10.0,0.05,0.1,4.458347559458565,7.539536458628371e-07
A2,stimulus,1,N2_no_retrieval,N2_no_retrieval,2.0,0.6,0.4,1.0,0.05,0.1,6.046734730659215,1.958321998937751e-07
A2,stimulus,1,N2_fixed_target,N2,2.0,0.1,0.2,10.0,0.05,0.1,4.877927052233143,6.730387628051115e-07
A2,stimulus,1,N2_equal_penalty,N2,2.0,0.6,0.4,1.0,0.05,0.1,6.14150218718551,1.831382661042491e-07
A2,stimulus,2,N0,N0,1.0,0.3,0.1,1.0,0.05,1.0,1.4908907032383705,1.071768470943188e-07
A2,stimulus,2,N1,N1,1.0,0.6,0.4,1.0,0.05,0.1,5.313042251941484,1.6986905524568607e-07
A2,stimulus,2,N2,N2,4.0,0.1,0.1,1.0,0.05,0.1,6.026737056203613,2.413233772813328e-07
A2,stimulus,2,N3,N3,1.0,0.6,0.2,1.0,0.05,1.0,3.5134835239562614,3.864310174806103e-07
A2,stimulus,2,N2_no_projection,N2_no_projection,0.5,0.6,0.4,1.0,0.05,0.1,5.313085928442332,1.7011458253862743e-07
A2,stimulus,2,N2_no_retrieval,N2_no_retrieval,4.0,0.3,0.1,1.0,0.05,0.1,6.500747601228647,2.2738840220470902e-07
A2,stimulus,2,N2_fixed_target,N2,4.0,0.1,0.2,1.0,0.05,0.1,6.0117020880629894,2.4686877786450623e-07
A2,stimulus,2,N2_equal_penalty,N2,4.0,0.1,0.1,1.0,0.05,0.1,6.026737056203613,2.413233772813328e-07
A2,stimulus,3,N0,N0,1.0,0.3,0.1,10.0,0.05,1.0,1.0878697020698134,2.0159072839850967e-07
A2,stimulus,3,N1,N1,1.0,0.6,0.1,10.0,0.05,0.1,4.4678680482170225,3.8752677359449317e-07
A2,stimulus,3,N2,N2,4.0,0.1,0.1,10.0,0.05,0.1,4.9399569461751875,3.923952069384562e-07
A2,stimulus,3,N3,N3,1.0,0.6,0.4,10.0,0.05,1.0,2.3104098049121156,5.483333835841486e-07
A2,stimulus,3,N2_no_projection,N2_no_projection,0.5,0.6,0.1,10.0,0.05,0.1,4.46809123850975,3.864056372232527e-07
A2,stimulus,3,N2_no_retrieval,N2_no_retrieval,4.0,0.1,0.1,10.0,0.05,0.1,4.917746761037441,3.8328471854698343e-07
A2,stimulus,3,N2_fixed_target,N2,4.0,0.1,0.2,10.0,0.05,0.1,4.924778093201472,4.1694892907728764e-07
A2,stimulus,3,N2_equal_penalty,N2,4.0,0.1,0.1,1.0,0.05,0.1,6.022814573374813,2.351775747755358e-07
A2,stimulus,4,N0,N0,1.0,0.3,0.1,10.0,0.05,1.0,1.0901768652254302,9.99359806097902e-07
A2,stimulus,4,N1,N1,1.0,0.6,0.2,10.0,0.05,0.1,4.487052468283688,1.6521903143176808e-07
A2,stimulus,4,N2,N2,4.0,0.1,0.1,10.0,0.05,0.1,4.960048773623193,4.123635661962277e-07
A2,stimulus,4,N3,N3,1.0,0.3,0.2,10.0,0.05,1.0,2.3388275986773697,1.512270850581067e-07
A2,stimulus,4,N2_no_projection,N2_no_projection,0.5,0.6,0.4,10.0,0.05,0.1,4.485742805625855,2.238428733064568e-07
A2,stimulus,4,N2_no_retrieval,N2_no_retrieval,4.0,0.1,0.1,10.0,0.05,0.1,4.937629298817455,3.9610988399052527e-07
A2,stimulus,4,N2_fixed_target,N2,2.0,0.1,0.2,10.0,0.05,0.1,4.907700796890868,4.0541760626400247e-07
A2,stimulus,4,N2_equal_penalty,N2,4.0,0.1,0.1,1.0,0.05,0.1,6.039835665643305,9.633062790087576e-07
B1,past,0,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,7.425789834024301,4.296986453496132e-06
B1,past,0,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,9.73971227153309,3.8809319774513185e-06
B1,past,0,N1,N1,1.0,0.1,0.1,10.0,0.05,0.1,11.162785354027125,2.261942443664705e-06
B1,past,0,N2,N2,0.5,0.1,0.1,10.0,0.05,0.1,12.051524990882651,1.91525642398091e-06
B1,past,0,N3,N3,1.0,0.1,0.2,1.0,0.05,0.1,14.457533508652439,2.404606002079368e-06
B1,past,1,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,7.18788758974544,4.590064681060657e-05
B1,past,1,N0,N0,1.0,0.3,0.1,10.0,0.05,0.1,9.500181077309293,4.638581554571031e-05
B1,past,1,N1,N1,1.0,0.1,0.1,10.0,0.05,0.1,10.923476056314064,4.562947518191307e-05
B1,past,1,N2,N2,4.0,0.1,0.1,10.0,0.05,0.1,12.150664024355722,4.7577298555798175e-05
B1,past,1,N3,N3,1.0,0.6,0.2,10.0,0.05,0.1,12.21501399628977,4.9671902446486726e-05
B1,past,2,B0,B0,1.0,0.3,0.2,1.0,0.05,0.1,7.044678937963447,9.525351089320622e-06
