dataset,n_trials,n_diagnostic_trials,power_le_1Hz,common_energy_fraction,corr_Fz_F3,corr_Fz_F4,corr_F3_F4,target_delay_min,target_delay_max,n_quality_exclusions,n_boundary_exclusions
A1,65,64,0.9014062964111692,0.5429820965849043,-0.6806429089617264,-0.5809488407445853,0.8841974604714709,2.21484375,2.21875,9,26
A2,68,68,0.8518206987800868,0.7974529470132381,0.7871290310844848,0.7335553479752619,0.7214774547851751,2.21484375,2.21875,6,26
B1,64,62,0.9063285149058464,0.21265264691606622,-0.5715359986537446,-0.5331309864248341,0.5691693330389428,2.21484375,2.21875,10,26
B2,71,71,0.8908444301576304,0.8250721344153629,0.7172194941865887,0.6769707153355898,0.8303585477730246,2.21484375,2.21875,3,26
