dataset,trial_id,block,prefix_end_s,cognitive_0,cognitive_1,cognitive_2,cognitive_3,cognitive_4,cognitive_5,cognitive_6,cognitive_7,cognitive_8,ordinary_0,ordinary_1,ordinary_2,ordinary_3,ordinary_4,ordinary_5,ordinary_6,ordinary_7,ordinary_8
A2,2,0,2.81640625,-0.0018969386093301537,-0.010890660590085132,-0.003882245544896439,-0.02286522648573887,-1.1140536492063768,0.0006830266188568385,0.003984496676676473,-3.3888839470176046,0.0015849173485492287,112.91796135962012,113.06996887682723,161.3666334449037,296.3614051170609,494.47775310116185,534.5466226873476,317.53939397089675,472.8112648913335,547.3915466131563
A2,3,0,2.81640625,0.004192190322112924,-0.0017266027620368041,0.006489968809549055,0.0026784342819059755,-0.4235529365983582,-0.0011418189295883086,-0.0004667442284731794,-1.2884224638309505,-0.003502630573945235,-7.810366923485085,-10.444245380036755,-6.715965306035909,-109.44508803926796,-158.55253351747774,-177.5332785139003,21.756377467476167,1.8485735222143709,8.92078555824025
A2,4,0,2.81640625,0.0016891463102857416,-0.005253090098273247,0.002072592454504221,-0.008124923161591937,-0.24132510467465268,-0.0003646435548954894,0.0014158499307149392,-0.7340963999596155,-0.0014113041287905186,3.6634421421663323,-2.089427327158886,-5.167829501931015,24.603624153825635,35.89782515997499,76.87811330874315,38.21591922743026,67.32115680645526,97.56951278104368
A2,5,0,2.81640625,-0.000544629195555745,-0.006268715330959819,-0.003681834471745981,-0.020452356174438892,-0.8810951796435843,0.0006477671031738655,0.003564029652541706,-2.6802383459861514,0.0004550449109512937,127.98933621202414,229.39095981746186,228.02775967957194,357.6659672927612,475.0646469868611,481.58296413242937,288.578871606597,347.872247747797,365.6257308449702
A2,6,0,2.81640625,0.004298060498914105,-0.0006866431909730488,0.007032179226658515,0.005416374008724986,-0.2952099206552337,-0.0012372132429114527,-0.0009438578817866515,-0.8980107572212025,-0.0035910865097782962,24.356980298170807,11.73893728179857,42.36065997208542,-103.93140596587342,-114.15177116890351,-96.52535663111931,4.882656801346653,6.116489316495831,43.2393506211246
A2,7,0,2.8203125,0.0007469761643354836,-0.0042985922400585195,0.0031153796513076833,-0.002222470228764189,-0.6599328467068513,-0.0005440801581257595,0.0003844147917136878,-2.0074758804548214,-0.000624016885168052,4.276222109609386,14.167882425442794,-7.561221718562593,-19.870904144396487,-62.19203601774534,-108.29411372453406,136.57025908752928,218.45512956054012,160.40413641173663
A2,8,0,2.81640625,0.004506526198005886,0.003239117044296006,0.005309999672077547,0.004537608825784484,0.1178985284813186,-0.0009342199199424407,-0.0007907241722566241,0.35864020627010523,-0.0037652623642012704,41.34641009123772,44.50527315292246,55.149260910675174,-44.90671927091039,-68.65005635804238,-85.15756761472785,-49.95907034860105,-129.4729577508793,-162.0360071225965
A2,9,0,2.8203125,0.0019136093365028288,-0.004380006636214526,0.0005681132703440262,-0.011647040377030153,-0.4312611607865371,-9.921717176023008e-05,0.0020145577397032537,-1.3118704164766253,-0.001598611300609975,103.37204086102807,177.4886490063499,168.97839211380884,152.97691669247087,318.90815640168876,267.1185795906672,102.49445691965869,230.48752858052902,153.72570913496935
A2,10,0,2.81640625,0.005337890537644933,0.0018961756245745205,0.0037807837010208592,-0.003148207143153533,-0.3669658067213984,-0.0006651758313773035,0.0005486068947188491,-1.116287830831508,-0.0044598782881843805,144.4173366946632,297.4543399347353,234.6870229704164,77.50467320232576,255.84684542196297,160.76096205899154,-22.998182716741564,200.87127064178546,-28.814881303721734
A2,11,0,2.81640625,-4.727714199967847e-05,-0.004803318633229779,0.0027879808737068315,-0.0018166458738515824,-0.8771109889119898,-0.000490506107247348,0.00031656889344937333,-2.66811867830069,3.950067871283149e-05,56.7825340867292,48.210930801744695,69.24064857846494,31.281733153493185,11.335332187408845,-0.24042590759884053,204.3394475334267,357.29455269441155,267.9422429792991
