N100_amp,N100_lat_ms,N100_fwhm_ms,N200_amp,N200_lat_ms,N200_fwhm_ms,P300_amp,P300_lat_ms,P300_fwhm_ms,R2,RMSE,fit_status,cue,channel,reliable,quality_reason
-21.310925825332095,80.00001038044991,130.95621079001032,-38.64050998048139,259.9999999999996,188.39999997007737,1.2222152094041155e-13,519.9999999942593,353.249999319821,0.7263445165925699,15.6409428612882,gaussian,-1,Fz,False,幅度弱；潜伏期近边界；宽度近边界
-16.222441383563446,80.00000000000001,65.06981530919512,-149.99999999999997,259.99999999999994,188.39999999999998,118.18611958794092,258.84410092951015,157.45427562429782,0.848913575275863,10.403810160854684,gaussian,-1,F3,True,通过工程筛查
-34.05009213035381,80.00000000304328,133.05963300205917,-49.579125089477266,259.99999999999767,188.39999999999853,1.455512250605841e-11,519.9999999982687,353.24999916505334,0.7264543390869567,18.723235357302343,gaussian,-1,F4,False,幅度弱；潜伏期近边界；宽度近边界
-37.80986217902491,80.00000000000001,89.07077605202001,-149.99999999999997,259.99999999999994,188.39999999999998,111.90154854400433,262.5250005283008,143.03063324377183,0.6999332569720873,23.33780818124948,gaussian,1,Fz,True,通过工程筛查
-33.36790250862068,80.00000000130794,138.8087184585505,-32.37313147373024,259.9999999979524,188.3999999998924,21.09178496047122,519.9999999999998,353.24999999999994,0.6914545391916977,22.556711619653353,gaussian,1,F3,False,潜伏期近边界；宽度近边界
-32.856068009668945,80.00000000000001,98.4704100939311,-149.99999999999423,259.99999999999983,188.3999999999999,119.71274168156134,263.2741478691912,153.99952550744527,0.5490421453666361,34.388157574511126,gaussian,1,F4,True,通过工程筛查
