cue,channel,stage,metric,low,high,n,bootstrap
-1,Fz,预处理,MAE,2.6876996195006813,48.264969655892706,53,300
-1,Fz,预处理,positive_mean,0.015630096204425355,50.36124579541362,53,300
-1,Fz,V3,MAE,1.9685268184103972,12.668622816406566,53,300
-1,Fz,V3,positive_mean,0.4925540730365271,14.60340712808493,53,300
-1,Fz,V4,MAE,2.175714642842306,22.820248485214755,53,300
-1,Fz,V4,positive_mean,0.06610815984132057,24.91652462473567,53,300
-1,Fz,V4减V3,MAE,-3.0608833376331788,14.912669932657028,53,300
-1,Fz,V4减V3,positive_mean,-5.101114855476678,15.34511276938995,53,300
-1,F3,预处理,MAE,6.687464083348502,76.64272371759782,53,300
-1,F3,预处理,positive_mean,0.0,76.39026178601176,53,300
-1,F3,V3,MAE,5.54820698597729,22.872831624471335,53,300
-1,F3,V3,positive_mean,0.1724113224521599,22.620369692885284,53,300
-1,F3,V4,MAE,4.922954048421543,40.106398633366325,53,300
-1,F3,V4,positive_mean,0.0,39.85393670178026,53,300
-1,F3,V4减V3,MAE,-10.9743117652274,25.832206243300195,53,300
-1,F3,V4减V3,positive_mean,-13.830693427161396,26.66444090941872,53,300
-1,F4,预处理,MAE,3.9458732257433935,73.110984197383,53,300
-1,F4,预处理,positive_mean,0.0,83.18821145748953,53,300
-1,F4,V3,MAE,2.8008298202695436,19.15161212599229,53,300
-1,F4,V3,positive_mean,5.930128447852324,29.22883938609884,53,300
-1,F4,V4,MAE,2.4556527871971694,33.749997812955144,53,300
-1,F4,V4,positive_mean,0.8422676086517502,43.82722507306168,53,300
-1,F4,V4减V3,MAE,-7.7990826161263715,23.45439089648412,53,300
-1,F4,V4减V3,positive_mean,-13.717669830457702,24.60858317420584,53,300
1,Fz,预处理,MAE,25.44285294002997,74.50965662804002,42,300
1,Fz,预处理,positive_mean,29.64271309216145,78.70951678017148,42,300
1,Fz,V3,MAE,4.835723870240336,33.22656018448828,42,300
1,Fz,V3,positive_mean,7.137506358466796,37.42642033661974,42,300
1,Fz,V4,MAE,8.17269730541051,48.99410043109679,42,300
1,Fz,V4,positive_mean,12.29895975446638,53.193960583228254,42,300
1,Fz,V4减V3,MAE,1.6799238637521168,19.95787887761429,42,300
1,Fz,V4减V3,positive_mean,2.0379510942708863,19.984900766399115,42,300
1,F3,预处理,MAE,42.35480155946572,140.70080115684567,42,300
1,F3,预处理,positive_mean,48.73436763287776,147.08036723025774,42,300
1,F3,V3,MAE,6.290768037734757,50.027387583780225,42,300
1,F3,V3,positive_mean,10.453834726892062,56.40695365719228,42,300
1,F3,V4,MAE,16.234240180388284,84.49217150025882,42,300
1,F3,V4,positive_mean,22.61380625380033,90.87173757367087,42,300
1,F3,V4减V3,MAE,5.197289201675215,39.33723717846609,42,300
1,F3,V4减V3,positive_mean,6.043868319522914,39.33723717846607,42,300
1,F4,预处理,MAE,36.523512069390655,101.01258061009565,42,300
1,F4,预处理,positive_mean,46.25296266467251,110.74203120537749,42,300
1,F4,V3,MAE,5.674740209960253,32.256080003788384,42,300
1,F4,V3,positive_mean,5.796483466654551,41.985530599070245,42,300
1,F4,V4,MAE,7.997316311180347,56.779454174386125,42,300
1,F4,V4,positive_mean,16.6399146140637,66.50890476966798,42,300
1,F4,V4减V3,MAE,0.8171129787440965,30.267703815113627,42,300
1,F4,V4减V3,positive_mean,4.574656229368841,31.159101014354817,42,300
