model,n,BA,AUC,balanced_logloss,p_raw,p_maxT_three
post_given_pre,275,0.513095238095238,0.5209523809523808,0.6925821069251834,0.4595,0.768
post_lateral_early,275,0.567989417989418,0.5674074074074074,0.6843975866563372,0.0195,0.054
pre_lateral_3,275,0.5427248677248677,0.5625396825396826,0.6980297116329283,0.1245,0.299
