dataset,model,n,BA_change,BA_change_low,BA_change_high,AUC_change,AUC_change_low,AUC_change_high,n_boot,interval
A1,mechanism_selected,67,0.0,0.0,0.0,0.0035714285714286143,-0.0029325513196480912,0.008547008547008517,2000,paired_time_blocks_fixed_models
A1,window_mean_9,67,0.0,0.0,0.0,0.004464285714285698,-0.0049019607843136526,0.01026041666666661,2000,paired_time_blocks_fixed_models
A2,mechanism_selected,70,-0.029436501261564385,-0.06549107142857137,0.0,-0.024390243902438935,-0.046493301812450705,-0.008538899430740043,2000,paired_time_blocks_fixed_models
A2,window_mean_9,70,-0.017241379310344862,-0.05357142857142849,0.0,-0.00925147182506314,-0.016849875085169143,-0.002016129032258007,2000,paired_time_blocks_fixed_models
B1,mechanism_selected,69,-0.014705882352941124,-0.04054054054054057,0.0,0.004201680672268893,-0.028546712802768215,0.03591836734693876,2000,paired_time_blocks_fixed_models
B1,window_mean_9,69,0.01428571428571429,0.0,0.03750000000000003,0.00840336134453784,0.0008658008658009031,0.015015015015015065,2000,paired_time_blocks_fixed_models
B2,mechanism_selected,69,-0.002111486486486458,-0.051724137931034475,0.042857142857142816,-0.0016891891891891997,-0.017424242424242453,0.023549201009251508,2000,paired_time_blocks_fixed_models
B2,window_mean_9,69,0.0,0.0,0.0,0.013513513513513487,-0.004778972520907976,0.018815331010452963,2000,paired_time_blocks_fixed_models
