dataset,branch,fold,model,target,cue,channel,RMSE,R2,positive_peak_latency_ms,positive_peak_amplitude
A1,baseline,2,mechanism,common_baseline,1,F3,317.8977232500209,-19.14792583608114,,
A1,baseline,2,mechanism,common_baseline,1,F4,284.47332282668424,-19.44004888363749,,
A1,baseline,2,training_template,common_baseline,-1,Fz,10.429020188847838,-2.556103809050236,324.21875,14.998093023213325
A1,baseline,2,training_template,common_baseline,-1,F3,97.40279741564035,-112.4293933289771,,
A1,baseline,2,training_template,common_baseline,-1,F4,159.52101108525414,-39.0073418860922,,
A1,baseline,2,training_template,common_baseline,1,Fz,39.025236060599454,-8.40293680545847,355.46875,10.938623848320647
A1,baseline,2,training_template,common_baseline,1,F3,316.3771673373738,-18.955645256814503,,
A1,baseline,2,training_template,common_baseline,1,F4,286.36141397589626,-19.71227650501262,,
A1,baseline,2,mechanism,branch_output,-1,Fz,7.998911856364421,-1.0919400580887961,363.28125,7.432747333869189
A1,baseline,2,mechanism,branch_output,-1,F3,74.8160434342698,-65.92251038647714,,
A1,baseline,2,mechanism,branch_output,-1,F4,138.62987920151366,-29.214652226770806,,
A1,baseline,2,mechanism,branch_output,1,Fz,39.26846693068318,-8.520512612169387,359.375,5.687163968599856
A1,baseline,2,mechanism,branch_output,1,F3,317.8977232500209,-19.14792583608114,,
A1,baseline,2,mechanism,branch_output,1,F4,284.47332282668424,-19.44004888363749,,
A1,baseline,2,training_template,branch_output,-1,Fz,10.429020188847838,-2.556103809050236,324.21875,14.998093023213325
A1,baseline,2,training_template,branch_output,-1,F3,97.40279741564035,-112.4293933289771,,
A1,baseline,2,training_template,branch_output,-1,F4,159.52101108525414,-39.0073418860922,,
A1,baseline,2,training_template,branch_output,1,Fz,39.025236060599454,-8.40293680545847,355.46875,10.938623848320647
A1,baseline,2,training_template,branch_output,1,F3,316.3771673373738,-18.955645256814503,,
A1,baseline,2,training_template,branch_output,1,F4,286.36141397589626,-19.71227650501262,,
A1,denoised,2,mechanism,common_baseline,-1,Fz,7.998911856364421,-1.0919400580887961,363.28125,7.432747333869189
A1,denoised,2,mechanism,common_baseline,-1,F3,74.8160434342698,-65.92251038647714,,
A1,denoised,2,mechanism,common_baseline,-1,F4,138.62987920151366,-29.214652226770806,,
A1,denoised,2,mechanism,common_baseline,1,Fz,39.26846693068318,-8.520512612169387,359.375,5.687163968599856
A1,denoised,2,mechanism,common_baseline,1,F3,317.8977232500209,-19.14792583608114,,
A1,denoised,2,mechanism,common_baseline,1,F4,284.47332282668424,-19.44004888363749,,
A1,denoised,2,training_template,common_baseline,-1,Fz,10.429020188847838,-2.556103809050236,324.21875,14.998093023213325
A1,denoised,2,training_template,common_baseline,-1,F3,97.40279741564035,-112.4293933289771,,
A1,denoised,2,training_template,common_baseline,-1,F4,159.52101108525414,-39.0073418860922,,
A1,denoised,2,training_template,common_baseline,1,Fz,39.025236060599454,-8.40293680545847,355.46875,10.938623848320647
A1,denoised,2,training_template,common_baseline,1,F3,316.3771673373738,-18.955645256814503,,
A1,denoised,2,training_template,common_baseline,1,F4,286.36141397589626,-19.71227650501262,,
