dataset,branch,fold,feature,spatial_mode,window,train_effect,test_effect,same_sign
A1,baseline,0,1,common,50_250,0.3233491157238387,0.5503709028366793,True
A1,baseline,0,2,common,250_500,0.311972357995889,0.5534421636437646,True
A1,baseline,0,3,common,500_750,0.3093338993766817,0.48591892415683985,True
A1,baseline,0,4,midline,50_250,-0.3690249539601809,-0.609781234796991,True
A1,baseline,0,5,midline,250_500,-0.33911869768622144,-0.583123176289106,True
A1,baseline,0,6,midline,500_750,-0.3269737139527305,-0.5058755465925173,True
A1,baseline,0,7,lateral,50_250,0.25452867922376937,0.10530657292160955,True
A1,baseline,0,8,lateral,250_500,0.3331962114174667,0.10594697020739356,True
A1,baseline,0,9,lateral,500_750,0.39598815045151287,0.08322320515741874,True
A1,denoised,0,1,common,50_250,0.3241113801076437,0.5268799280769378,True
A1,denoised,0,2,common,250_500,0.317206532223969,0.5506014273556149,True
A1,denoised,0,3,common,500_750,0.31019429799581766,0.49430154774873564,True
A1,denoised,0,4,midline,50_250,-0.37182964760508624,-0.5949584253779456,True
A1,denoised,0,5,midline,250_500,-0.342381357753174,-0.579116123659308,True
A1,denoised,0,6,midline,500_750,-0.3278286432573262,-0.5109068341110982,True
A1,denoised,0,7,lateral,50_250,0.2442981713977733,0.08012708529586955,True
A1,denoised,0,8,lateral,250_500,0.32161664216310476,0.08459786938229706,True
A1,denoised,0,9,lateral,500_750,0.3909629717097375,0.06404660982450273,True
A1,baseline,1,1,common,50_250,0.35543720575474036,0.1379872525866085,True
A1,baseline,1,2,common,250_500,0.34863571418611755,0.17734632117062224,True
A1,baseline,1,3,common,500_750,0.3254387767649344,0.16917477089231098,True
A1,baseline,1,4,midline,50_250,-0.38521531645545537,-0.2142571490578832,True
A1,baseline,1,5,midline,250_500,-0.3658379233069408,-0.16184267170529795,True
A1,baseline,1,6,midline,500_750,-0.35563684952011326,-0.1552957934040758,True
A1,baseline,1,7,lateral,50_250,0.37801116319867173,-0.6541165228906612,False
A1,baseline,1,8,lateral,250_500,0.4477808622106548,-0.46664238079327697,False
A1,baseline,1,9,lateral,500_750,0.5026824201600087,-0.43162625586615777,False
A1,denoised,1,1,common,50_250,0.34883566650031567,0.1641496571029939,True
A1,denoised,1,2,common,250_500,0.34929337352930945,0.17058840643568907,True
A1,denoised,1,3,common,500_750,0.32981669093522564,0.1295314250617106,True
A1,denoised,1,4,midline,50_250,-0.38802883880291833,-0.22117389998470624,True
A1,denoised,1,5,midline,250_500,-0.37000296981895164,-0.1415725378408514,True
A1,denoised,1,6,midline,500_750,-0.36275973229243874,-0.13436125674469615,True
