dataset,n,baseline_BA,denoised_BA,BA_change_pp,BA_low_pp,BA_high_pp,baseline_AUC,denoised_AUC
A1,67,0.4799107142857143,0.4799107142857143,0.0,0.0,0.0,0.4839285714285714,0.4875
A2,70,0.5756938603868798,0.5462573591253154,-2.9436501261564296,-6.54910714285713,0.0,0.5290159798149705,0.5046257359125316
B1,69,0.5100840336134453,0.4953781512605042,-1.47058823529411,-4.05405405405405,0.0,0.4680672268907563,0.4722689075630252
B2,69,0.4641047297297297,0.4619932432432432,-0.21114864864864,-5.1724137931034395,4.28571428571428,0.4805743243243243,0.4788851351351351
