cue,channel,n_trials,fit_family,knot_spacing_ms,fit_RMSE_50_750,fit_RMSE_250_500,positive_mean,positive_area_unit_ms,local_positive_peak,local_peak_latency_ms,peak_status
-1,Fz,45,fixed_knot_cubic_spline,50.0,0.9638243275439666,0.9351468834258962,43.955693805847766,10974.32977479304,,,无合格窗内局部正峰
-1,F3,45,fixed_knot_cubic_spline,50.0,0.9750514880246721,1.1137528853964118,15.129704904922958,3767.347020359807,18.024372364715592,308.59375,窗内局部正峰，非生理确认
-1,F4,45,fixed_knot_cubic_spline,50.0,0.8757758059810501,0.8242930900376098,39.78259480395455,9929.72038364401,40.237274047651965,328.125,窗内局部正峰，非生理确认
1,Fz,47,fixed_knot_cubic_spline,50.0,0.8108615979828104,0.9194318175491094,57.906306480537005,14473.38125043533,,,无合格窗内局部正峰
1,F3,47,fixed_knot_cubic_spline,50.0,0.6399242577504893,0.6773000661983474,47.459182745749104,11860.878985430041,,,无合格窗内局部正峰
1,F4,47,fixed_knot_cubic_spline,50.0,0.6824636828972497,0.7552959195037717,75.06589868557957,18760.011765481067,,,无合格窗内局部正峰
