model,n,BA,AUC,p_raw,p_maxT_three
all_9windows,275,0.564021164021164,0.5957671957671957,0.039,0.092
early_lateral,275,0.5542328042328042,0.5739682539682539,0.084,0.164
lateral_3windows,275,0.5427248677248677,0.5625396825396826,0.1375,0.2785
