cue,channel,metric,stage,low,high,n_trials,n_boot
-1,F4,positive_mean,V7减V6,-1.324675797124317,0.0,47,400
1,Fz,proxy_MAE,预处理,2.2489928420211664,15.511877677157807,43,400
1,Fz,proxy_MAE,V3,2.0648584849972247,15.315910292400416,43,400
1,Fz,proxy_MAE,V4,2.108369188926237,14.539334165986862,43,400
1,Fz,proxy_MAE,V6,2.245969897620747,15.321037064663397,43,400
1,Fz,proxy_MAE,V7,2.2447336427188285,15.357976713603113,43,400
1,Fz,proxy_MAE,V7减预处理,-0.25884877417447016,0.04403120551689132,43,400
1,Fz,proxy_MAE,V7减V3,-0.46662385279860236,1.9173958208131998,43,400
1,Fz,proxy_MAE,V7减V4,-0.08865520229617183,1.56782903611151,43,400
1,Fz,proxy_MAE,V7减V6,-0.002925412576667829,0.03648591067180925,43,400
1,Fz,positive_mean,预处理,0.0,5.486239352229545,43,400
1,Fz,positive_mean,V3,0.0,6.174232185104015,43,400
1,Fz,positive_mean,V4,0.0,6.023995069265272,43,400
1,Fz,positive_mean,V6,0.0,5.56700388465934,43,400
1,Fz,positive_mean,V7,0.0,5.548236553236244,43,400
1,Fz,positive_mean,V7减预处理,-0.02182692454340399,0.12655374628899738,43,400
1,Fz,positive_mean,V7减V3,-1.1797621683103492,0.1463152146926443,43,400
1,Fz,positive_mean,V7减V4,-0.8025205495211261,0.029283062027494054,43,400
1,Fz,positive_mean,V7减V6,-0.018695651522041012,0.0033753700423597086,43,400
1,F3,proxy_MAE,预处理,2.6934197724628284,87.2935891816169,43,400
1,F3,proxy_MAE,V3,2.315867901090147,7.315151605637525,43,400
1,F3,proxy_MAE,V4,2.5024805262760337,36.02640483702841,43,400
1,F3,proxy_MAE,V6,2.7567353045326572,78.39697450129346,43,400
1,F3,proxy_MAE,V7,2.720215649027271,76.09428589656895,43,400
1,F3,proxy_MAE,V7减预处理,-10.75174169457902,0.24377365649790228,43,400
1,F3,proxy_MAE,V7减V3,-1.2482550445255736,73.537969280938,43,400
1,F3,proxy_MAE,V7减V4,-4.9389108940044695,48.49974625436738,43,400
1,F3,proxy_MAE,V7减V6,-2.3064383387281837,0.9093084393816111,43,400
1,F3,positive_mean,预处理,0.0,87.52919720556777,43,400
1,F3,positive_mean,V3,0.07981952992323176,7.42212814262329,43,400
1,F3,positive_mean,V4,0.0,36.26201286097929,43,400
1,F3,positive_mean,V6,0.0,78.63258252524432,43,400
1,F3,positive_mean,V7,0.0,76.32989392051978,43,400
1,F3,positive_mean,V7减预处理,-10.751741694578978,0.42649065491640875,43,400
1,F3,positive_mean,V7减V3,-3.106512520672384,73.93394078755769,43,400
1,F3,positive_mean,V7减V4,-6.465442894174053,48.4997462543674,43,400
1,F3,positive_mean,V7减V6,-2.3064383387282112,0.9093084393816077,43,400
1,F4,proxy_MAE,预处理,3.4316538302067565,71.32559844575776,43,400
1,F4,proxy_MAE,V3,2.7201163110941993,9.912399393403597,43,400
1,F4,proxy_MAE,V4,2.7461886317982644,32.61908194792722,43,400
1,F4,proxy_MAE,V6,2.9379622681485604,66.33969262743166,43,400
1,F4,proxy_MAE,V7,2.911633479760119,63.89262187597824,43,400
1,F4,proxy_MAE,V7减预处理,-8.079274289371364,0.485765354105241,43,400
1,F4,proxy_MAE,V7减V3,-3.261022855361051,55.63674111093501,43,400
1,F4,proxy_MAE,V7减V4,-7.785148477852017,37.46994508543779,43,400
1,F4,proxy_MAE,V7减V6,-2.2180958407628526,0.7336612655767977,43,400
1,F4,positive_mean,预处理,0.0,75.33890135588844,43,400
1,F4,positive_mean,V3,2.1041969385609525,13.880083222366478,43,400
1,F4,positive_mean,V4,0.12796176851372448,36.632384858057875,43,400
1,F4,positive_mean,V6,0.0,70.35299553756235,43,400
1,F4,positive_mean,V7,0.0,67.90592478610893,43,400
1,F4,positive_mean,V7减预处理,-8.079274289371329,1.0148392764232095,43,400
1,F4,positive_mean,V7减V3,-9.67979579603778,55.89896103612858,43,400
1,F4,positive_mean,V7减V4,-10.904186754904554,37.469945085437764,43,400
1,F4,positive_mean,V7减V6,-2.21809584076286,0.7427755706694434,43,400
