dataset,trial_id,block,truth,common_50_250,common_250_500,common_500_750,midline_50_250,midline_250_500,midline_500_750,lateral_50_250,lateral_250_500,lateral_500_750
A1,2,0,1,-1.4164112878360369,-1.351609217870819,-1.1409612332425607,1.462978580409332,1.2841308348753386,1.1808418887715426,2.9702981274152775,3.5098853389961353,3.961656371924117
A1,4,0,-1,0.1422864803718434,0.11079363944406007,0.32248976525749734,-0.4216929121567288,-0.43799862218855534,-0.5674846057055346,0.2618314828855316,0.0889891074840455,0.2442839311723678
A1,5,0,1,0.2690862578566844,0.2834930353345297,0.4434726151211203,-0.5261477305186026,-0.5215731836762649,-0.6504462202591146,-1.00245282966243,-1.3056243664625682,-1.3088327612283974
A1,6,0,-1,-0.9585382995496712,-1.1520501083752754,-1.499851835794612,0.5697668021466618,0.5620533239534778,0.6662263009495505,-0.6991844779030374,-0.532034367568225,-0.4586415645759761
A1,7,0,-1,-0.4893403710733246,-0.43364270607843736,-0.18099239101742426,0.22195294918715588,0.2743303584488904,0.19104980742293368,1.0314248734525722,0.8197220096725336,0.8141761920342973
A1,8,0,-1,0.4672849794075516,0.5504892233007009,0.7860559524437989,-0.3516013455509294,-0.4323871940764404,-0.6158533791362243,0.14336843448706243,-0.1799724507423201,-0.49784176467551916
A1,9,0,1,0.2752913499520377,0.296336624682296,0.35836493831410565,-0.1978202325941342,-0.24078001862188483,-0.2220841003696153,1.2417710843808871,1.1697437987348238,1.1245363052332713
A1,10,0,1,-0.05656937643243715,0.20516104570946006,0.2876055504510725,-0.1223689135730541,-0.09436351132322833,-0.18800413248116093,-0.45922158254523565,-0.4911369066026686,-0.5731711242822265
A1,11,0,1,0.6957178376469059,0.8596950820036326,0.5769129574148848,-0.9688630452403962,-1.0547083954184635,-0.9838404884974697,1.3978080462236087,1.0047097995623764,0.5523891769392824
A1,12,0,1,0.24282523919024104,0.44922964062808507,0.3752494123909734,-0.3452093864404614,-0.2829034262610935,-0.2759114249846354,-1.5177393479009644,-1.7202782637204581,-1.877298702804503
A1,13,0,-1,0.43863018545021554,0.6830780732457576,0.7194447093498825,-0.4733609880125737,-0.5584125868875519,-0.6450320690435564,-0.060938484662317674,-0.21559909485266815,-0.17753277294179526
A1,15,0,1,-0.19958556422311258,-0.36527280888589525,-0.5524795550189097,0.3342291426005305,0.3778253611582367,0.41269095329400834,0.5218942904546071,0.21787623507353585,0.023608004211378847
A1,16,0,-1,-1.2203055518978925,-1.2201140288429426,-1.4633072084717398,1.2455578292017946,1.2663010633845415,1.3358790868900001,-0.839363919435626,-0.6757350693016871,-0.6546756863558304
A1,17,0,1,-1.0932384022001458,-1.0018443340294774,-0.982900868684642,0.8526392296535293,0.9294610677099835,0.9729524801038265,0.03389009803516316,0.15389828918924686,0.235266339251437
