cue,channel,metric,stage,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,4.677012451408206,66.5799251855958,45,400
-1,Fz,proxy_MAE,V3,2.7901585301703475,23.55606917709057,45,400
-1,Fz,proxy_MAE,V4,3.7976875098195357,44.720624010291175,45,400
-1,Fz,proxy_MAE,V6,4.3048138413538455,60.94760002462044,45,400
-1,Fz,proxy_MAE,V7,4.366980844278892,57.87098567250327,45,400
-1,Fz,proxy_MAE,V7减预处理,-7.835242063576342,1.3397198758989128,45,400
-1,Fz,proxy_MAE,V7减V3,-7.574159442947166,48.4170301479323,45,400
-1,Fz,proxy_MAE,V7减V4,-17.831672110234855,32.09687190675719,45,400
-1,Fz,proxy_MAE,V7减V6,-2.727427933404961,1.1409859363309656,45,400
-1,Fz,positive_mean,预处理,0.0005668963768417454,100.19344709215986,45,400
-1,Fz,positive_mean,V3,19.092526297425426,55.83286004855935,45,400
-1,Fz,positive_mean,V4,20.92853961703283,78.37269900848428,45,400
-1,Fz,positive_mean,V6,0.56196405375548,94.59967502281349,45,400
-1,Fz,positive_mean,V7,0.64718148646198,91.46641195956902,45,400
-1,Fz,positive_mean,V7减预处理,-6.493541686717547,4.889312813256048,45,400
-1,Fz,positive_mean,V7减V3,-33.317518549585444,48.42509006525455,45,400
-1,Fz,positive_mean,V7减V4,-36.4334049914032,23.84442885147892,45,400
-1,Fz,positive_mean,V7减V6,-2.7274279334049263,0.6875173666892506,45,400
-1,F3,proxy_MAE,预处理,4.286098528354869,104.30727218590404,45,400
-1,F3,proxy_MAE,V3,3.1127051675214688,23.2659081159708,45,400
-1,F3,proxy_MAE,V4,3.907465227149289,63.07845177679439,45,400
-1,F3,proxy_MAE,V6,4.116055818305146,96.63338672768664,45,400
-1,F3,proxy_MAE,V7,4.302420319569796,94.87411208793678,45,400
-1,F3,proxy_MAE,V7减预处理,-11.0859697925492,1.5053369689451221,45,400
-1,F3,proxy_MAE,V7减V3,-5.550433618904717,80.24189529890288,45,400
-1,F3,proxy_MAE,V7减V4,-23.722777358844844,45.87569720257717,45,400
-1,F3,proxy_MAE,V7减V6,-3.7115214748983036,0.9580498354117177,45,400
-1,F3,positive_mean,预处理,0.0,91.10456916766731,45,400
-1,F3,positive_mean,V3,0.0,10.728342751222227,45,400
-1,F3,positive_mean,V4,0.0,49.87574875855763,45,400
-1,F3,positive_mean,V6,0.0,83.4306837094499,45,400
-1,F3,positive_mean,V7,0.0,81.67140906970002,45,400
-1,F3,positive_mean,V7减预处理,-10.968185658066949,0.9134812117765002,45,400
-1,F3,positive_mean,V7减V3,-3.4068917848037614,76.01728518971467,45,400
-1,F3,positive_mean,V7减V4,-18.68884812778089,42.94034035500375,45,400
-1,F3,positive_mean,V7减V6,-3.711521474898304,0.3651578435875366,45,400
-1,F4,proxy_MAE,预处理,4.12957648597189,89.66967531445016,45,400
-1,F4,proxy_MAE,V3,2.794010787194044,23.188222239004535,45,400
-1,F4,proxy_MAE,V4,3.0074874440094463,56.39621208075568,45,400
-1,F4,proxy_MAE,V6,4.20315474427409,80.85154084280992,45,400
-1,F4,proxy_MAE,V7,4.274678326838602,78.73038095466477,45,400
-1,F4,proxy_MAE,V7减预处理,-11.747328438640853,1.7888022561604298,45,400
-1,F4,proxy_MAE,V7减V3,-11.626687637608171,72.83456064839562,45,400
-1,F4,proxy_MAE,V7减V4,-20.576571938682125,53.71271229663585,45,400
-1,F4,proxy_MAE,V7减V6,-3.8366310695547323,1.8142144709700367,45,400
-1,F4,positive_mean,预处理,0.0,117.39749615502438,45,400
-1,F4,positive_mean,V3,11.06297524183227,51.738920327734576,45,400
-1,F4,positive_mean,V4,5.792465648978158,86.92298582461325,45,400
-1,F4,positive_mean,V6,0.0,111.30027990056477,45,400
-1,F4,positive_mean,V7,0.0,106.48141841002571,45,400
-1,F4,positive_mean,V7减预处理,-9.630644524430254,4.712331078969822,45,400
-1,F4,positive_mean,V7减V3,-35.655787130077535,73.01217950024181,45,400
-1,F4,positive_mean,V7减V4,-47.76491946291117,37.11703287498708,45,400
-1,F4,positive_mean,V7减V6,-3.836631069554747,0.7376928465688962,45,400
1,Fz,proxy_MAE,预处理,7.414642604615101,71.02802254140116,47,400
1,Fz,proxy_MAE,V3,2.3686695090453918,11.307686101366569,47,400
1,Fz,proxy_MAE,V4,3.9955015773726643,25.705554385035114,47,400
1,Fz,proxy_MAE,V6,6.273083035636136,62.885766667683285,47,400
1,Fz,proxy_MAE,V7,7.0940559353041905,62.585876476117114,47,400
1,Fz,proxy_MAE,V7减预处理,-8.613259423951565,0.18150398595360384,47,400
1,Fz,proxy_MAE,V7减V3,1.6310571207646605,57.74563883159708,47,400
1,Fz,proxy_MAE,V7减V4,0.1566803185705498,46.91603226394651,47,400
1,Fz,proxy_MAE,V7减V6,-0.9061636027291722,1.2123130502823611,47,400
1,Fz,positive_mean,预处理,27.99751260086224,92.9533974837819,47,400
1,Fz,positive_mean,V3,11.993549383386403,32.32434510907854,47,400
1,Fz,positive_mean,V4,16.57343539169893,47.63092932741585,47,400
1,Fz,positive_mean,V6,26.587218486367167,84.81114161006401,47,400
1,Fz,positive_mean,V7,27.640046718455228,84.51125141849788,47,400
1,Fz,positive_mean,V7减预处理,-8.613259423951543,0.5404759376458989,47,400
1,Fz,positive_mean,V7减V3,6.0024265295592265,62.16401840850461,47,400
1,Fz,positive_mean,V7减V4,3.9047101025814075,47.87250216134572,47,400
1,Fz,positive_mean,V7减V6,-0.9061636027291445,1.4069461663132334,47,400
1,F3,proxy_MAE,预处理,23.1239044843876,140.9233920747971,47,400
1,F3,proxy_MAE,V3,3.426879584061207,17.568293501016814,47,400
1,F3,proxy_MAE,V4,4.410586749758993,42.6825594936799,47,400
1,F3,proxy_MAE,V6,20.50307155203025,124.6985493197876,47,400
