dataset,trials,reference_trials,corrected_trials,rejected_trials,MAE_before,MAE_after_V2,MAE_reduction_V2_percent,corr_before,corr_after_V2,amp_error_before,amp_error_after_V2,latency_error_before_ms,latency_error_after_V2_ms
VisualCogA_Task-1,100,46,45,9,37.16039850022578,6.672456999463307,82.04417264410453,0.1827246478790745,0.46898168799519163,14.37205559699393,3.3518126360151217,16.6015625,23.4375
VisualCogA_Task-2,100,48,47,5,94.65974524703479,45.143380704501475,52.309843443281835,0.41544232052917124,0.439369459391437,93.72142858973525,43.879533468509415,33.203125,44.921875
VisualCogB_Task-1,100,47,47,6,28.66416746595898,16.89403559083748,41.06217942348922,0.3232353189556069,0.44190175472462384,19.832213469768266,12.705772139417697,48.828125,44.53125
VisualCogB_Task-2,100,47,45,8,83.40290714833263,16.84879014493946,79.7983179231705,-0.34818447737376895,0.22357574340083097,76.72126062822498,10.505361367074899,42.96875,30.46875
