cue,channel,MAE_before,MAE_after,corr_before,corr_after,amp_error_before,amp_error_after,latency_error_before_ms,latency_error_after_ms
-1,Fz,18.63329706979004,14.78330350635089,0.4422200326348341,0.5689345434283454,18.63329706979004,14.783303506350883,3.90625,3.90625
-1,F3,61.51177738693194,26.674483716323476,-0.8623656383032302,0.7505042907865529,45.61718958734057,10.89421325905263,121.09375,54.6875
-1,F4,33.49686009205609,25.177984982441906,-0.029639557456737305,0.24830223159247894,33.49686009205608,25.177984982441902,23.4375,7.8125
1,Fz,78.8923803184706,7.1006999741361945,-0.5598300262779448,-0.18701374772324028,78.89238031847057,3.5958217044481717,35.15625,54.6875
1,F3,164.90706957483707,20.057300148163698,-0.46575472137005497,0.36156706473985484,140.71177825378263,2.679646290302325,,
1,F4,142.97605844791002,7.298968542220617,-0.6137369534694802,-0.4008399224190059,142.97605844791002,5.9011984598534895,31.25,31.25
