tau_G,rank,lambda_A,theta,condition,objective
10.0,2,1.0,"[150.0, 100.0, 250.0]",3.5553015862245063,2908.7033880559356
20.0,2,1.0,"[150.0, 100.0, 250.0]",3.6318056437577084,2875.1913427955988
40.0,2,1.0,"[150.0, 100.0, 250.0]",3.835105157033857,2794.7368239741727
20.0,2,0.01,"[150.0, 100.0, 250.0]",3.6318056437577084,940.8864586625086
20.0,2,0.1,"[150.0, 100.0, 250.0]",3.6318056437577084,1395.1537626147842
20.0,2,1.0,"[150.0, 100.0, 250.0]",3.6318056437577084,2875.1913427955988
