dataset,n_cues,n_left,n_right,duration_min_s,duration_max_s,action_delay_min_s,action_delay_max_s,n_guard,n_retained,retained_left,retained_right,previous_same_fraction,action_cue_agree_fraction
A1,100,54,46,0.203125,0.20703125,2.21484375,2.328125,74,67,32,35,0.42424242424242425,1.0
A2,100,57,43,0.203125,0.20703125,2.21484375,2.21875,74,70,41,29,0.5252525252525253,0.47
B1,100,48,52,0.203125,0.20703125,2.21484375,2.234375,74,69,35,34,0.4444444444444444,0.98
B2,100,50,50,0.203125,0.20703125,2.21484375,2.21875,74,69,32,37,0.494949494949495,0.48
