tau_G,rank,lambda_A,theta,condition,objective
10.0,2,1.0,"[150.0, 100.0, 250.0]",3.5553015862245063,2617.8152531011497
20.0,2,1.0,"[150.0, 100.0, 250.0]",3.6318056437577084,2610.3469773510997
40.0,2,1.0,"[150.0, 100.0, 250.0]",3.835105157033857,2592.138147761415
20.0,2,0.01,"[115.72911980900807, 20.000000000000004, 249.99999999999994]",1.4155396896245351,460.13173481319325
20.0,2,0.1,"[106.83673676510608, 100.0, 250.0]",3.4144720320998023,1128.0163114313027
20.0,2,1.0,"[150.0, 100.0, 250.0]",3.6318056437577084,2610.3469773510997
