parameter,value_ms,objective,success,theta
0,20.0,2704.7377976969074,True,"[20.0, 100.0, 250.0]"
0,33.0,2690.647786527467,True,"[33.0, 100.0, 250.0]"
0,46.0,2677.707061123932,True,"[46.0, 100.0, 250.0]"
0,59.0,2665.8052324731075,True,"[59.0, 100.0, 250.0]"
0,72.0,2654.8852114647125,True,"[72.0, 100.0, 250.0]"
0,85.0,2645.045938839935,True,"[85.0, 100.0, 250.0]"
0,98.0,2636.2656153437697,True,"[98.0, 100.0, 250.0]"
0,111.0,2628.4576335183683,True,"[111.0, 100.0, 250.0]"
0,124.0,2621.6250530608004,True,"[124.0, 100.0, 250.0]"
0,137.0,2615.641648973622,True,"[137.0, 100.0, 250.0]"
0,150.0,2610.3469773510997,True,"[150.0, 100.0, 250.0]"
1,20.0,2740.257480458673,True,"[150.0, 20.0, 250.0]"
1,28.0,2729.1932720512655,True,"[150.0, 28.0, 250.0]"
1,36.0,2717.543044446445,True,"[150.0, 36.0, 250.0]"
1,44.0,2705.251662223577,True,"[150.0, 44.0, 250.0]"
1,52.0,2692.2678847196466,True,"[150.0, 52.0, 250.0]"
1,60.0,2678.662113115607,True,"[150.0, 60.0, 250.0]"
1,68.0,2664.642725535805,True,"[150.0, 68.0, 250.0]"
1,76.0,2650.505242369864,True,"[150.0, 76.0, 250.0]"
1,84.0,2636.5650611102637,True,"[150.0, 84.0, 250.0]"
1,92.0,2623.10502188236,True,"[150.0, 92.0, 250.0]"
1,100.0,2610.3469773510997,True,"[150.0, 100.0, 250.0]"
2,70.0,3021.5810755582106,True,"[150.0, 60.0, 70.0]"
2,88.0,2904.502536048383,True,"[150.0, 78.0, 88.0]"
2,106.0,2799.3267863937594,True,"[150.0, 96.0, 106.0]"
2,124.0,2744.313376072909,True,"[150.0, 100.0, 124.0]"
2,142.0,2707.1910844967074,True,"[150.0, 100.0, 142.0]"
2,160.0,2678.111144234294,True,"[150.0, 100.0, 160.0]"
2,178.0,2655.9694119980686,True,"[150.0, 100.0, 178.0]"
2,196.0,2639.3086796175417,True,"[150.0, 100.0, 196.0]"
2,214.0,2626.8093675250407,True,"[150.0, 100.0, 214.0]"
2,232.0,2617.4200260732814,True,"[150.0, 100.0, 232.0]"
2,250.0,2610.3469773510997,True,"[150.0, 100.0, 250.0]"
