model,n,BA,AUC,balanced_logloss,p_raw,p_maxT_three
post_cov6,275,0.4920634920634921,0.46735449735449736,0.7128435945373457,0.6405,0.894
post_minus_pre_cov6,275,0.5234126984126983,0.5218518518518518,0.7116061027537515,0.2775,0.59
pre_cov6,275,0.4810846560846561,0.4525396825396826,0.7075708490548756,0.7045,0.9415
