cue,channel,metric,stage,point,low,high,n_trials,n_boot
-1,Fz,proxy_MAE,预处理,17.947278520834317,2.8996687276196984,43.04625702456382,53,400
-1,Fz,proxy_MAE,V7,15.992114252304576,2.738400558888646,38.62313079349183,53,400
-1,Fz,proxy_MAE,V7减预处理,-1.9551642685297406,-5.258317172943773,0.25921652043925747,53,400
-1,Fz,positive_mean,预处理,22.4732857534632,0.2518726465602243,47.572264257192714,53,400
-1,Fz,positive_mean,V7,20.51812148493346,0.5201462344669853,43.1491380261207,53,400
-1,Fz,positive_mean,V7减预处理,-1.9551642685297388,-5.25831717294378,0.6308042381898648,53,400
-1,F3,proxy_MAE,预处理,21.115440272673407,6.939911077940851,72.94280011834879,53,400
-1,F3,proxy_MAE,V7,18.455329866288583,6.844252698384623,65.08901693723666,53,400
-1,F3,proxy_MAE,V7减预处理,-2.660110406384824,-9.210765103882393,0.3424042098100551,53,400
-1,F3,positive_mean,预处理,23.28412939915802,0.0,75.11148924483342,53,400
-1,F3,positive_mean,V7,20.6240189927732,0.0,67.25770606372127,53,400
-1,F3,positive_mean,V7减预处理,-2.6601104063848204,-9.210765103882359,0.417904196053246,53,400
-1,F4,proxy_MAE,预处理,26.80332754755946,4.662551911595133,67.1938993277222,53,400
-1,F4,proxy_MAE,V7,23.53987330097717,4.761021043346917,60.25977155781878,53,400
-1,F4,proxy_MAE,V7减预处理,-3.263454246582288,-8.760811546803643,0.5279049253079153,53,400
-1,F4,positive_mean,预处理,40.242318897579494,0.44069376979028757,80.63289067774225,53,400
-1,F4,positive_mean,V7,36.97886465099721,0.6082135507718106,73.69876290783878,53,400
-1,F4,positive_mean,V7减预处理,-3.2634542465822847,-8.760811546803684,1.7961505640582922,53,400
1,Fz,proxy_MAE,预处理,47.31822103165687,22.052565874738768,71.41552386053006,42,400
1,Fz,proxy_MAE,V7,42.87658020571382,18.872531931625662,64.82207916833138,42,400
1,Fz,proxy_MAE,V7减预处理,-4.441640825943047,-7.20822975888147,-2.2748192761028747,42,400
1,Fz,positive_mean,预处理,53.80453116640994,28.53887600949183,77.90183399528313,42,400
1,Fz,positive_mean,V7,49.36289034046689,25.358842066378728,71.30838930308443,42,400
1,Fz,positive_mean,V7减预处理,-4.441640825943047,-7.208229758881504,-2.2748192761028645,42,400
1,F3,proxy_MAE,预处理,87.35152841218773,41.42736869685191,130.38435345870295,42,400
1,F3,proxy_MAE,V7,78.54711277362377,37.438294826929166,116.69886285422542,42,400
1,F3,proxy_MAE,V7减预处理,-8.804415638563967,-13.700527652719883,-4.332984332313038,42,400
1,F3,positive_mean,预处理,98.3614203540861,52.43726063875031,141.39424540060133,42,400
1,F3,positive_mean,V7,89.55700471552215,48.44818676882754,127.70875479612381,42,400
1,F3,positive_mean,V7减预处理,-8.804415638563952,-13.700527652719716,-4.332984332313086,42,400
1,F4,proxy_MAE,预处理,64.85665192932893,32.99601246470927,94.86669397469925,42,400
1,F4,proxy_MAE,V7,57.31564329719831,28.947187476955456,85.23853165665784,42,400
1,F4,proxy_MAE,V7减预处理,-7.541008632130627,-11.693042497381482,-3.9542252276081964,42,400
1,F4,positive_mean,预处理,79.68445966662283,47.82382020200319,109.69450171199311,42,400
1,F4,positive_mean,V7,72.1434510344922,43.77499521424935,100.06633939395175,42,400
1,F4,positive_mean,V7减预处理,-7.541008632130627,-11.693042497381484,-3.9542252276081897,42,400
