dataset,stage,rank,lambda_A,delta_ms,tau_E_ms,tau_I_ms,tau_S_ms,condition,bound_hits,contrast_RMSE,S_delta,delta_energy,weighted_MSE
A1,before,2,1.0,146.8189500214381,100.0,250.0,,3.6138535922117976,"[1, 2]",37.93377792210078,0.3970336397437413,1288703.0939655066,370.34939411141085
A1,v7,2,1.0,131.19174135451084,100.0,250.0,,3.530338458507292,"[1, 2]",33.76049051358398,0.39983267320196925,1025507.6562252279,295.8930659535354
A2,before,3,0.01,150.0,23.34816959005623,250.0,260.0000000000404,8.570636233612115,"[0, 2]",15.803859855431933,0.9241784301427913,1778800.8461479903,327.71536383269864
A2,v7,3,0.01,150.0,25.88879128590944,81.14413458073838,600.0,7.389248057693006,"[0, 3]",16.35870631297617,0.9108813500711254,1621522.8475947836,264.87111736172056
B1,before,2,1.0,150.0,100.0,250.0,,3.6318056437577084,"[0, 1, 2]",28.759786109142635,0.3954469643243548,738806.4140714984,359.372598342578
B1,v7,2,1.0,150.0,100.0,250.0,,3.6318056437577084,"[0, 1, 2]",26.965227365971135,0.3987435666797826,653043.6285844848,329.42012070165913
B2,before,3,0.01,150.0,24.66773770585737,80.15431286851823,600.0,7.195941081227661,"[0, 3]",13.659852416009505,0.8939153861510459,949802.644124534,268.51999076109604
B2,v7,3,0.01,149.99999999999997,25.263753464188497,80.27213471378563,600.0,7.275962087709526,"[0, 3]",11.123239805556596,0.9012678767885098,676702.6603258608,232.3577289686359
