dataset,model,contrast_MSE,zero_MSE,contrast_RMSE,S_delta
A1,neural_mass,8827.140772486207,8814.403807273238,93.95286463161305,-0.001445017211766375
A1,ocular_step,9952.353852253145,8814.403807273238,99.76148481379548,-0.12910119275916587
A2,neural_mass,7212.461413522059,7080.442242695883,84.92621158112529,-0.018645610867367157
A2,ocular_step,8591.942626248992,7080.442242695883,92.69273232702223,-0.2134754202835789
B1,neural_mass,9540.264160192713,9513.72902887072,97.67427583654109,-0.0027891409605496076
B1,ocular_step,9675.933884121016,9513.72902887072,98.36632494975613,-0.017049555937326044
B2,neural_mass,10758.414520771057,11037.527464542289,103.72277725153265,0.025287633001854215
B2,ocular_step,9482.154244244028,11037.527464542289,97.37635361957248,0.14091681540950618
