dataset,model,n,BA,AUC,p_raw
A1,neural_mass,67,0.5111607142857143,0.5758928571428571,0.428
A1,ocular_step,67,0.5254464285714285,0.5535714285714286,0.38
A2,neural_mass,70,0.531959629941127,0.5239697224558453,0.363
A2,ocular_step,70,0.580740117746005,0.5382674516400336,0.153
B1,neural_mass,69,0.4651260504201681,0.48067226890756304,0.7
B1,ocular_step,69,0.5382352941176471,0.49159663865546216,0.236
B2,neural_mass,69,0.5515202702702703,0.5658783783783783,0.252
B2,ocular_step,69,0.5536317567567568,0.5836148648648649,0.255
