cue,channel,n_trials,fit_family,smoothing_s,noise_scale_used,fit_RMSE_50_750,fit_RMSE_250_500,positive_mean,positive_area_unit_ms,local_positive_peak,local_peak_latency_ms,peak_status
-1,Fz,53,cubic_smoothing_spline,34.46100641432611,0.4375484232038847,0.4375500378644082,0.47556768604961364,7.929831947002992,1970.6165273460006,10.682933017081364,343.75,窗内局部正峰，非生理确认
-1,F3,53,cubic_smoothing_spline,25.65332002293751,0.37744423435718205,0.37751615140530753,0.39503969307125875,6.240929894206039,1539.2619724644578,,,无合格窗内局部正峰
-1,F4,53,cubic_smoothing_spline,47.59016153260943,0.514191354287112,0.514188473511683,0.5274052378873318,18.60364035339058,4638.269258641498,20.323803032276864,359.375,窗内局部正峰，非生理确认
1,Fz,42,cubic_smoothing_spline,67.86614697430622,0.6140280074077193,0.6140310658731013,0.5642033277011477,26.62554273000977,6665.536029316738,32.6835495710365,343.75,窗内局部正峰，非生理确认
1,F3,42,cubic_smoothing_spline,55.75345761870409,0.5567567814861241,0.5565441862197671,0.5843345336815378,46.2100385534932,11569.408363112303,55.102639071606816,472.65625,窗内局部正峰，非生理确认
1,F4,42,cubic_smoothing_spline,95.86777888965815,0.7298337153218449,0.729793650019793,0.764635150210161,33.704625685425796,8443.2739753784,42.9673829118047,343.75,窗内局部正峰，非生理确认
