contrast_RMSE,S_delta,delta_energy,weighted_MSE,dataset,stage,variant,negative_R2,mean_R2,weighted_contrast_MSE,optimization_status
37.93377792210078,0.3970336397437413,1288703.0939655066,370.34939411141085,A1,before,original,6,-6.21488589385497,1399.3265016334387,analytic
17.51974952512431,0.8713835037530321,1288703.0939655066,98.9940491495902,A1,before,same_kernel_no_ridge,5,-0.844025060339605,343.0651073116581,analytic
20.92073776637326,0.8166018796734739,1288703.0939655066,136.28044230010002,A1,before,same_kernel_equal_direction_penalty,6,-1.3228811122153428,463.05069438819675,analytic
3.7440110039883376,0.9941262545497428,1288703.0939655066,16.194935555293487,A1,before,affine_only,0,0.4430586290890446,13.694636781287715,analytic
1.7231579923047504,0.9987557974529683,1288703.0939655066,6.42065698713397,A1,before,same_kernel_plus_affine,0,0.7836285096977865,3.0875897302342605,analytic
3.2559630052057322,0.9955577825675352,1288703.0939655066,15.099770143013087,A1,before,same_rank_broader_times_no_ridge,1,0.3803267959768372,10.737075455249453,converged
33.76049051358398,0.39983267320196925,1025507.6562252279,295.8930659535354,A1,v7,original,6,-5.928098873779113,1108.0691228629769,analytic
14.901424544912222,0.8830741787789932,1025507.6562252279,74.95265999843856,A1,v7,same_kernel_no_ridge,5,-0.6261342675646762,249.46793549889102,analytic
18.22400207410871,0.8251191058654993,1025507.6562252279,106.4781228232611,A1,v7,same_kernel_equal_direction_penalty,6,-1.1387468845941666,350.409350341878,analytic
3.8057499205406846,0.99237332312472,1025507.6562252279,14.923414204090335,A1,v7,affine_only,0,0.42234046451480767,14.148981162060217,analytic
1.7001178092311324,0.9984780061896483,1025507.6562252279,6.268388134107312,A1,v7,same_kernel_plus_affine,0,0.764461191239087,3.0116455134494053,analytic
3.121527588727235,0.9948691513016609,1025507.6562252279,13.616334067345413,A1,v7,same_rank_broader_times_no_ridge,1,0.3857387647710188,9.839948638219349,converged
15.803859855431933,0.9241784301427913,1778800.8461479903,327.71536383269864,A2,before,original,0,0.8922620675338503,263.71891795500045,analytic
11.345531652230397,0.9609234569877372,1778800.8461479903,267.0399372028327,A2,before,same_kernel_no_ridge,0,0.9111682282153568,144.6377160021276,analytic
11.572113084369287,0.9593470776535731,1778800.8461479903,299.4137244766594,A2,before,same_kernel_equal_direction_penalty,0,0.8975603470895425,150.51236053084136,analytic
2.8831693514217416,0.9974764800766941,1778800.8461479903,267.8893779665514,A2,before,affine_only,0,0.8767260196827585,8.58008621342861,analytic
2.0521642803191513,0.9987215295905832,1778800.8461479903,66.6455481843392,A2,before,same_kernel_plus_affine,0,0.9700362333883609,4.415957987202784,analytic
4.053156090033161,0.9950128424236452,1778800.8461479903,59.707571528065834,A2,before,same_rank_broader_times_no_ridge,0,0.9753097238672074,17.968672636468135,converged
16.35870631297617,0.9108813500711254,1621522.8475947836,264.87111736172056,A2,v7,original,0,0.9094988958229725,279.35119743131963,analytic
11.18891893494999,0.9583085555383735,1621522.8475947836,209.391795168936,A2,v7,same_kernel_no_ridge,0,0.928745260744679,140.89464350748884,analytic
11.377168756903107,0.9568938647259101,1621522.8475947836,231.4771197903738,A2,v7,same_kernel_equal_direction_penalty,0,0.9190743622428904,145.77520714592745,analytic
3.411908184731674,0.996123271751437,1621522.8475947836,259.8337219901959,A2,v7,affine_only,0,0.8722312434744008,11.592302856208923,analytic
2.365499399563669,0.9981365558890992,1621522.8475947836,58.39690235110453,A2,v7,same_kernel_plus_affine,0,0.9726703120547936,5.567523212983429,analytic
11.18891893494999,0.9583085555383735,1621522.8475947836,209.391795168936,A2,v7,same_rank_broader_times_no_ridge,0,0.928745260744679,140.89464350748884,all_failed_original_theta_retained
28.759786109142635,0.3954469643243548,738806.4140714984,359.372598342578,B1,before,original,5,-0.4866952105802305,781.952561565602,analytic
10.21784001672339,0.9236900270298479,738806.4140714984,104.24256293122768,B1,before,same_kernel_no_ridge,0,0.5362228423174363,111.98199360905,analytic
15.197870409906843,0.8311781804780821,738806.4140714984,220.7413605027514,B1,before,same_kernel_equal_direction_penalty,1,0.12616443046740386,227.42761020629416,analytic
3.9044907234029522,0.9888572626602309,738806.4140714984,50.154001674473285,B1,before,affine_only,0,0.5887338255199773,14.404472085983395,analytic
2.750004541408937,0.9944724850648082,738806.4140714984,18.846106702972733,B1,before,same_kernel_plus_affine,0,0.8401446742214134,7.267236605010076,analytic
5.361596486878086,0.9789887759175929,738806.4140714984,46.882847584409454,B1,before,same_rank_broader_times_no_ridge,0,0.7051094909587755,30.482490322750227,converged
26.965227365971135,0.3987435666797826,653043.6285844848,329.42012070165913,B1,v7,original,5,-0.40038264367916176,687.7466556437963,analytic
9.43665712451672,0.9263643857080328,653043.6285844848,97.80711972693034,B1,v7,same_kernel_no_ridge,0,0.5429683878077397,96.07970816333689,analytic
14.060673333059164,0.8365203119674124,653043.6285844848,206.29049352352249,B1,v7,same_kernel_equal_direction_penalty,1,0.13022399434262014,195.2281469312483,analytic
4.143584354884363,0.9858027597247073,653043.6285844848,48.628832746033034,B1,v7,affine_only,0,0.597413117242375,16.195792041963895,analytic
2.7158790363989462,0.9939008065411752,653043.6285844848,18.575623737961756,B1,v7,same_kernel_plus_affine,0,0.8449424104912676,7.148823210343978,analytic
5.130318357973332,0.9782359259578831,653043.6285844848,45.24653992546916,B1,v7,same_rank_broader_times_no_ridge,0,0.7070091346915217,27.719253064952778,converged
13.659852416009505,0.8939153861510459,949802.644124534,268.51999076109604,B2,before,original,0,0.901955645251122,185.13805035506093,analytic
10.250520994081468,0.9402617818532655,949802.644124534,227.25128041945428,B2,before,same_kernel_no_ridge,0,0.9172828109259709,106.80067145500318,analytic
10.369591658275038,0.9388658757845645,949802.644124534,249.5952405960295,B2,before,same_kernel_equal_direction_penalty,0,0.9074621910227139,109.43904969480086,analytic
5.834781707712635,0.9806442675169212,949802.644124534,306.49235609972385,B2,before,affine_only,0,0.849070681062219,31.699426255583507,analytic
3.63998967332247,0.9924671262518777,949802.644124534,60.533564754385004,B2,before,same_kernel_plus_affine,0,0.9723894307961988,13.942680139107303,analytic
