dataset,stage,independent_solver_max_error
A1,before,7.993605777301127e-15
A1,v7,7.105427357601002e-15
A2,before,3.268496584496461e-13
A2,v7,4.263256414560601e-13
B1,before,1.7763568394002505e-14
B1,v7,2.1316282072803006e-14
B2,before,4.121147867408581e-13
B2,v7,3.694822225952521e-13
