dataset,original_fit_error,no_ridge_fit_reduction,affine_fit_reduction,no_ridge_test_change,affine_test_change,coefficient_transfer_share,span_approximation_share
A1,295.8930659535354,0.7466900423742661,0.9788153598195787,0.04330135662780599,0.026837184169420603,0.9368459193309729,0.0631540806690869
A2,264.87111736172056,0.20945780251691004,0.7795271038504551,0.0015558434428426526,-0.01952646596134755,0.9023083652982329,0.09769163470177439
B1,329.4201207016592,0.7030930608652475,0.9436111440357802,0.12662463173823246,0.01656401026411447,0.8497618961434108,0.15023810385658923
B2,232.3577289686359,0.15111952711281162,0.7328912175432678,-0.007569628613066759,-0.024841567607443715,0.9069302896493388,0.09306971035066436
