dataset,fold,trial_id,cue,leave_one_out_ERP_change_RMS,condition_ERP_RMS,PTP
A1,0,2,1,14.138771482174288,28.67013044049546,239.32063186095752
A1,0,4,-1,13.22524204578716,78.24464933615363,305.7535161662006
A1,0,5,1,10.08576338308228,28.67013044049546,247.60156145406782
A1,0,6,-1,47.00432738894906,78.24464933615363,694.619952981167
A1,0,7,-1,13.200042093901699,78.24464933615363,63.00258185268116
A1,0,8,-1,22.435274327814852,78.24464933615363,149.60690673457475
A1,0,9,1,4.391626696583582,28.67013044049546,46.87461258386858
A1,0,10,1,8.146402372922193,28.67013044049546,94.35153928973864
A1,0,11,1,17.119207745333,28.67013044049546,434.3669431868337
A1,0,12,1,6.614162010753978,28.67013044049546,76.49685108986222
A1,0,13,-1,19.37292219638425,78.24464933615363,61.088933262061786
A1,0,15,1,3.7842693298075707,28.67013044049546,133.86569825402486
A1,0,16,-1,6.165328470017654,78.24464933615363,163.03532279156235
A1,0,17,1,8.680122005920131,28.67013044049546,114.99819925697253
A1,1,24,-1,6.03853929584934,22.496454894331215,113.69377588877595
A1,1,25,-1,20.509054004491684,22.496454894331215,475.1985631940847
A1,1,26,1,7.244238720198121,15.138560766860845,117.22495357988038
A1,1,28,-1,8.730766177722488,22.496454894331215,242.53827233259415
A1,1,29,-1,12.562383683215904,22.496454894331215,170.91783376634845
A1,1,30,-1,3.7877561931662225,22.496454894331215,60.9298129337523
A1,1,31,-1,5.102841926484111,22.496454894331215,160.68178691474432
A1,1,32,1,4.806502077645109,15.138560766860845,93.29792663469665
A1,1,33,1,4.513807450847057,15.138560766860845,53.26552013438696
A1,1,34,-1,3.7893068470421887,22.496454894331215,85.31520845647854
A1,1,35,1,4.064593588938706,15.138560766860845,75.6984821625413
A1,1,37,-1,5.067217773597773,22.496454894331215,112.11263197049803
A1,2,44,1,40.14282848850274,216.01362387597567,150.44515417836323
A1,2,45,-1,23.29035289073018,56.994649353525205,293.79137821191694
A1,2,47,-1,11.134503715244223,56.994649353525205,59.98927931191628
A1,2,48,1,44.32697915500422,216.01362387597567,131.56591530940284
A1,2,49,-1,5.225964201484818,56.994649353525205,112.25558743340949
A1,2,50,-1,15.790589165374517,56.994649353525205,118.76760108498937
A1,2,51,1,23.032141529384347,216.01362387597567,381.44606672954484
A1,2,52,1,78.84339196827487,216.01362387597567,1282.090713259723
A1,2,53,1,62.66154150203012,216.01362387597567,1158.7085752788041
A1,2,54,-1,57.72356686748354,56.994649353525205,1014.9189403573116
A1,2,55,1,37.07250292619965,216.01362387597567,109.09400441946063
A1,2,56,-1,9.96192949560916,56.994649353525205,190.52981906814932
A1,2,57,-1,8.759183838420425,56.994649353525205,161.18600950477685
A1,3,64,1,18.591931793797244,57.77516670105322,391.8606493096521
A1,3,65,-1,2.5428020404759146,22.03299294566677,78.39868175570521
A1,3,66,1,9.983222583859698,57.77516670105322,181.33738779979927
A1,3,67,-1,7.78765656761767,22.03299294566677,143.93778845862715
A1,3,68,-1,5.570243571024051,22.03299294566677,132.10537392428853
A1,3,69,1,11.205720805725228,57.77516670105322,109.50818982697497
A1,3,70,1,15.62237114695335,57.77516670105322,132.64940881996995
A1,3,71,-1,3.1767579727513584,22.03299294566677,141.3500853345136
A1,3,72,1,1.8666122072088458,57.77516670105322,160.04874263166215
A1,3,73,-1,5.5909659218473955,22.03299294566677,72.73264131383098
A1,3,74,1,13.891105053408731,57.77516670105322,406.13902559915454
A1,3,75,-1,4.630766435096657,22.03299294566677,128.724358042888
A1,3,76,1,4.278336668204725,57.77516670105322,184.39226887409725
A1,4,84,1,19.64080426754511,14.106066162301195,462.5910513311435
A1,4,85,-1,8.68215828774085,113.8143025683272,353.8692231997613
A1,4,86,1,4.092919255698751,14.106066162301195,191.2547024694425
A1,4,87,1,3.0766193040310887,14.106066162301195,122.74775716503513
A1,4,89,1,9.267256227546696,14.106066162301195,253.27703964951186
A1,4,90,1,1.5008209141653637,14.106066162301195,131.88556122091455
A1,4,91,-1,37.71514829543521,113.8143025683272,570.7788202220618
A1,4,92,1,1.4823550183145322,14.106066162301195,59.49838976065428
A1,4,93,1,2.1824548082921655,14.106066162301195,157.21599272071626
A1,4,94,1,1.4389790768790207,14.106066162301195,95.80435248392999
A1,4,95,-1,24.146237479811365,113.8143025683272,113.8828990358319
A1,4,96,1,2.609280186390564,14.106066162301195,120.61634766314555
A1,4,97,1,10.005177636307224,14.106066162301195,376.9394502167402
A1,4,98,-1,18.757401585902258,113.8143025683272,506.5817460522421
A1,4,99,-1,27.12977028754322,113.8143025683272,79.8422150957437
A2,0,2,-1,20.24950132899387,45.930328146643475,293.51996897561605
A2,0,3,-1,4.545500014421483,45.930328146643475,146.602658634245
A2,0,4,-1,7.777290265820254,45.930328146643475,97.08041560667692
A2,0,5,1,14.437030921496081,74.66755648566522,183.84769280476678
A2,0,6,-1,5.244803521754435,45.930328146643475,292.3492247214851
A2,0,7,1,11.570519038005816,74.66755648566522,145.24805763395048
A2,0,8,1,5.810063912033624,74.66755648566522,311.65131292817296
A2,0,9,-1,2.2955529103454393,45.930328146643475,219.57791687081797
A2,0,10,-1,14.951228782746442,45.930328146643475,361.95748705438825
A2,0,11,1,11.539061817889376,74.66755648566522,157.94229602357336
A2,0,12,1,14.199764331575528,74.66755648566522,360.36851804297686
A2,0,13,1,10.39629197148545,74.66755648566522,216.80010349405563
A2,0,14,-1,24.03036707907836,45.930328146643475,573.5312006410259
A2,0,15,-1,4.639621986766361,45.930328146643475,217.20730299080236
A2,0,16,-1,11.372018870132997,45.930328146643475,195.92463829095212
A2,0,17,1,23.949096968851386,74.66755648566522,387.018595191335
A2,1,24,1,15.408664825511442,102.05400175052006,90.30649583595002
