dataset,fold,trial_id,cue,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9
B1,0,2,-1,-4.011140568891598,-1.876111096844636,-0.4171696722550476,23.154911823818725,16.4734103224825,13.568929228483796,-0.361567189089093,-4.7790529863272955,-7.019997741006412,0.07728467215592345,-0.5807715096993172,-0.5955732136612506,0.41771389926351515,0.40172824507510885,0.35654843987657453,0.14866590846703137,0.06877649994090852,0.031728706724956125
B1,0,3,1,4.796424848337183,5.023604993459127,4.766596287043269,22.29713221404381,19.457788929122902,17.948262636139884,15.150089067884178,7.686680857184766,4.434969068836976,0.3836056527668321,-0.3959208995490135,-0.49551501037629214,0.40483178405800807,0.44118837052053833,0.407170581183211,0.6149071378809876,0.36463022265544043,0.27047442485934436
B1,0,4,-1,26.711021033761547,40.47646989388926,44.90228526723547,2.7090218375363753,-16.676731841333932,-23.885449483368582,-0.4295790316582844,-0.9526103150041814,-0.9774004520945826,1.1457800193721523,0.5538984296304102,0.27919298348258464,0.11065797571279416,-0.03659039365504566,-0.07639892338857064,0.14662164416869683,0.15959083331879298,0.15766920512068094
B1,0,5,1,-91.40922624595765,-132.11909382818035,-144.36302425911734,94.72204714636605,182.57029334978438,213.08281614104433,-7.596024226922167,-2.1901359359633776,-0.27900829154762796,-2.9623597743951877,-4.070117232129317,-3.3740481088181564,1.4925075544718647,2.5978986055544055,2.6627944448660776,-0.06878360740561482,0.13022019485405906,0.17222517378275767
B1,0,6,1,-70.61862129563367,18.91327597674476,57.8440398760872,105.64328380377266,-36.3726775705948,-98.29164170296471,-17.925690115141123,26.257257755077447,42.066719347809105,-2.2392770387938805,-0.023802087348107077,0.5289976088618943,1.6565224450149456,-0.297014619828522,-0.9364843350277616,-0.3792672877665386,0.8053723704638939,1.054799634539284
B1,0,7,1,-0.7680142300081368,-6.000136903771397,-7.0114646326458425,-6.545375323940529,-5.835483889801053,-5.405884312780016,-4.868111069401527,0.6602441907423409,3.154529939984668,0.19007834365435483,-0.6912584741930184,-0.722857761391309,-0.028324356150918925,0.10675502612534722,0.13721238962890922,0.013210575757460563,0.19786928653399324,0.24378736723447864
B1,0,8,-1,-3.764222192456924,-11.67880760394652,-14.839309310323333,4.894774158420769,10.001883963467419,11.499616922711478,8.87225752367712,13.832720148522123,15.685347257493579,0.08587232102565175,-0.8433960013073856,-0.8739525600747269,0.14348355571897534,0.3161602674123778,0.332628584912521,0.4262113694385309,0.5104963727849261,0.5049560837347052
B1,0,9,-1,1.4768616977952074,-2.147045785586878,-3.975821132324101,-1.134388712704464,-1.072759873675606,-1.1591440633384693,-9.643322079235553,-0.020450006666338394,2.994279031353415,0.26815356228507914,-0.588030133368669,-0.6642630954976794,0.0529377210855526,0.16972883471655553,0.18630184343116535,-0.13032021264143764,0.1817141275307909,0.2404473996118767
B1,0,10,-1,5.337333790623279,-7.069413829434677,-11.396243897004284,-0.004676972276982119,10.422726467689426,14.036818331456603,-0.8792301421125482,0.6727817518590841,0.9488501865678152,0.402418088414278,-0.7199055213383737,-0.8074937458160832,0.06990370701405883,0.3217247416960423,0.3619569224198578,0.13310626688902688,0.1981668449590899,0.19781633951823277
B1,0,11,1,11.52339782362192,17.333854300138558,19.8595483776312,-1.1872893361934445,-8.468857333264697,-11.249099422945244,1.969884085366149,-9.202087089593407,-14.1264471137446,0.6175650797727862,-0.06611644590781103,-0.2041874928325402,0.05214326069215735,0.07193596992633634,0.06966876290372374,0.21874344825470413,-0.036196951407539105,-0.11638471752539732
