dataset,fold,trial_id,cue,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,coef_8,coef_9,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9
A2,0,2,-1,-56.50124926178327,-8.132639774651064,-137.22820233274345,20.471873235348298,4.006399540107745,56.05731525476917,-2.725722004075037,-2.5373652325909304,-17.067043974516057,-1.6680613431450182,0.9490338770998146,-1.4331948287180793,1.4485533469929683,0.31531498180622713,1.0320659080956522,-0.05278475740468056,-0.9073175215053435,-0.0405958237296541
A2,0,3,-1,-20.984901598718622,8.589179706117866,61.1703408922621,1.393948676391147,-2.5369932877974266,-7.324633395803907,-1.7767981504755612,3.600259299594302,-7.857915697623363,-0.7017230774746189,1.3648290381541996,-0.39950765738185573,0.2715241855700469,-0.38531474395380944,0.10223519062872669,0.022875362607887084,-0.3509505240227163,0.1335760774211048
A2,0,4,-1,-19.542806181714813,-14.943421783924078,-8.683658812571313,1.1682448986725766,-0.6010059612984473,18.075550660927387,4.7366797989642055,0.9242074516459162,10.484902573301346,-0.6624861605084095,0.7796808826060742,-0.7634578265094578,0.2575991945471976,-0.17802010257826897,0.4748629161577819,0.5422115785587115,-0.5935308454391496,0.48049311828002633
A2,0,5,1,-25.11966807157322,-8.316216725718379,5.695497225257005,-2.8724388682256974,3.697084472441959,-45.500262154171836,-2.923464191233856,1.443903200495149,6.16252410684405,-0.8142229071371617,0.9444691580497918,-0.6885401941048284,0.008305692466829696,0.2821952629185095,-0.45781184222347787,-0.06855124652309903,-0.5464211596192534,0.3987441348409567
A2,0,6,-1,-10.898405809195951,-92.91308733528292,116.6207226442729,6.203791111578838,1.9360400810764538,3.0991986879049485,1.016846456622011,11.515519736148704,-18.591427687557935,-0.4272870081916415,-1.1590680485475005,-0.11060257102875402,0.5682716011796416,0.09363252774054663,0.25515569041620245,0.24561977507438965,0.3665566581591957,-0.06942643629153518
A2,0,7,1,11.260019642627006,-9.457650731140536,8.27395709094847,0.5942665456180592,2.6909463397943894,-9.589793291415141,-5.55711655807213,-1.8492331787609477,7.918241952042729,0.17560534504910214,0.9160869155155221,-0.6751060184216541,0.22218710045473639,0.17446364684506932,0.06900466844132694,-0.2785390694559092,-0.8449393224719416,0.4319499612545017
A2,0,8,1,10.268392417090913,-68.45418852683642,156.651533181877,-0.31678513654123375,4.442633381047526,-20.117961370964117,-1.9413756461620368,4.011469693233362,-12.169040861727112,0.1486248868554059,-0.5508871157867509,0.09796415853630937,0.1659789739286552,0.3620244495675772,-0.08544646926333394,0.009753178959774964,-0.31367488247069764,0.05203992727159411
A2,0,9,-1,-5.283542381282829,-20.17982718147826,63.057942189590726,4.3798994806399705,5.400317802569871,-8.016640246038092,-3.0196137687879245,-0.11234848791317875,-10.53445894469373,-0.2745163055738056,0.6494754328865576,-0.38967296195552203,0.45574501946180257,0.464567914596051,0.09208325873416412,-0.07621749766570023,-0.6874931777374318,0.08295471437372554
A2,0,10,-1,13.611538352827864,-59.25280071612385,254.93376855008447,-3.556852817071154,7.452423601733824,-46.58743812623841,2.9105048438893553,-1.0187158052972465,7.276071881405774,0.23958609367968683,-0.32209069018969866,0.6100298431877622,-0.033919821833021,0.684295869360936,-0.4737610144348363,0.3966059899323905,-0.7696540952626061,0.41980462255337825
A2,0,11,1,1.3758265650161887,-54.7157353962111,55.594701653966474,-2.750159415229271,-0.5027581771727906,4.327468183429277,-0.2627974574966603,15.635431706787646,-29.070565359258357,-0.09332641805847926,-0.2092746292594297,-0.4285576023004969,0.015849829753611416,-0.16750028207247072,0.27317474364163213,0.14359050080931707,0.740020860959007,-0.2676179779687504
A2,0,12,1,-8.272439119992052,-41.77548983081783,235.38969703998205,-14.381551591084978,10.241151995096715,-102.06169549168663,3.2302186904913817,-1.9185456625729456,11.885603138876395,-0.35583900570481786,0.11249008630479854,0.5082022003670241,-0.7017590347022888,0.982897231200095,-1.2875837135669055,0.42209759066708863,-0.8512224012598866,0.5069845160664265
A2,0,13,1,54.867361138958216,3.6663965258584565,58.56710423494171,-5.941097548783657,-6.880309145646175,-8.466772390395644,0.5438861441475359,-9.949919661520536,32.183537269464956,1.3620855302254795,1.2424219383989488,-0.4130709239909883,-0.1810178758441952,-0.8503725936669226,0.08547969567474525,0.2079094426096056,-1.5792551139197455,0.8908785905824959
A2,0,14,-1,24.83735709009497,-85.08677696555304,378.30141053025324,5.092014008024399,2.7106949296177376,2.47505606722056,-8.620751422355418,10.633727723101241,-50.070489687504775,0.5450211657826193,-0.9644635089885192,1.2527943857089994,0.49967954506568146,0.17657821484304623,0.24599934553964897,-0.5228104940039496,0.2866234572716683,-0.6647887670270698
A2,0,15,-1,-45.40649220869849,-61.65418833633102,112.80109225442854,4.079338041437071,2.7343924294369724,14.25905104808938,-4.728121825084598,9.522499348286491,-33.311404126738395,-1.3661922323225104,-0.38180221580725254,-0.1305034375827503,0.43720161985626427,0.17911560992786255,0.41887381123484074,-0.21244120422709717,0.18589217415535475,-0.34782480410876665
A2,0,16,-1,11.297093654859015,4.087215665086962,-80.62346856414322,-2.793026986703992,-9.722199301969187,23.116016796161066,-1.2318310045816911,5.57407141423688,-11.013678047925564,0.1766140646680674,1.2528857854684328,-1.1382753893795259,0.013205077618797113,-1.154666218279123,0.5488079485001994,0.06632698362556265,-0.17202724286404666,0.07389126126849707
A2,0,17,1,71.83578782071856,-0.7310443403556146,278.9851979393339,-7.211733559927265,1.0309334658326725,-34.932546849299555,0.9044196197445368,1.9200988902245655,3.4546253528385886,1.8237670118452798,1.1330776989579345,0.7353415194119688,-0.25941087053543116,-0.003281201314119186,-0.30278053578498837,0.23665569651474855,-0.5032546927362433,0.34752974625519567
A2,1,24,1,4.988274273363209,-15.884908066435797,44.68773689442707,1.1873886610902502,2.128233720381871,-13.37241011123152,0.13063948219258578,-3.3040652379203514,2.237862887045209,-0.007216006736877438,0.6540988823485154,-0.4242974660826232,0.23731474699446986,0.1313052178967681,-0.0249985899811423,0.2040909409157544,-0.9277471953354768,0.37331223698373817
